basin,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmmon,sim_mean_mmmon
AMF,0.9732,0.9503,0.9151,0.9753,744,0.9493,0.9394,0.6978,0.9693,361,56.8122,57.3321
BLB,0.9592,0.9228,0.4135,0.9621,222,,,,,0,26.4987,26.6082
BND,0.9724,0.9481,0.2141,0.9744,744,0.7846,0.8579,-16.287,0.9476,361,39.0485,39.1321
FTO,0.9675,0.9369,0.4987,0.9687,744,0.8962,0.9057,-8.1305,0.9552,361,50.2622,50.5129
MRC,0.9653,0.9354,0.7891,0.9681,744,0.8697,0.9026,11.2866,0.9589,361,37.7094,38.007
SHA,0.9655,0.932,-0.1974,0.9663,316,0.8383,0.8658,-11.6337,0.9428,800,33.1924,33.1268
SJF,0.9497,0.9137,1.7877,0.9581,744,0.794,0.9065,17.9074,0.9716,361,42.7204,43.4841
SNS,0.9666,0.9434,1.0933,0.9723,744,0.9195,0.8677,4.6611,0.9344,361,46.2135,46.7188
TLG,0.9726,0.9458,0.4211,0.9729,744,0.805,0.8759,16.5013,0.9566,361,49.3835,49.5914
TNL,0.8497,0.7523,2.7126,0.8925,744,0.4199,0.2913,34.9803,0.8583,361,76.6231,78.7016
YRS,0.9775,0.9552,0.1319,0.9776,744,0.8784,0.9168,-8.656,0.9616,361,84.7403,84.852
