basin,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_taf,sim_mean_taf
SHA,0.85,0.9035,8.9766,0.9682,316,0.9302,0.8722,-2.8222,0.9364,863,464.5257,506.2242
BND,0.8474,0.9196,9.3293,0.975,744,0.9255,0.8952,-5.4688,0.9494,435,729.7253,797.8036
TNL,0.8596,0.7575,1.7372,0.8923,744,0.5047,0.3967,31.4298,0.8524,435,112.5419,114.497
FTO,0.968,0.937,0.3488,0.9687,744,0.9061,0.9186,-7.0813,0.9608,435,380.6739,382.0015
BLB,0.894,0.9202,-6.2708,0.9607,225,0.8015,0.8754,-11.4591,0.9426,942,44.0899,41.3251
AMF,0.9745,0.9509,-0.2209,0.9753,744,0.9475,0.9446,-0.488,0.972,435,224.8631,224.3664
YRS,0.8779,0.9388,8.6368,0.9776,744,0.9359,0.9179,1.3739,0.9621,435,195.7255,212.6299
SNS,0.9685,0.9444,-1.3866,0.9721,744,0.9303,0.8729,0.1721,0.9351,435,96.648,95.308
TLG,0.9723,0.9461,-0.2581,0.9729,744,0.8426,0.8837,13.382,0.9538,435,159.8936,159.4808
MRC,0.967,0.9357,0.4092,0.9681,744,0.9032,0.9075,8.3879,0.9572,435,82.3471,82.6841
SJF,0.9578,0.9163,-0.4729,0.9581,744,0.8649,0.9222,12.486,0.9682,435,150.2502,149.5396
