basin,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmmon,sim_mean_mmmon
SHAST,0.9154,0.8524,4.1318,0.9267,624,0.8094,0.8193,-16.648,0.933,360,35.1467,36.5989
TRINI,0.8692,0.7555,4.9401,0.8789,624,0.4988,0.4164,30.7982,0.8683,360,77.1907,81.0041
WKYTN,0.7511,0.6761,-12.3985,0.8285,624,0.7383,0.7102,-17.0658,0.8515,360,75.8198,66.4193
OROVI,0.9385,0.9004,3.5485,0.9504,624,0.8953,0.8912,-8.585,0.949,360,45.3132,46.9212
FOL_I,0.9244,0.9131,4.9824,0.9602,624,0.9401,0.9051,-1.1998,0.955,360,56.1799,58.979
SMART,0.9378,0.8776,-1.0606,0.9387,597,0.8592,0.7752,-9.1526,0.8932,360,69.2903,68.5554
PRD_C,0.8566,0.7259,-0.9954,0.8595,561,0.5811,0.2252,20.5434,0.7176,321,26.0359,25.7767
N_MEL,0.9361,0.8863,2.6516,0.9429,619,0.9055,0.8208,2.7402,0.91,360,48.8658,50.1615
N_HOG,0.9674,0.9411,-1.4083,0.9706,594,0.9458,0.9277,1.0813,0.9632,295,19.5668,19.2913
DPR_I,0.9635,0.9296,0.9511,0.965,601,0.6635,0.6895,20.3482,0.9171,360,43.3605,43.7729
LK_MC,0.9716,0.9435,0.0337,0.9719,590,0.8974,0.8678,6.6626,0.9397,357,39.0554,39.0686
MILLE,0.9198,0.8489,2.8689,0.9253,620,0.7253,0.7644,18.5596,0.9394,360,42.0611,43.2678
