set,basin,source,ref_kind,n_months,kge,nse,pbias,r,mean_sim_taf,mean_calsim3_taf,seas_mismatch,ct_sim_mo,ct_ref_mo,dct_mo
15cdec,BND,15cdec,unimp,1167,0.7782613998252614,0.8893836909093624,-21.674590183761385,0.9742034862160535,533.1636234464444,680.703266918506,0.09531413938888184,5.629008225175414,5.86366678260605,-0.23465855743063546
15cdec,BND,vic,unimp,1167,0.8199785961106248,0.8939316733546422,-2.122244933482324,0.9682869117174759,666.2570763242793,680.703266918506,0.053563626998097365,5.7650552811607065,5.86366678260605,-0.09861150144534303
15cdec,FOL,15cdec,unimp,1167,0.9214074588522707,0.8904619139653231,-4.296302099127771,0.9445011423406303,208.9067802053946,218.28496159236772,0.0988446487859409,5.9677633764447355,6.293956250257267,-0.3261928738125315
15cdec,FOL,vic,unimp,1167,0.8327886236111294,0.849378527938828,6.907660235574677,0.9442029738989273,233.36334508452316,218.28496159236772,0.1026862747385257,5.924715083639292,6.293956250257267,-0.3692411666179751
15cdec,MIL,15cdec,unimp,1167,0.9102036691907545,0.8854636722316057,-6.90477406239263,0.9437056456609849,133.40692548551434,143.30157550175986,0.05302604312880278,7.517331956786201,7.417924555781943,0.0994074010042576
15cdec,MIL,vic,unimp,1167,0.7815213620272526,0.8096077998082977,-1.1232196266872083,0.9395007813916023,141.6919840803721,143.30157550175986,0.07066164596387597,7.244072577961879,7.417924555781943,-0.173851977820064
15cdec,MKM,15cdec,inflow_sum,1167,0.9176620926338788,0.8558410466469454,1.662119948084896,0.9261400749422107,62.05724108762328,61.04263920456669,0.08439686925079254,6.691278812496924,6.880094843640225,-0.18881603114330137
15cdec,MKM,vic,inflow_sum,1167,0.8275905159097372,0.7824766164093262,11.432478106965265,0.9077310321724459,68.02132556754258,61.04263920456669,0.10543268944712156,6.573862622205177,6.880094843640225,-0.3062322214350477
15cdec,MRC,15cdec,unimp,1167,0.95926879634423,0.9209470908760397,0.8668676029336547,0.9607861369153087,80.23598910651448,79.54642690240622,0.04214270296714265,7.016744168312172,7.025277341749467,-0.00853317343729465
15cdec,MRC,vic,unimp,1167,0.7315883283927354,0.8168805899591332,16.983998446262127,0.9480152517873702,93.05659081156793,79.54642690240622,0.06027635073006561,6.770235356773693,7.025277341749467,-0.2550419849757741
15cdec,NHG,15cdec,inflow_sum,1167,0.8630280448181954,0.9225008213043212,-4.322040763815439,0.9649110206652695,12.34537542130685,12.903050524762799,0.04481256923778461,5.105469907505484,5.367300114012294,-0.26183020650680966
15cdec,NHG,vic,inflow_sum,1167,0.6305742727417349,0.810531503980129,30.505851030011907,0.9472230810975012,16.83923589617411,12.903050524762799,0.0655706192823459,5.302453112507137,5.367300114012294,-0.06484700150515721
15cdec,NML,15cdec,unimp,1167,0.9105566670249141,0.8608156689433827,2.887327827823117,0.9284664076455823,96.00563177244605,93.31142503098802,0.0971242591791196,7.197805509357357,6.887579519809489,0.3102259895478676
15cdec,NML,vic,unimp,1167,0.7172544477523854,0.8101092278131526,18.163524790923514,0.9487770521572283,110.26006884925555,93.31142503098802,0.05285874437101365,6.970921404861677,6.887579519809489,0.08334188505218787
15cdec,ORO,15cdec,unimp,1167,0.8438231942513207,0.8393988520137263,-3.0553685751261037,0.9385766567390957,349.79366833343704,360.8179877443812,0.1272331340770943,5.75364817062767,6.1793189702789215,-0.4256707996512512
15cdec,ORO,vic,unimp,1167,0.7438563167394061,0.8262780809111451,10.899776017085994,0.9545991489169299,400.14634023787556,360.8179877443812,0.08421393553287207,5.82923010239131,6.1793189702789215,-0.35008886788761195
15cdec,SHA,15cdec,unimp,1167,0.7084712476626633,0.8185087784190155,-23.96488565116581,0.9708954936295511,354.880653019078,466.7325827787345,0.130713576460629,5.754144674894325,5.964975490259008,-0.21083081536468384
15cdec,SHA,vic,unimp,1167,0.7810579348485305,0.8697082357942654,2.3965286998240165,0.9657452018350245,477.9179630764568,466.7325827787345,0.039572916873510305,5.888488712150724,5.964975490259008,-0.07648677810828453
15cdec,TLG,15cdec,unimp,1167,0.9292962340248034,0.910023279930074,2.642574092318461,0.9586653385117174,158.22151460489195,154.14803847630014,0.03964100126524654,7.094054360316218,7.037868250082202,0.056186110234015985
15cdec,TLG,vic,unimp,1167,0.8109424875586945,0.8476930993441585,2.882877070727435,0.9494220817263265,158.5919369325095,154.14803847630014,0.04995312691833788,6.971535143471225,7.037868250082202,-0.06633310661097624
15cdec,YRS,15cdec,unimp,1167,0.8458743454407328,0.8534856822682978,11.509355592281265,0.9401865951396577,211.21058802232758,189.4106435289522,0.08970492359460464,5.915758011772448,6.179211035749414,-0.26345302397696546
15cdec,YRS,vic,unimp,1167,0.8018958634246693,0.8539765092452168,6.353716529566014,0.9534891291722004,201.4452588956086,189.4106435289522,0.09391181926938043,5.827690988092485,6.179211035749414,-0.3515200476569289
