date,set,basin,source,flow_taf,ref_kind
1921-10-31,9unimp,BearRiver,9unimp,0.701098081093036,inflow_sum
1921-11-30,9unimp,BearRiver,9unimp,2.4525217137933217,inflow_sum
1921-12-31,9unimp,BearRiver,9unimp,32.397438114091976,inflow_sum
1922-01-31,9unimp,BearRiver,9unimp,22.66425350835267,inflow_sum
1922-02-28,9unimp,BearRiver,9unimp,151.3620478334952,inflow_sum
1922-03-31,9unimp,BearRiver,9unimp,84.57237102320728,inflow_sum
1922-04-30,9unimp,BearRiver,9unimp,58.42424866959737,inflow_sum
1922-05-31,9unimp,BearRiver,9unimp,26.111944057603456,inflow_sum
1922-06-30,9unimp,BearRiver,9unimp,5.025939441383955,inflow_sum
1922-07-31,9unimp,BearRiver,9unimp,0.04273697122195942,inflow_sum
1922-08-31,9unimp,BearRiver,9unimp,0.0003108718553852384,inflow_sum
1922-09-30,9unimp,BearRiver,9unimp,3.7738440432608653e-17,inflow_sum
1922-10-31,9unimp,BearRiver,9unimp,2.5697148592768557,inflow_sum
1922-11-30,9unimp,BearRiver,9unimp,15.490835972123106,inflow_sum
1922-12-31,9unimp,BearRiver,9unimp,94.56156588665199,inflow_sum
1923-01-31,9unimp,BearRiver,9unimp,53.99390638789349,inflow_sum
1923-02-28,9unimp,BearRiver,9unimp,36.04963031016296,inflow_sum
1923-03-31,9unimp,BearRiver,9unimp,14.264784490279729,inflow_sum
1923-04-30,9unimp,BearRiver,9unimp,55.44348303288551,inflow_sum
1923-05-31,9unimp,BearRiver,9unimp,7.423002129179792,inflow_sum
1923-06-30,9unimp,BearRiver,9unimp,3.4133125753230744,inflow_sum
1923-07-31,9unimp,BearRiver,9unimp,0.0586162253337496,inflow_sum
1923-08-31,9unimp,BearRiver,9unimp,4.068582342798296e-14,inflow_sum
1923-09-30,9unimp,BearRiver,9unimp,2.5994966589381443,inflow_sum
1923-10-31,9unimp,BearRiver,9unimp,1.4900868897031432,inflow_sum
1923-11-30,9unimp,BearRiver,9unimp,0.5463957537818056,inflow_sum
1923-12-31,9unimp,BearRiver,9unimp,5.207449344988395,inflow_sum
1924-01-31,9unimp,BearRiver,9unimp,7.795721303432867,inflow_sum
1924-02-29,9unimp,BearRiver,9unimp,16.964053087017746,inflow_sum
1924-03-31,9unimp,BearRiver,9unimp,8.392111799494277,inflow_sum
1924-04-30,9unimp,BearRiver,9unimp,6.190643036406933,inflow_sum
1924-05-31,9unimp,BearRiver,9unimp,0.36664092241194535,inflow_sum
1924-06-30,9unimp,BearRiver,9unimp,8.984603703457653e-06,inflow_sum
1924-07-31,9unimp,BearRiver,9unimp,1.1887453388247856e-27,inflow_sum
1924-08-31,9unimp,BearRiver,9unimp,0.0,inflow_sum
1924-09-30,9unimp,BearRiver,9unimp,0.0,inflow_sum
1924-10-31,9unimp,BearRiver,9unimp,8.927265012948027,inflow_sum
1924-11-30,9unimp,BearRiver,9unimp,6.090936969204595,inflow_sum
1924-12-31,9unimp,BearRiver,9unimp,23.259466118699216,inflow_sum
