date,set,basin,source,flow_taf,ref_kind
1921-10-31,15cdec,BND,15cdec,35.058075199339115,unimp
1921-11-30,15cdec,BND,15cdec,79.43049385991313,unimp
1921-12-31,15cdec,BND,15cdec,325.0754371568529,unimp
1922-01-31,15cdec,BND,15cdec,208.95560906147523,unimp
1922-02-28,15cdec,BND,15cdec,518.3540106302305,unimp
1922-03-31,15cdec,BND,15cdec,492.3402976447255,unimp
1922-04-30,15cdec,BND,15cdec,509.006035806528,unimp
1922-05-31,15cdec,BND,15cdec,527.0324021694918,unimp
1922-06-30,15cdec,BND,15cdec,293.47311034627296,unimp
1922-07-31,15cdec,BND,15cdec,108.37041252493852,unimp
1922-08-31,15cdec,BND,15cdec,49.709429625665045,unimp
1922-09-30,15cdec,BND,15cdec,23.437828994537,unimp
1922-10-31,15cdec,BND,15cdec,103.19398588426981,unimp
1922-11-30,15cdec,BND,15cdec,159.2963840176693,unimp
1922-12-31,15cdec,BND,15cdec,416.2745703589525,unimp
1923-01-31,15cdec,BND,15cdec,408.82755591839395,unimp
1923-02-28,15cdec,BND,15cdec,253.49917857734187,unimp
1923-03-31,15cdec,BND,15cdec,217.501258563535,unimp
1923-04-30,15cdec,BND,15cdec,608.6012601028441,unimp
1923-05-31,15cdec,BND,15cdec,301.0384413743778,unimp
1923-06-30,15cdec,BND,15cdec,229.8864527632316,unimp
1923-07-31,15cdec,BND,15cdec,93.75625653366828,unimp
1923-08-31,15cdec,BND,15cdec,38.66286275968419,unimp
1923-09-30,15cdec,BND,15cdec,113.52311873607796,unimp
1923-10-31,15cdec,BND,15cdec,69.37914806122815,unimp
1923-11-30,15cdec,BND,15cdec,26.05343308736117,unimp
1923-12-31,15cdec,BND,15cdec,65.81116241896433,unimp
1924-01-31,15cdec,BND,15cdec,119.65415892542197,unimp
1924-02-29,15cdec,BND,15cdec,267.8855534475221,unimp
1924-03-31,15cdec,BND,15cdec,119.20292429538452,unimp
1924-04-30,15cdec,BND,15cdec,91.81326787744777,unimp
1924-05-31,15cdec,BND,15cdec,37.05668225287144,unimp
1924-06-30,15cdec,BND,15cdec,15.224225536150719,unimp
1924-07-31,15cdec,BND,15cdec,8.602487931988763,unimp
1924-08-31,15cdec,BND,15cdec,14.33086405891809,unimp
1924-09-30,15cdec,BND,15cdec,6.009093793756673,unimp
1924-10-31,15cdec,BND,15cdec,128.51623570433816,unimp
1924-11-30,15cdec,BND,15cdec,204.44812793203874,unimp
1924-12-31,15cdec,BND,15cdec,264.19521564021017,unimp
1925-01-31,15cdec,BND,15cdec,245.04546647113963,unimp
1925-02-28,15cdec,BND,15cdec,1480.622385529126,unimp
1925-03-31,15cdec,BND,15cdec,641.740394404449,unimp
1925-04-30,15cdec,BND,15cdec,811.4567632784582,unimp
1925-05-31,15cdec,BND,15cdec,463.35217046684386,unimp
1925-06-30,15cdec,BND,15cdec,289.9719035905476,unimp
1925-07-31,15cdec,BND,15cdec,119.51146751979539,unimp
1925-08-31,15cdec,BND,15cdec,51.93272045398841,unimp
1925-09-30,15cdec,BND,15cdec,96.0169842586855,unimp
1925-10-31,15cdec,BND,15cdec,49.76178427982401,unimp
1925-11-30,15cdec,BND,15cdec,121.76970877084997,unimp
1925-12-31,15cdec,BND,15cdec,167.3276248352638,unimp
1926-01-31,15cdec,BND,15cdec,229.05402321840265,unimp
1926-02-28,15cdec,BND,15cdec,972.2398280506986,unimp
1926-03-31,15cdec,BND,15cdec,349.5250067900934,unimp
1926-04-30,15cdec,BND,15cdec,571.6230139440001,unimp
1926-05-31,15cdec,BND,15cdec,232.55405968644243,unimp
1926-06-30,15cdec,BND,15cdec,82.68431373791837,unimp
1926-07-31,15cdec,BND,15cdec,37.81855715105605,unimp
1926-08-31,15cdec,BND,15cdec,21.616161770548423,unimp
1926-09-30,15cdec,BND,15cdec,11.653479803397374,unimp
1926-10-31,15cdec,BND,15cdec,67.55168033314125,unimp
1926-11-30,15cdec,BND,15cdec,626.221013217846,unimp
1926-12-31,15cdec,BND,15cdec,701.0048021308412,unimp
1927-01-31,15cdec,BND,15cdec,822.8968761494333,unimp
1927-02-28,15cdec,BND,15cdec,1635.499125795789,unimp
1927-03-31,15cdec,BND,15cdec,939.7165421433763,unimp
1927-04-30,15cdec,BND,15cdec,1001.2770465052237,unimp
1927-05-31,15cdec,BND,15cdec,507.6997770471053,unimp
1927-06-30,15cdec,BND,15cdec,233.35197367887983,unimp
1927-07-31,15cdec,BND,15cdec,106.20319988366572,unimp
1927-08-31,15cdec,BND,15cdec,44.10825833677126,unimp
1927-09-30,15cdec,BND,15cdec,25.751519854925277,unimp
1927-10-31,15cdec,BND,15cdec,55.21123499851941,unimp
1927-11-30,15cdec,BND,15cdec,465.77093475532064,unimp
1927-12-31,15cdec,BND,15cdec,247.30988569127666,unimp
1928-01-31,15cdec,BND,15cdec,307.589663688874,unimp
1928-02-29,15cdec,BND,15cdec,463.608108396174,unimp
1928-03-31,15cdec,BND,15cdec,958.5178927092574,unimp
1928-04-30,15cdec,BND,15cdec,695.1477074093889,unimp
1928-05-31,15cdec,BND,15cdec,347.0072571433538,unimp
1928-06-30,15cdec,BND,15cdec,146.4022834066689,unimp
1928-07-31,15cdec,BND,15cdec,69.81556266021074,unimp
1928-08-31,15cdec,BND,15cdec,29.766495198601948,unimp
1928-09-30,15cdec,BND,15cdec,19.520887481463554,unimp
1928-10-31,15cdec,BND,15cdec,23.377805924017363,unimp
1928-11-30,15cdec,BND,15cdec,235.60000348955674,unimp
1928-12-31,15cdec,BND,15cdec,198.36313851330843,unimp
1929-01-31,15cdec,BND,15cdec,122.43912762430382,unimp
1929-02-28,15cdec,BND,15cdec,336.33441474792966,unimp
1929-03-31,15cdec,BND,15cdec,261.2843345504543,unimp
1929-04-30,15cdec,BND,15cdec,319.61166136126707,unimp
1929-05-31,15cdec,BND,15cdec,219.56011345151754,unimp
1929-06-30,15cdec,BND,15cdec,178.82837046521203,unimp
1929-07-31,15cdec,BND,15cdec,54.634522164845514,unimp
1929-08-31,15cdec,BND,15cdec,23.933705334326508,unimp
1929-09-30,15cdec,BND,15cdec,13.044510231935712,unimp
1929-10-31,15cdec,BND,15cdec,18.088808548495035,unimp
1929-11-30,15cdec,BND,15cdec,5.364148672454086,unimp
1929-12-31,15cdec,BND,15cdec,489.21326825491974,unimp
1930-01-31,15cdec,BND,15cdec,332.1517004334609,unimp
1930-02-28,15cdec,BND,15cdec,622.8554211283223,unimp
1930-03-31,15cdec,BND,15cdec,635.5729272754187,unimp
1930-04-30,15cdec,BND,15cdec,469.07273636630805,unimp
1930-05-31,15cdec,BND,15cdec,304.3675687866465,unimp
1930-06-30,15cdec,BND,15cdec,127.36787689642206,unimp
1930-07-31,15cdec,BND,15cdec,53.67040884749829,unimp
1930-08-31,15cdec,BND,15cdec,23.8324231492716,unimp
1930-09-30,15cdec,BND,15cdec,62.698502962745124,unimp
1930-10-31,15cdec,BND,15cdec,25.301695718491136,unimp
1930-11-30,15cdec,BND,15cdec,63.197146212125716,unimp
