set,basin,ref_kind,n_months,pbias_full,pbias_screened,pbias_vic,kge_full,kge_screened,kge_vic,mean_sim_full_taf,mean_sim_screened_taf,mean_vic_taf,mean_calsim3_taf,dpbias,dkge
11obs,AMF,unimp,1167,-0.4,-0.4,6.9,0.968,0.968,0.833,217.4,217.4,233.4,218.3,0.0,0.0
11obs,BLB,inflow_sum,1167,-10.2,-10.2,10.9,0.827,0.827,0.818,32.3,32.3,39.9,36.0,0.0,0.0
11obs,BND,unimp,1167,-1.9,4.8,-2.1,0.958,0.887,0.82,667.5,713.2,666.3,680.7,6.7,-0.071
11obs,FTO,unimp,1167,-2.1,-2.1,10.9,0.959,0.959,0.744,353.2,353.2,400.1,360.8,0.0,0.0
11obs,MRC,unimp,1167,3.3,3.3,17.0,0.95,0.95,0.732,82.2,82.2,93.1,79.5,0.0,0.0
11obs,SHA,unimp,1167,-8.9,0.1,2.4,0.869,0.939,0.781,425.3,467.0,477.9,466.7,9.0,0.07
11obs,SJF,unimp,1167,3.8,3.8,-1.1,0.944,0.944,0.782,148.8,148.8,141.7,143.3,0.0,0.0
11obs,SNS,unimp,1167,-7.8,-0.8,18.2,0.878,0.958,0.717,86.0,92.5,110.3,93.3,7.0,0.08
11obs,TLG,unimp,1167,4.3,4.3,2.9,0.942,0.942,0.811,160.7,160.7,158.6,154.1,0.0,0.0
11obs,TNL,unimp,1167,9.9,9.9,15.0,0.774,0.774,0.574,113.4,113.4,118.6,103.2,0.0,0.0
11obs,YRS,unimp,1167,6.3,6.3,6.4,0.898,0.898,0.802,201.4,201.4,201.4,189.4,0.0,0.0
9unimp,BearRiver,inflow_sum,1167,-11.9,-11.9,4.8,0.88,0.88,0.766,25.3,25.3,30.1,28.7,0.0,0.0
9unimp,CacheCreek,inflow_sum,1167,-3.8,-3.8,8.3,0.894,0.894,0.773,50.0,50.0,56.3,52.0,0.0,0.0
9unimp,CalaverasRiver,inflow_sum,1167,5.3,5.3,30.5,0.915,0.915,0.631,13.6,13.6,16.8,12.9,0.0,0.0
9unimp,ChowchillaRiver,inflow_sum,1167,-14.3,-4.3,41.1,0.79,0.921,0.547,5.0,5.6,8.3,5.9,10.0,0.131
9unimp,CosumnesRiver,inflow_sum,1167,1.5,1.5,34.9,0.967,0.967,0.525,31.1,31.1,41.4,30.7,0.0,0.0
9unimp,FresnoRiver,inflow_sum,1167,11.3,11.3,95.0,0.87,0.87,-0.181,6.2,6.2,10.9,5.6,0.0,0.0
9unimp,MokelumneRiver,inflow_sum,1167,0.9,0.9,11.4,0.937,0.937,0.828,61.6,61.6,68.0,61.0,0.0,0.0
9unimp,PutahCreek,inflow_sum,1167,-0.9,-0.9,9.2,0.973,0.973,0.878,30.3,30.3,33.4,30.6,0.0,0.0
9unimp,StonyCreek,inflow_sum,1167,3.8,3.8,10.9,0.932,0.932,0.818,37.4,37.4,39.9,36.0,0.0,0.0
