set,cid,node,arc,basin,kind,cov_frac,n_hru
11obs,166,ALD002,I_ALD002,AMF,rim_member,1.015,2
11obs,118,LOONL,I_LOONL,AMF,rim_member,1.012,4
11obs,159,PLC007,I_PLC007,AMF,rim_member,1.006,2
11obs,132,ALD004,I_ALD004,AMF,rim_member,1.005,5
11obs,122,LRB004,I_LRB004,AMF,rim_member,1.004,4
11obs,187,NFA016,I_NFA016,AMF,rim_member,1.003,5
11obs,170,NNA013,I_NNA013,AMF,rim_member,1.003,3
11obs,133,PLM001,I_PLM001,AMF,rim_member,1.003,3
11obs,126,GERLE,I_GERLE,AMF,rim_member,1.002,5
11obs,117,MFA036,I_MFA036,AMF,rim_member,1.002,8
11obs,136,SFA030,I_SFA030,AMF,rim_member,1.002,9
11obs,172,SFA066,I_SFA066,AMF,rim_member,1.002,12
11obs,162,SFR006,I_SFR006,AMF,rim_member,1.002,5
11obs,156,SLC003,I_SLC003,AMF,rim_member,1.002,4
11obs,165,BSH003,I_BSH003,AMF,rim_member,1.001,3
11obs,97,MFA001,I_MFA001,AMF,rim_member,1.001,17
11obs,169,MFA025,I_MFA025,AMF,rim_member,1.001,21
11obs,91,NFA022,I_NFA022,AMF,rim_member,1.001,22
11obs,135,RCK001,I_RCK001,AMF,rim_member,1.001,11
11obs,123,RUB047,I_RUB047,AMF,rim_member,1.001,5
11obs,195,SLF009,I_SLF009,AMF,rim_member,1.001,8
11obs,127,UNVLY,I_UNVLY,AMF,rim_member,1.001,14
11obs,167,WBR001,I_WBR001,AMF,rim_member,1.001,19
11obs,98,FOLSM,I_FOLSM,AMF,rim_member,1.0,26
11obs,124,FRMDW,I_FRMDW,AMF,rim_member,1.0,9
11obs,134,SFA040,I_SFA040,AMF,rim_member,1.0,19
11obs,164,SLV015,I_SLV015,AMF,rim_member,1.0,10
11obs,157,NLC003,I_NLC003,AMF,rim_member,0.999,3
11obs,116,NMA003,I_NMA003,AMF,rim_member,0.999,14
11obs,120,STMPY,I_STMPY,AMF,rim_member,0.999,4
11obs,125,DCC010,I_DCC010,AMF,rim_member,0.998,4
11obs,128,ICEHS,I_ICEHS,AMF,rim_member,0.998,9
11obs,129,SILVR,I_SILVR,AMF,rim_member,0.998,5
11obs,163,SLV006,I_SLV006,AMF,rim_member,0.998,6
11obs,168,MFA023,I_MFA023,AMF,rim_member,0.997,4
11obs,86,LKVLY,I_LKVLY,AMF,rim_member,0.996,2
