center,start,end,source,metric,value,n_basins
1936-10-31,1921-10-31,1951-09-30,11obs,kge,0.8919673656110986,11
1936-10-31,1921-10-31,1951-09-30,11obs,nse,0.8924670159549545,11
1936-10-31,1921-10-31,1951-09-30,11obs,pbias,0.039064999807777646,11
1936-10-31,1921-10-31,1951-09-30,11obs,seas_mismatch,0.04312774211101745,11
1936-10-31,1921-10-31,1951-09-30,9unimp,kge,0.8641189739598583,9
1936-10-31,1921-10-31,1951-09-30,9unimp,nse,0.8642187944897447,9
1936-10-31,1921-10-31,1951-09-30,9unimp,pbias,-0.41351075671521037,9
1936-10-31,1921-10-31,1951-09-30,9unimp,seas_mismatch,0.06679623354330846,9
1936-10-31,1921-10-31,1951-09-30,vic_11obs,kge,0.6726046060069553,11
1936-10-31,1921-10-31,1951-09-30,vic_11obs,nse,0.7842894000747953,11
1936-10-31,1921-10-31,1951-09-30,vic_11obs,pbias,14.370801161296203,11
1936-10-31,1921-10-31,1951-09-30,vic_11obs,seas_mismatch,0.07549818093426644,11
1936-10-31,1921-10-31,1951-09-30,vic_9unimp,kge,0.6539945563745398,9
1936-10-31,1921-10-31,1951-09-30,vic_9unimp,nse,0.7878958296764857,9
1936-10-31,1921-10-31,1951-09-30,vic_9unimp,pbias,24.144526876557727,9
1936-10-31,1921-10-31,1951-09-30,vic_9unimp,seas_mismatch,0.09333871612469696,9
1936-11-30,1921-11-30,1951-10-31,11obs,kge,0.8923144458076637,11
1936-11-30,1921-11-30,1951-10-31,11obs,nse,0.8923484625723824,11
1936-11-30,1921-11-30,1951-10-31,11obs,pbias,0.11187819465667959,11
1936-11-30,1921-11-30,1951-10-31,11obs,seas_mismatch,0.04348227095050418,11
1936-11-30,1921-11-30,1951-10-31,9unimp,kge,0.8638105082064336,9
1936-11-30,1921-11-30,1951-10-31,9unimp,nse,0.8640889977518195,9
1936-11-30,1921-11-30,1951-10-31,9unimp,pbias,-0.32916443097055936,9
1936-11-30,1921-11-30,1951-10-31,9unimp,seas_mismatch,0.06688713762611553,9
1936-11-30,1921-11-30,1951-10-31,vic_11obs,kge,0.672596979772144,11
1936-11-30,1921-11-30,1951-10-31,vic_11obs,nse,0.7842701702988781,11
1936-11-30,1921-11-30,1951-10-31,vic_11obs,pbias,14.370906382776164,11
1936-11-30,1921-11-30,1951-10-31,vic_11obs,seas_mismatch,0.07549483319870358,11
1936-11-30,1921-11-30,1951-10-31,vic_9unimp,kge,0.6536398435639791,9
1936-11-30,1921-11-30,1951-10-31,vic_9unimp,nse,0.7878637103423085,9
1936-11-30,1921-11-30,1951-10-31,vic_9unimp,pbias,24.208741877957785,9
1936-11-30,1921-11-30,1951-10-31,vic_9unimp,seas_mismatch,0.09349895909821095,9
1936-12-31,1921-12-31,1951-11-30,11obs,kge,0.8930869894920194,11
1936-12-31,1921-12-31,1951-11-30,11obs,nse,0.8919005109309401,11
1936-12-31,1921-12-31,1951-11-30,11obs,pbias,0.16746207100089117,11
1936-12-31,1921-12-31,1951-11-30,11obs,seas_mismatch,0.04372462310956656,11
1936-12-31,1921-12-31,1951-11-30,9unimp,kge,0.8638140756916102,9
1936-12-31,1921-12-31,1951-11-30,9unimp,nse,0.8633878057760551,9
1936-12-31,1921-12-31,1951-11-30,9unimp,pbias,-0.27475773347954197,9
1936-12-31,1921-12-31,1951-11-30,9unimp,seas_mismatch,0.06717642691100424,9
1936-12-31,1921-12-31,1951-11-30,vic_11obs,kge,0.6724710345990033,11
1936-12-31,1921-12-31,1951-11-30,vic_11obs,nse,0.7841349273858089,11
1936-12-31,1921-12-31,1951-11-30,vic_11obs,pbias,14.37177890767483,11
1936-12-31,1921-12-31,1951-11-30,vic_11obs,seas_mismatch,0.07547910462963933,11
1936-12-31,1921-12-31,1951-11-30,vic_9unimp,kge,0.6523000866629969,9
1936-12-31,1921-12-31,1951-11-30,vic_9unimp,nse,0.7875864220857756,9
1936-12-31,1921-12-31,1951-11-30,vic_9unimp,pbias,24.249039596537216,9
1936-12-31,1921-12-31,1951-11-30,vic_9unimp,seas_mismatch,0.09400951104691699,9
1937-01-31,1922-01-31,1951-12-31,11obs,kge,0.8954914388222168,11
1937-01-31,1922-01-31,1951-12-31,11obs,nse,0.893136785938892,11
1937-01-31,1922-01-31,1951-12-31,11obs,pbias,0.1085964609567857,11
1937-01-31,1922-01-31,1951-12-31,11obs,seas_mismatch,0.04332076465190994,11
1937-01-31,1922-01-31,1951-12-31,9unimp,kge,0.8650173556369988,9
1937-01-31,1922-01-31,1951-12-31,9unimp,nse,0.8638552655185535,9
1937-01-31,1922-01-31,1951-12-31,9unimp,pbias,-0.5689809354223664,9
1937-01-31,1922-01-31,1951-12-31,9unimp,seas_mismatch,0.06722000938947648,9
1937-01-31,1922-01-31,1951-12-31,vic_11obs,kge,0.6728784040182292,11
1937-01-31,1922-01-31,1951-12-31,vic_11obs,nse,0.7838202482624144,11
1937-01-31,1922-01-31,1951-12-31,vic_11obs,pbias,14.3434216111123,11
1937-01-31,1922-01-31,1951-12-31,vic_11obs,seas_mismatch,0.07565721529134273,11
1937-01-31,1922-01-31,1951-12-31,vic_9unimp,kge,0.658482378862485,9
1937-01-31,1922-01-31,1951-12-31,vic_9unimp,nse,0.787499230646763,9
1937-01-31,1922-01-31,1951-12-31,vic_9unimp,pbias,23.20523878674587,9
1937-01-31,1922-01-31,1951-12-31,vic_9unimp,seas_mismatch,0.09534697952146007,9
1937-02-28,1922-02-28,1952-01-31,11obs,kge,0.896972304685721,11
1937-02-28,1922-02-28,1952-01-31,11obs,nse,0.8941903456293802,11
1937-02-28,1922-02-28,1952-01-31,11obs,pbias,0.1462013310819006,11
1937-02-28,1922-02-28,1952-01-31,11obs,seas_mismatch,0.044198408373710175,11
1937-02-28,1922-02-28,1952-01-31,9unimp,kge,0.8655911755751962,9
1937-02-28,1922-02-28,1952-01-31,9unimp,nse,0.8698672596663528,9
1937-02-28,1922-02-28,1952-01-31,9unimp,pbias,-0.5192736186829127,9
1937-02-28,1922-02-28,1952-01-31,9unimp,seas_mismatch,0.06384613111844503,9
1937-02-28,1922-02-28,1952-01-31,vic_11obs,kge,0.6718833141398508,11
1937-02-28,1922-02-28,1952-01-31,vic_11obs,nse,0.7838612671546581,11
1937-02-28,1922-02-28,1952-01-31,vic_11obs,pbias,14.33028361892228,11
1937-02-28,1922-02-28,1952-01-31,vic_11obs,seas_mismatch,0.0756514161004139,11
1937-02-28,1922-02-28,1952-01-31,vic_9unimp,kge,0.6692848340957038,9
1937-02-28,1922-02-28,1952-01-31,vic_9unimp,nse,0.7910111336166339,9
1937-02-28,1922-02-28,1952-01-31,vic_9unimp,pbias,22.74516873281716,9
1937-02-28,1922-02-28,1952-01-31,vic_9unimp,seas_mismatch,0.09636686217280074,9
1937-03-31,1922-03-31,1952-02-29,11obs,kge,0.8949485724811858,11
1937-03-31,1922-03-31,1952-02-29,11obs,nse,0.8961621893215695,11
1937-03-31,1922-03-31,1952-02-29,11obs,pbias,-0.1412429997932474,11
1937-03-31,1922-03-31,1952-02-29,11obs,seas_mismatch,0.043008624669686545,11
1937-03-31,1922-03-31,1952-02-29,9unimp,kge,0.8665799150230955,9
1937-03-31,1922-03-31,1952-02-29,9unimp,nse,0.8744811648045715,9
1937-03-31,1922-03-31,1952-02-29,9unimp,pbias,-0.44337728587052677,9
1937-03-31,1922-03-31,1952-02-29,9unimp,seas_mismatch,0.060757246283530186,9
1937-03-31,1922-03-31,1952-02-29,vic_11obs,kge,0.6770448923437989,11
1937-03-31,1922-03-31,1952-02-29,vic_11obs,nse,0.784694362726021,11
1937-03-31,1922-03-31,1952-02-29,vic_11obs,pbias,14.293432328733392,11
1937-03-31,1922-03-31,1952-02-29,vic_11obs,seas_mismatch,0.07561046629542467,11
1937-03-31,1922-03-31,1952-02-29,vic_9unimp,kge,0.6770448923437989,9
1937-03-31,1922-03-31,1952-02-29,vic_9unimp,nse,0.784694362726021,9
1937-03-31,1922-03-31,1952-02-29,vic_9unimp,pbias,22.017829753208453,9
1937-03-31,1922-03-31,1952-02-29,vic_9unimp,seas_mismatch,0.08899224410223944,9
1937-04-30,1922-04-30,1952-03-31,11obs,kge,0.8937201879933487,11
1937-04-30,1922-04-30,1952-03-31,11obs,nse,0.8971703641858575,11
1937-04-30,1922-04-30,1952-03-31,11obs,pbias,-0.2711211060892992,11
1937-04-30,1922-04-30,1952-03-31,11obs,seas_mismatch,0.043332236369373764,11
1937-04-30,1922-04-30,1952-03-31,9unimp,kge,0.8672987470115219,9
1937-04-30,1922-04-30,1952-03-31,9unimp,nse,0.8750614517384017,9
1937-04-30,1922-04-30,1952-03-31,9unimp,pbias,-0.6672849985834274,9
1937-04-30,1922-04-30,1952-03-31,9unimp,seas_mismatch,0.057395708088151295,9
1937-04-30,1922-04-30,1952-03-31,vic_11obs,kge,0.6794388929848842,11
1937-04-30,1922-04-30,1952-03-31,vic_11obs,nse,0.7884051622867738,11
1937-04-30,1922-04-30,1952-03-31,vic_11obs,pbias,14.190413025070878,11
1937-04-30,1922-04-30,1952-03-31,vic_11obs,seas_mismatch,0.07538196728068247,11
1937-04-30,1922-04-30,1952-03-31,vic_9unimp,kge,0.6794388929848842,9
1937-04-30,1922-04-30,1952-03-31,vic_9unimp,nse,0.7884051622867738,9
1937-04-30,1922-04-30,1952-03-31,vic_9unimp,pbias,21.732545819127484,9
1937-04-30,1922-04-30,1952-03-31,vic_9unimp,seas_mismatch,0.08356274034177974,9
1937-05-31,1922-05-31,1952-04-30,11obs,kge,0.8875360930135342,11
1937-05-31,1922-05-31,1952-04-30,11obs,nse,0.8996673403715858,11
1937-05-31,1922-05-31,1952-04-30,11obs,pbias,-0.37901049246013957,11
1937-05-31,1922-05-31,1952-04-30,11obs,seas_mismatch,0.043091608520936554,11
1937-05-31,1922-05-31,1952-04-30,9unimp,kge,0.868900868666206,9
1937-05-31,1922-05-31,1952-04-30,9unimp,nse,0.8751198315657854,9
1937-05-31,1922-05-31,1952-04-30,9unimp,pbias,-0.8117561958189974,9
1937-05-31,1922-05-31,1952-04-30,9unimp,seas_mismatch,0.05689444708828618,9
1937-05-31,1922-05-31,1952-04-30,vic_11obs,kge,0.682025677560126,11
1937-05-31,1922-05-31,1952-04-30,vic_11obs,nse,0.7889344655933068,11
1937-05-31,1922-05-31,1952-04-30,vic_11obs,pbias,14.102037777769162,11
1937-05-31,1922-05-31,1952-04-30,vic_11obs,seas_mismatch,0.07500069738067906,11
1937-05-31,1922-05-31,1952-04-30,vic_9unimp,kge,0.682025677560126,9
1937-05-31,1922-05-31,1952-04-30,vic_9unimp,nse,0.7889344655933068,9
1937-05-31,1922-05-31,1952-04-30,vic_9unimp,pbias,21.570162792756566,9
1937-05-31,1922-05-31,1952-04-30,vic_9unimp,seas_mismatch,0.08346985625433359,9
1937-06-30,1922-06-30,1952-05-31,11obs,kge,0.8931422424947231,11
1937-06-30,1922-06-30,1952-05-31,11obs,nse,0.8997226666993471,11
1937-06-30,1922-06-30,1952-05-31,11obs,pbias,-0.3053635244161272,11
