date,set,basin,source,flow_taf,ref_kind
1915-10-31,11obs,AMF,bcm,0.012704629296516067,unimp
1915-11-30,11obs,AMF,bcm,2.996537624821779,unimp
1915-12-31,11obs,AMF,bcm,186.56628950277624,unimp
1916-01-31,11obs,AMF,bcm,689.3553793022105,unimp
1916-02-29,11obs,AMF,bcm,747.6776348257106,unimp
1916-03-31,11obs,AMF,bcm,823.6222340399526,unimp
1916-04-30,11obs,AMF,bcm,472.5155326078705,unimp
1916-05-31,11obs,AMF,bcm,439.7695139268032,unimp
1916-06-30,11obs,AMF,bcm,83.72818698435097,unimp
1916-07-31,11obs,AMF,bcm,0.7738815067247782,unimp
1916-08-31,11obs,AMF,bcm,0.029478400669618345,unimp
1916-09-30,11obs,AMF,bcm,0.2866623633516033,unimp
1916-10-31,11obs,AMF,bcm,9.801427594874097,unimp
1916-11-30,11obs,AMF,bcm,26.091028660987632,unimp
1916-12-31,11obs,AMF,bcm,111.96742415460018,unimp
1917-01-31,11obs,AMF,bcm,168.73637392606798,unimp
1917-02-28,11obs,AMF,bcm,779.7666134746365,unimp
1917-03-31,11obs,AMF,bcm,286.2237405605265,unimp
1917-04-30,11obs,AMF,bcm,488.2788267788035,unimp
1917-05-31,11obs,AMF,bcm,407.2781775921493,unimp
1917-06-30,11obs,AMF,bcm,115.36667206788651,unimp
1917-07-31,11obs,AMF,bcm,0.022504339164876416,unimp
1917-08-31,11obs,AMF,bcm,0.0033807564427272524,unimp
1917-09-30,11obs,AMF,bcm,0.1391879530135335,unimp
1917-10-31,11obs,AMF,bcm,0.0002739519119269873,unimp
1917-11-30,11obs,AMF,bcm,1.2094017733536495,unimp
1917-12-31,11obs,AMF,bcm,5.435266473460067,unimp
1918-01-31,11obs,AMF,bcm,9.659674149786996,unimp
1918-02-28,11obs,AMF,bcm,335.137581548096,unimp
1918-03-31,11obs,AMF,bcm,885.1689774189679,unimp
1918-04-30,11obs,AMF,bcm,264.6805724297406,unimp
1918-05-31,11obs,AMF,bcm,99.91082584554802,unimp
