set,basin,ref_kind,n_months,kge,pbias,r,target_mean_taf,calsim3_mean_taf,area_gis,area_implied,area_pub,class
9unimp,BearRiver,inflow_sum,1068,0.914,-8.4,0.996,26.2,28.6,282.0,307.8,281.9,product_offset
9unimp,CacheCreek,inflow_sum,1068,0.783,-11.0,0.878,46.8,52.6,953.4,1071.6,947.9,product_offset
9unimp,CalaverasRiver,inflow_sum,1068,0.919,4.8,0.995,13.5,12.9,361.6,345.0,357.9,product_offset
9unimp,ChowchillaRiver,inflow_sum,1068,0.859,-10.2,0.999,5.3,5.9,234.8,261.6,264.5,area_artifact
9unimp,CosumnesRiver,inflow_sum,1068,0.988,0.6,0.999,30.7,30.5,539.1,535.8,534.4,consistent
9unimp,FresnoRiver,inflow_sum,1068,0.889,7.2,0.991,6.1,5.7,235.6,219.8,276.8,product_offset
9unimp,MokelumneRiver,inflow_sum,1068,0.985,-1.4,0.999,60.2,61.0,543.9,551.6,543.6,consistent
9unimp,PutahCreek,inflow_sum,1068,0.968,2.1,0.999,31.4,30.8,567.5,556.0,570.3,consistent
9unimp,StonyCreek,inflow_sum,1068,0.947,-4.8,0.994,35.1,36.8,744.9,782.8,743.6,product_offset
11obs,AMF,unimp,1105,0.984,-1.1,1.0,215.1,217.5,1863.8,1884.9,1862.6,consistent
11obs,BLB,inflow_sum,236,0.882,-7.8,0.979,39.1,42.4,744.9,808.0,743.9,product_offset
11obs,BND,unimp,1105,0.971,2.1,1.0,697.9,683.8,9083.7,8900.2,9978.2,consistent
11obs,FTO,unimp,1105,0.998,-0.1,1.0,360.7,361.2,3601.6,3607.0,3641.5,consistent
11obs,MRC,unimp,1105,0.995,-0.4,1.0,79.5,79.8,1036.1,1040.0,1053.1,consistent
11obs,SHA,unimp,1116,0.984,-1.1,1.0,462.0,467.4,6588.4,6665.1,7469.7,consistent
11obs,SJF,unimp,1105,0.969,-2.2,1.0,140.9,144.1,1637.8,1675.0,1676.1,consistent
11obs,SNS,unimp,1105,0.869,-9.3,1.0,84.6,93.2,903.7,996.0,980.5,area_artifact
11obs,TLG,unimp,1105,0.99,-0.7,1.0,153.0,154.0,1531.6,1542.0,1536.6,consistent
11obs,TNL,unimp,1105,0.986,-0.8,0.998,103.1,103.9,692.9,698.3,718.6,consistent
11obs,YRS,unimp,1105,0.88,8.5,1.0,205.4,189.4,1193.4,1100.0,1110.1,area_artifact
