arc,node,source,n_months,kge,nse,pbias,r
I_ALD002,ALD002,vic,1167,0.7168957038065338,0.42031776877519267,-0.6978926897901336,0.7548289547712177
I_ALD004,ALD004,vic,1167,0.8556052643622303,0.7382688118823445,1.766365819861,0.8821337134481758
I_ALMNR,ALMNR,vic,1167,-0.20938614609158712,-0.9053873711685783,4.203786258836443,0.8979835903007113
I_ALOHA,ALOHA,vic,1167,0.5346200475038229,0.6479698461363443,-41.88401498329446,0.8769381756710823
I_AMADR,AMADR,vic,1167,0.7889727378619243,0.7294626982705579,-16.30164718560144,0.8673789952118443
I_ANG017,ANG017,vic,1167,-0.060247049032155386,0.006040993775492498,-77.40666558099639,0.6883918136918863
I_ANT011,ANT011,vic,1167,0.18188396796098338,0.05306775667881669,30.516548166075175,0.9122560499387162
I_ANTLP,ANTLP,vic,1167,0.7408339453661541,0.60474436550532,-8.404455944523797,0.7853890144818068
I_BANOS,BANOS,vic,1167,0.1673211897543908,0.549914862095458,80.08287935356017,0.7924487861120598
I_BCC014,BCC014,vic,1167,0.5752140506099058,0.7183537983212316,25.584364673480675,0.9475783084370214
I_BCK040,BCK040,vic,1167,0.7830168705656249,0.7237021017062908,0.6371707373313118,0.8507503439799422
I_BCN010,BCN010,vic,1167,0.586111906344069,0.5902450535455099,9.041695680892829,0.9104271760869425
I_BEARD,BEARD,vic,1167,0.26603684207064004,0.2577694113087713,-55.03790864808341,0.6674196344130385
I_BLKBT,BLKBT,vic,1167,0.8844378394701471,0.8706470567206328,9.297162624754812,0.938894757452562
I_BOWMN,BOWMN,vic,1167,0.7445954174965548,0.7741617125598337,-23.84466978979156,0.90852868895923
I_BRC003,BRC003,vic,1167,0.5391094088899466,0.6305892243920579,35.407865452952926,0.8949484860269858
I_BRR023,BRR023,vic,1167,0.7560698385495844,0.7760457319753812,8.785465697054233,0.9284274704120257
I_BSH003,BSH003,vic,1167,0.6093766351076011,0.19976859081800258,-11.502882338447362,0.689873916907757
I_BTC048,BTC048,vic,1167,0.49418647879859434,0.6046285357167869,25.948696043384064,0.9432616551185927
I_BTL006,BTL006,vic,1167,-0.4231247967604521,-1.5027227363810138,22.30309747051772,0.9140105658501815
