set,basin,period,forcing,n_months,kge,nse,pbias
11obs,AMF,full,unsplit,1179,0.967946537296447,0.9488519341646499,-0.3147560507789417
11obs,AMF,full,lto,1179,0.9651704203183671,0.9422787317177154,-0.8578360712782687
11obs,AMF,pre1950,unsplit,348,0.9347419684530734,0.9298488205663953,0.03069773191260096
11obs,AMF,pre1950,lto,348,0.9573252224239658,0.9275520276730642,-0.9272838679658124
11obs,AMF,post1950,unsplit,831,0.9746293127806454,0.9538059618446448,-0.4412153779883908
11obs,AMF,post1950,lto,831,0.9671788095222371,0.9460636072556668,-0.8324135051194708
11obs,BLB,full,unsplit,1167,0.8271022353491864,0.8882112042539235,-10.233672144654435
11obs,BLB,full,lto,1167,0.7742190815143978,0.910600233604225,-11.518885929459751
11obs,BLB,pre1950,unsplit,336,0.9240262620228641,0.8891625125442427,2.504207323448259
11obs,BLB,pre1950,lto,336,0.7981508733014102,0.8923065016104421,-7.299402057230525
11obs,BLB,post1950,unsplit,831,0.790052888374756,0.8873628862447127,-14.108155964010686
11obs,BLB,post1950,lto,831,0.7665632680192204,0.914231770144529,-12.80232733977653
11obs,BND,full,unsplit,1179,0.8901007169067453,0.9133870059115531,4.50085173358351
11obs,BND,full,lto,1179,0.8393132225349509,0.9236714469372712,10.913971665075442
11obs,BND,pre1950,unsplit,348,0.875168295055408,0.8940695582728883,-10.154766260382143
11obs,BND,pre1950,lto,348,0.8210940731023552,0.9057852904886644,13.799875137019898
11obs,BND,post1950,unsplit,831,0.8449392692762118,0.9179758725912338,9.650504354320988
11obs,BND,post1950,lto,831,0.8437553495351919,0.9279554597056755,9.899930470523765
11obs,FTO,full,unsplit,1179,0.9586870603480924,0.9315254730807397,-2.1533969670936903
11obs,FTO,full,lto,1179,0.9572481098392657,0.9329917576123402,-1.6204273932470385
11obs,FTO,pre1950,unsplit,348,0.8916215847387036,0.9013865337505741,-8.1726684327891
11obs,FTO,pre1950,lto,348,0.941167999952538,0.8936266104216674,-2.0969449864091483
11obs,FTO,post1950,unsplit,831,0.9695612153991934,0.9391205506106978,-0.0031834708863257588
11obs,FTO,post1950,lto,831,0.960497926843348,0.9430381221681589,-1.4502050389576602
11obs,MRC,full,unsplit,1179,0.9506324340732365,0.9266262547305918,3.1790357090633696
11obs,MRC,full,lto,1179,0.9584704729098196,0.9364823607541949,-1.081166686473799
11obs,MRC,pre1950,unsplit,348,0.8928203119546475,0.9030282633547961,9.314240318088816
11obs,MRC,pre1950,lto,348,0.9566467694597627,0.933285916688789,0.16601723011514075
11obs,MRC,post1950,unsplit,831,0.9657125475963363,0.934192848444402,0.820952601017277
11obs,MRC,post1950,lto,831,0.9580359475988928,0.9374424903609362,-1.5605253246533037
11obs,SHA,full,unsplit,1179,0.9347775936333785,0.8806753851696649,0.3308010647610275
11obs,SHA,full,lto,1179,0.9147239006924934,0.8919374636835158,5.801037141711444
11obs,SHA,pre1950,unsplit,348,0.8246165347921258,0.7699098324892584,-13.453072210162134
11obs,SHA,pre1950,lto,348,0.8364823352223337,0.803468745513712,9.644635245765578
11obs,SHA,post1950,unsplit,831,0.9262595431367276,0.9053477932702004,5.079601304666628
11obs,SHA,post1950,lto,831,0.9341182003044785,0.9114664448633821,4.4768462387205386
11obs,SJF,full,unsplit,1179,0.9432021421092379,0.9183646271699512,3.9060089180568744
11obs,SJF,full,lto,1179,0.9586501454292381,0.9416036298402677,2.7524277317094503
11obs,SJF,pre1950,unsplit,348,0.8269072167816591,0.9164555848076718,15.454923004598163
11obs,SJF,pre1950,lto,348,0.940011868768199,0.9274754518304564,4.137589527044249
11obs,SJF,post1950,unsplit,831,0.9578553638393915,0.91880349620017,-0.4106768943325031
11obs,SJF,post1950,lto,831,0.9646044829464457,0.9460567514739205,2.2346900271097203
11obs,SNS,full,unsplit,1179,0.9571656048798747,0.9202475836022066,-0.8453218357661385
11obs,SNS,full,lto,1179,0.9321884556435323,0.9313181255299715,-2.3369135099159766
11obs,SNS,pre1950,unsplit,348,0.9210055317748533,0.8599908073645331,2.9399089981123696
11obs,SNS,pre1950,lto,348,0.899228382162567,0.9094194776196023,-1.7894504216754874
11obs,SNS,post1950,unsplit,831,0.9611973465399396,0.9392219372468202,-2.2355392411238313
11obs,SNS,post1950,lto,831,0.9414709898113615,0.9380970795189181,-2.5379825457197853
11obs,TLG,full,unsplit,1179,0.9398050482870244,0.9255187562077126,4.461914931118204
11obs,TLG,full,lto,1179,0.953094265733283,0.9348865761921444,1.2662598769458302
11obs,TLG,pre1950,unsplit,348,0.8131146446772046,0.8715081590313664,15.97025117015928
11obs,TLG,pre1950,lto,348,0.9383361004641746,0.9359605080202356,5.032208022058694
11obs,TLG,post1950,unsplit,831,0.9712259573917604,0.9427988186947809,0.184308488503497
11obs,TLG,post1950,lto,831,0.951942302658684,0.9343619421233464,-0.1335292596835412
11obs,TNL,full,unsplit,1179,0.7660141914270215,0.6612167514204658,10.905843106441386
11obs,TNL,full,lto,1179,0.8451854053725524,0.8161327554689028,-8.930361193820422
11obs,TNL,pre1950,unsplit,348,0.40162481364206626,0.24982988949448903,39.308286834067154
11obs,TNL,pre1950,lto,348,0.8277705898564007,0.7352842472128436,-0.9774396662993032
11obs,TNL,post1950,unsplit,831,0.8624326075781563,0.7658167552341575,1.7476938644827036
11obs,TNL,post1950,lto,831,0.8395170339861933,0.8350641083839051,-11.494719491898184
11obs,YRS,full,unsplit,1179,0.9002280023756072,0.9320533548684709,6.090957483977136
11obs,YRS,full,lto,1179,0.8495264053860876,0.9147578099744007,10.211957334101186
11obs,YRS,pre1950,unsplit,348,0.9512093306281246,0.91584035870053,-1.8075749517882957
11obs,YRS,pre1950,lto,348,0.863185445190787,0.8794400905055119,8.549645483428844
11obs,YRS,post1950,unsplit,831,0.8670676382980546,0.936467432450963,9.049930353204113
11obs,YRS,post1950,lto,831,0.8443352929837054,0.9245247955519801,10.83469778700626
9unimp,BearRiver,full,unsplit,1167,0.879614211594784,0.9599372037918169,-11.924965367159377
9unimp,BearRiver,full,lto,1167,0.856051821380768,0.9558511211068357,-14.141768931404618
9unimp,BearRiver,pre1950,unsplit,336,0.86760110160777,0.9415177203244246,-12.99882112226077
9unimp,BearRiver,pre1950,lto,336,0.8214970987173652,0.9256370140480948,-17.229815500081987
9unimp,BearRiver,post1950,unsplit,831,0.8835197810550443,0.96452879402826,-11.55822344901009
9unimp,BearRiver,post1950,lto,831,0.8672612074579455,0.9634568919881132,-13.08714300371275
9unimp,CacheCreek,full,unsplit,1167,0.8936961140683716,0.822141127214837,-3.802176754179755
9unimp,CacheCreek,full,lto,1167,0.9376804980913722,0.8816762160224725,0.14810349587071586
9unimp,CacheCreek,pre1950,unsplit,336,0.6330659382656598,0.6990541972928117,-23.515896428811644
9unimp,CacheCreek,pre1950,lto,336,0.7776990184343601,0.7718436481094657,-9.161980556529485
9unimp,CacheCreek,post1950,unsplit,831,0.9202773884532732,0.8489475193964969,2.4022265738350743
9unimp,CacheCreek,post1950,lto,831,0.9432835536396477,0.9057827890471617,3.078221070441943
9unimp,CalaverasRiver,full,unsplit,1167,0.9145661518156177,0.9341059315989573,5.262904836730186
9unimp,CalaverasRiver,full,lto,1167,0.8087107040765995,0.9230498793038405,14.43417269314986
9unimp,CalaverasRiver,pre1950,unsplit,336,0.93298119313652,0.9284352986095501,5.5780197043554605
9unimp,CalaverasRiver,pre1950,lto,336,0.7873722708780814,0.9106958020450382,18.01235029982073
9unimp,CalaverasRiver,post1950,unsplit,831,0.9070512432595184,0.9352646972078802,5.164252005870285
9unimp,CalaverasRiver,post1950,lto,831,0.8144931903829743,0.9258094192907551,13.313954682245488
9unimp,ChowchillaRiver,full,unsplit,1167,0.9207606923059857,0.9057817195214545,-4.258125776009502
9unimp,ChowchillaRiver,full,lto,1167,0.9740024081292091,0.9543145750447166,-1.1041213442686297
9unimp,ChowchillaRiver,pre1950,unsplit,336,0.8771176819972455,0.9037026667305941,-9.6262750623196
9unimp,ChowchillaRiver,pre1950,lto,336,0.8516727260179834,0.9405376241345264,-11.472171209374649
