domain,basin,mean_mmday_wgen_a,mean_mmday_livneh,volume_pct_change,daily_corr,monthly_kge_vs_livneh
9unimp,BearRiver,1.3725,1.3946,-1.59,0.9982,0.9828
9unimp,CacheCreek,0.7861,0.8066,-2.55,0.9996,0.9678
9unimp,CalaverasRiver,0.5671,0.5823,-2.6,0.9995,0.9705
9unimp,ChowchillaRiver,0.3148,0.3296,-4.48,0.9991,0.949
9unimp,CosumnesRiver,0.8643,0.8952,-3.45,0.9954,0.9651
9unimp,FresnoRiver,0.3793,0.4026,-5.77,0.9978,0.9368
9unimp,MokelumneRiver,1.6666,1.738,-4.11,0.9791,0.9456
9unimp,PutahCreek,0.8099,0.8235,-1.65,0.9999,0.98
9unimp,StonyCreek,0.7842,0.8001,-2.0,0.9973,0.9798
11obs,AMF,1.7188,1.7783,-3.34,0.9872,0.9621
11obs,BLB,0.6673,0.689,-3.16,0.9973,0.967
11obs,BND,1.1019,1.1309,-2.56,0.9975,0.9734
11obs,FTO,1.4543,1.5091,-3.63,0.981,0.9572
11obs,MRC,1.1808,1.2238,-3.52,0.9868,0.951
11obs,SHA,0.9729,0.9936,-2.09,0.9949,0.9774
11obs,SJF,1.3913,1.4179,-1.87,0.9952,0.9534
11obs,SNS,1.4122,1.4635,-3.5,0.9764,0.9469
11obs,TLG,1.5812,1.6322,-3.12,0.9821,0.9567
11obs,TNL,2.5222,2.5489,-1.05,0.9956,0.9862
11obs,YRS,2.5189,2.5841,-2.52,0.9874,0.9623
12rim,DPR_I,1.3672,1.417,-3.52,0.9789,0.9493
12rim,FOL_I,1.7475,1.8004,-2.94,0.9904,0.9602
12rim,LK_MC,1.154,1.1956,-3.48,0.9861,0.9537
12rim,MILLE,1.4033,1.4288,-1.78,0.9949,0.9625
12rim,N_HOG,0.5533,0.5646,-2.0,0.9995,0.9764
12rim,N_MEL,1.4766,1.5294,-3.45,0.9791,0.9511
12rim,OROVI,1.3304,1.3734,-3.13,0.9842,0.9631
12rim,PRD_C,0.6489,0.6996,-7.24,0.9771,0.9242
12rim,SHAST,1.0158,1.0406,-2.39,0.9962,0.9727
12rim,SMART,1.9399,2.0015,-3.08,0.9911,0.9583
12rim,TRINI,2.5177,2.5423,-0.97,0.9944,0.9889
12rim,WKYTN,1.8049,1.8427,-2.05,0.9947,0.9791
