basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.7824,0.8034,-15.4832,0.9288,5812,0.7817,0.8192,-16.7063,0.9364,5567,1.1406,8047.8054
BND,8900.0,0.7782,0.7351,-16.468,0.8963,1458,0.8073,0.861,-18.3075,0.9428,5571,1.2101,11400.9931
ORO,3607.0,0.8782,0.8091,6.867,0.9105,5480,0.8815,0.8089,0.2237,0.9149,5569,1.557,5945.3263
FOL,1885.0,0.852,0.7399,-4.7342,0.8657,5063,0.8525,0.8179,-9.2165,0.9061,5272,2.0599,4110.52
YRS,1108.0,0.7848,0.6704,12.9051,0.8321,5063,0.7891,0.6987,12.9157,0.8714,5545,2.7166,3186.4136
MKM,544.0,0.849,0.7278,0.1038,0.8579,5195,0.8008,0.693,-12.7949,0.8479,5056,1.8209,1048.6139
NML,900.0,0.8736,0.7692,4.9348,0.8901,5721,0.8721,0.7875,-5.496,0.9024,5473,1.5142,1442.6614
NHG,363.0,0.8746,0.7912,2.4229,0.891,4637,0.8752,0.804,2.1501,0.8974,4678,0.658,252.8732
TLG,1538.0,0.9078,0.8263,-3.1811,0.9148,5498,0.8848,0.8225,-1.197,0.9213,5157,1.6987,2765.7774
MRC,1061.0,0.8623,0.7946,7.9224,0.9061,5463,0.8844,0.8001,-5.8703,0.9031,5570,1.1648,1308.346
MIL,1675.0,0.9021,0.8426,-5.3186,0.9205,5721,0.8946,0.8198,-5.376,0.9132,5499,1.3344,2366.0635
PNF,1545.0,0.877,0.849,-9.2901,0.9301,5809,0.814,0.783,6.2725,0.917,5549,1.3144,2149.7891
TRM,561.0,0.8328,0.7321,3.3838,0.8867,5543,0.8117,0.6815,-5.6838,0.8643,5503,0.9003,534.6446
SCC,393.0,0.4632,0.3772,35.6766,0.8317,5228,-0.1754,-0.5768,68.5285,0.8518,5292,0.4767,198.3217
ISB,2074.0,0.5502,0.5312,1.976,0.9041,5821,0.7383,0.6296,-5.1752,0.8687,5569,0.3887,853.502
