basin,GA_cal,GA_val,hybrid_cal,hybrid_val,hybrid_dt_cal,hybrid_dt_val
BND,0.7782,0.8073,0.9384,0.8998,0.8699,0.8421
FOL,0.852,0.8525,0.9231,0.883,0.8281,0.7948
ISB,0.5502,0.7383,0.9488,0.8834,0.9304,0.8963
MIL,0.9021,0.8946,0.9478,0.9297,0.9323,0.9325
MKM,0.849,0.8008,0.8976,0.8438,0.8601,0.8107
MRC,0.8623,0.8844,0.8966,0.8519,0.8801,0.8571
NHG,0.8746,0.8752,0.9183,0.825,0.8155,0.7903
NML,0.8736,0.8721,0.8939,0.885,0.9044,0.892
ORO,0.8782,0.8815,0.9204,0.9319,0.8613,0.8858
PNF,0.877,0.814,0.967,0.9074,0.9549,0.7983
SCC,0.4632,-0.1754,0.9069,0.6379,0.7957,0.6306
SHA,0.7824,0.7817,0.9494,0.9191,0.9174,0.8956
TLG,0.9078,0.8848,0.9018,0.9263,0.8537,0.9381
TRM,0.8328,0.8117,0.9368,0.909,0.9015,0.8735
YRS,0.7848,0.7891,0.8793,0.9148,0.7903,0.8953
