basin,model,dp,dt,annual,freshet,q999,q30,pct_annual,pct_freshet,pct_q999,pct_q30
SHA,Noah,-0.2,0.0,3647.485,1285.3299,7.6641,0.2334,-33.2891,-31.7827,-29.9925,-34.4769
BND,Noah,-0.2,0.0,4789.0333,1634.6247,8.2729,0.189,-35.3922,-33.0807,-33.2778,-36.4225
ORO,Noah,-0.2,0.0,2807.5543,960.427,14.7744,0.1966,-34.1873,-32.8055,-32.7576,-37.0841
YRS,Noah,-0.2,0.0,1679.252,686.604,28.9324,0.5012,-30.5968,-28.7553,-26.6726,-35.3807
FOL,Noah,-0.2,0.0,1791.0919,756.5083,19.2104,0.2249,-34.7271,-32.5654,-32.201,-41.1644
MKM,Noah,-0.2,0.0,487.0006,269.4332,16.5942,0.1664,-36.1607,-32.9816,-35.9602,-46.7888
NHG,Noah,-0.2,0.0,99.232,32.8699,6.1007,0.0164,-40.4945,-38.2645,-46.29,-57.9473
NML,Noah,-0.2,0.0,758.3186,474.2941,13.4969,0.1396,-35.1948,-32.4504,-36.8368,-46.7434
TLG,Noah,-0.2,0.0,1069.6641,697.5676,11.2996,0.0722,-35.9764,-33.0581,-30.6276,-48.1123
MRC,Noah,-0.2,0.0,606.4163,384.5937,9.1401,0.0581,-37.5459,-34.7027,-35.5169,-48.3999
MIL,Noah,-0.2,0.0,905.4918,640.0965,8.6468,0.0625,-37.1964,-35.7676,-23.4214,-45.181
PNF,Noah,-0.2,0.0,917.2108,674.3981,10.1646,0.0717,-36.9943,-35.6634,-24.2507,-44.491
TRM,Noah,-0.2,0.0,224.9054,131.2145,8.3006,0.0407,-41.2152,-41.1397,-41.647,-50.8623
SCC,Noah,-0.2,0.0,186.8823,83.6729,9.2551,0.0816,-37.7142,-36.3213,-37.3752,-51.8379
ISB,Noah,-0.2,0.0,596.4573,348.8253,4.8345,0.0489,-40.1251,-40.3746,-40.105,-46.7856
SHA,Noah (climate-adaptive),-0.2,0.0,3415.0302,1105.6554,7.4395,0.1696,-32.0368,-32.0739,-25.9833,-37.527
BND,Noah (climate-adaptive),-0.2,0.0,4570.8881,1425.154,8.2706,0.1438,-33.4862,-33.2507,-28.8887,-38.9103
ORO,Noah (climate-adaptive),-0.2,0.0,2749.4023,883.072,14.5554,0.161,-32.3748,-32.4052,-28.7489,-38.8433
YRS,Noah (climate-adaptive),-0.2,0.0,1578.2773,601.761,28.9322,0.3702,-29.8769,-28.6489,-27.1204,-36.5023
FOL,Noah (climate-adaptive),-0.2,0.0,1767.8743,694.9825,20.1575,0.173,-32.319,-30.8563,-31.5195,-39.057
