basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.8782,0.8355,-6.6687,0.927,5812,0.8922,0.8518,-6.4673,0.9326,5567,1.1406,8047.8054
BND,8900.0,0.8402,0.753,-10.4756,0.8871,1458,0.8693,0.8892,-11.8725,0.9484,5571,1.2101,11400.9931
ORO,3607.0,0.8516,0.842,0.2509,0.9186,5480,0.8577,0.8435,-6.291,0.9195,5569,1.557,5945.3263
FOL,1885.0,0.7482,0.7567,-4.2498,0.8748,5063,0.7497,0.8036,-7.8236,0.906,5272,2.0599,4110.52
YRS,1108.0,0.7331,0.7542,6.6135,0.8751,5063,0.8355,0.7885,8.6901,0.8897,5545,2.7166,3186.4136
MKM,544.0,0.7685,0.7355,3.2716,0.8587,5195,0.7881,0.7385,-9.6325,0.8617,5056,1.8209,1048.6139
NML,900.0,0.876,0.7747,4.8948,0.8867,5721,0.8952,0.8212,-5.6439,0.9118,5473,1.5142,1442.6614
NHG,363.0,0.7755,0.8018,8.7989,0.8994,4637,0.7815,0.8168,10.9123,0.9072,4678,0.658,252.8732
TLG,1538.0,0.7638,0.779,-11.1762,0.8881,5498,0.8437,0.8545,-8.9372,0.927,5157,1.6987,2765.7774
MRC,1061.0,0.8551,0.8021,5.3629,0.8963,5463,0.8255,0.8351,-7.9237,0.9162,5570,1.1648,1308.346
MIL,1675.0,0.8679,0.8641,-7.8994,0.9313,5721,0.885,0.8104,-6.6883,0.9078,5499,1.3344,2366.0635
PNF,1545.0,0.8993,0.8914,-6.8578,0.9453,5809,0.8255,0.8169,9.1764,0.9279,5549,1.3144,2149.7891
TRM,561.0,0.8813,0.8256,0.8248,0.9088,5543,0.8494,0.7984,-6.2562,0.8947,5503,0.9003,534.6446
SCC,393.0,0.6609,0.7388,-16.3363,0.8754,5228,0.8794,0.764,0.6484,0.8804,5292,0.4767,198.3217
ISB,2074.0,0.8576,0.8105,-8.4186,0.9172,5821,0.7605,0.7938,-18.0915,0.9004,5569,0.3887,853.502
