basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.832,0.8319,-13.6101,0.9296,5812,0.8491,0.8547,-13.2241,0.9373,5567,1.1406,8047.8054
BND,8900.0,0.8189,0.762,-13.4164,0.8979,1458,0.8368,0.8901,-15.4153,0.952,5571,1.2101,11400.9931
ORO,3607.0,0.9037,0.8543,0.9245,0.9245,5480,0.9069,0.8519,-4.1831,0.9243,5569,1.557,5945.3263
FOL,1885.0,0.7599,0.7673,-4.48,0.8803,5063,0.7562,0.8196,-6.7221,0.916,5272,2.0599,4110.52
YRS,1108.0,0.7373,0.7483,2.3849,0.8707,5063,0.8588,0.8073,4.067,0.8989,5545,2.7166,3186.4136
MKM,544.0,0.7788,0.7293,2.4024,0.8543,5195,0.8051,0.7308,-7.3104,0.8568,5056,1.8209,1048.6139
NML,900.0,0.849,0.7862,3.3794,0.8871,5721,0.8857,0.8143,-4.4118,0.9043,5473,1.5142,1442.6614
NHG,363.0,0.7422,0.786,16.9412,0.8895,4637,0.7302,0.7834,17.9742,0.8884,4678,0.658,252.8732
TLG,1538.0,0.7608,0.7924,-10.8302,0.8971,5498,0.853,0.8662,-8.1985,0.933,5157,1.6987,2765.7774
MRC,1061.0,0.8061,0.8007,15.4476,0.9001,5463,0.8847,0.8436,2.3666,0.9186,5570,1.1648,1308.346
MIL,1675.0,0.8537,0.8703,-8.4399,0.9355,5721,0.9038,0.863,-6.7396,0.9319,5499,1.3344,2366.0635
PNF,1545.0,0.8456,0.8744,-13.0672,0.9393,5809,0.8623,0.8424,3.8203,0.9356,5549,1.3144,2149.7891
TRM,561.0,0.8511,0.828,-7.9716,0.9114,5543,0.8084,0.7988,-13.5397,0.8982,5503,0.9003,534.6446
SCC,393.0,0.6696,0.7372,-13.7859,0.8736,5228,0.8489,0.7535,8.4916,0.8841,5292,0.4767,198.3217
ISB,2074.0,0.8835,0.8329,-7.752,0.9221,5821,0.8143,0.7776,-13.2593,0.888,5569,0.3887,853.502
