basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9427,0.912,-1.8328,0.9552,5812,0.9174,0.9025,2.0317,0.9503,5567,1.1406,8047.8053
BND,8900.0,0.9321,0.9092,-0.0864,0.9535,1458,0.8945,0.927,3.1347,0.965,5571,1.2101,11400.9932
ORO,3607.0,0.917,0.9265,-3.9607,0.9632,5480,0.9155,0.904,-5.0456,0.9513,5569,1.557,5945.3266
YRS,1108.0,0.8739,0.8646,-2.9887,0.9305,5063,0.9209,0.8418,-0.6887,0.9216,5545,2.7166,3186.4137
FOL,1885.0,0.9111,0.8923,-1.428,0.9447,5063,0.888,0.8987,-2.7819,0.9492,5272,2.0599,4110.5197
MKM,544.0,0.9029,0.8641,-1.9913,0.9296,5195,0.825,0.8302,-14.6952,0.9168,5056,1.8209,1048.6139
NHG,363.0,0.8987,0.8814,-4.5172,0.939,4637,0.8205,0.8406,-7.4575,0.9191,4678,0.658,252.8732
NML,900.0,0.9008,0.8864,-3.6544,0.9419,5721,0.8646,0.8147,-9.6821,0.9078,5473,1.5142,1442.6615
TLG,1538.0,0.9005,0.914,-1.3851,0.9572,5498,0.9448,0.8957,1.8197,0.9483,5157,1.6987,2765.7774
MRC,1061.0,0.8966,0.9035,-0.7446,0.9515,5463,0.8143,0.8604,-12.5734,0.9318,5570,1.1648,1308.346
MIL,1675.0,0.9576,0.927,-0.3368,0.963,5721,0.9042,0.8903,-5.3569,0.9442,5499,1.3344,2366.0635
PNF,1545.0,0.9705,0.9486,0.2336,0.974,5809,0.9118,0.8927,7.0676,0.9478,5549,1.3144,2149.7892
TRM,561.0,0.9457,0.908,0.4458,0.9531,5543,0.896,0.9073,-7.1856,0.9538,5503,0.9003,534.6446
SCC,393.0,0.8555,0.8953,-4.0678,0.9497,5228,0.6224,0.723,26.8827,0.9219,5292,0.4767,198.3217
ISB,2074.0,0.9547,0.9404,-0.9517,0.9698,5821,0.8421,0.8495,-4.4634,0.9239,5569,0.3887,853.502
