basin,noah_val_kge,noah_r,noah_alpha,noah_beta,noah_pbias,noah_seas_mis,noah_c3_kge,noah_ft_val_kge,noah_ft_r,noah_ft_alpha,noah_ft_beta,noah_ft_pbias,noah_ft_seas_mis,noah_ft_c3_kge,arm_val_kge,arm_r,arm_alpha,arm_beta,arm_pbias,arm_seas_mis,arm_c3_kge,hybrid_val_kge,hybrid_r,hybrid_alpha,hybrid_beta,hybrid_pbias,hybrid_seas_mis,hybrid_c3_kge,arm_vs_noah_seas_frac,arm_vs_noah_mean_corr
SHA,0.9046,0.9219,1.0519,0.9829,-1.7137,0.0659,0.9015,0.9053,0.9236,0.9991,0.9442,-5.5824,0.0612,0.8686,0.9198,0.9508,0.9422,1.0256,2.5632,0.0191,0.8855,0.9198,0.9508,0.9422,1.0256,2.5632,0.0191,0.8855,0.4224,0.0325
BND,0.8809,0.9304,0.9845,0.9046,-9.5369,0.0833,0.8639,0.851,0.9349,0.9614,0.8717,-12.8306,0.0771,0.8272,0.8886,0.9643,0.9008,1.0361,3.6074,0.0245,0.8603,0.8886,0.9643,0.9008,1.0361,3.6074,0.0245,0.8603,0.4806,0.14
ORO,0.8961,0.9083,0.9582,0.9745,-2.5531,0.0732,0.903,0.8674,0.9037,0.9357,0.9353,-6.4724,0.0813,0.8671,0.9122,0.9508,0.9505,0.9468,-5.3153,0.0458,0.8486,0.9122,0.9508,0.9505,0.9468,-5.3153,0.0458,0.8486,0.3439,-0.0499
YRS,0.7996,0.8858,0.8801,1.1129,11.2905,0.0677,0.8697,0.8052,0.8811,0.8813,1.0986,9.8561,0.0663,0.8908,0.916,0.9183,0.9964,0.9805,-1.9517,0.0497,0.942,0.916,0.9183,0.9964,0.9805,-1.9517,0.0497,0.942,0.1655,-0.3048
FOL,0.7572,0.8927,0.7851,0.9647,-3.5297,0.0932,0.865,0.7426,0.886,0.7759,0.9449,-5.5078,0.0917,0.8614,0.8746,0.9473,0.8927,0.9621,-3.7933,0.0394,0.9141,0.8746,0.9473,0.8927,0.9621,-3.7933,0.0394,0.9141,0.3506,-0.0067
MKM,0.793,0.8461,0.9084,0.8963,-10.3732,0.1501,0.8675,0.7904,0.8416,0.9062,0.8998,-10.02,0.1505,0.8763,0.8117,0.9087,0.9485,0.8436,-15.6384,0.0755,0.9024,0.8117,0.9087,0.9485,0.8436,-15.6384,0.0755,0.9024,0.5011,-0.0679
NHG,0.5827,0.8398,0.6219,1.0745,7.4546,0.1609,0.751,0.5121,0.823,0.5509,0.9296,-7.0414,0.1392,0.6472,0.8264,0.9178,0.861,0.9364,-6.3572,0.0159,0.8012,0.8264,0.9178,0.861,0.9364,-6.3572,0.0159,0.8012,0.2681,-0.075
NML,0.8848,0.8992,1.0318,0.9544,-4.5608,0.0561,0.9236,0.8893,0.8993,1.0188,0.958,-4.2017,0.0494,0.9394,0.8591,0.9072,0.9605,0.9017,-9.8345,0.0522,0.7769,0.8591,0.9072,0.9605,0.9017,-9.8345,0.0522,0.7769,0.2616,-0.0833
TLG,0.8147,0.9239,0.8854,0.8758,-12.4157,0.0488,0.8392,0.8279,0.9219,0.8866,0.8967,-10.3341,0.0445,0.8622,0.9456,0.9481,1.0,1.0161,1.6124,0.0477,0.9482,0.9456,0.9481,1.0,1.0161,1.6124,0.0477,0.9482,0.435,0.24
MRC,0.841,0.906,0.8815,0.951,-4.8992,0.0569,0.9402,0.8571,0.9037,0.895,0.9891,-1.0911,0.044,0.9698,0.8124,0.9328,0.8832,0.8696,-13.0442,0.0319,0.8264,0.8124,0.9328,0.8832,0.8696,-13.0442,0.0319,0.8264,0.2358,-0.0978
MIL,0.8253,0.9006,0.954,0.8639,-13.6124,0.0977,0.7463,0.854,0.9129,0.9652,0.8881,-11.1925,0.0841,0.7848,0.9262,0.945,0.963,0.9676,-3.2393,0.0494,0.8342,0.9262,0.945,0.963,0.9676,-3.2393,0.0494,0.8342,0.4094,0.1629
PNF,0.8699,0.8973,1.0409,0.9314,-6.8595,0.1318,,0.8727,0.9067,1.0834,0.9767,-2.3309,0.1272,,0.883,0.9482,1.042,1.0961,9.6138,0.0481,,0.883,0.9482,1.042,1.0961,9.6138,0.0481,,0.5053,0.2714
TRM,0.7218,0.8925,0.8664,0.7809,-21.9134,0.1148,,0.7407,0.8919,0.8812,0.7964,-20.3593,0.1097,,0.8803,0.947,0.9352,0.9145,-8.5488,0.0632,,0.8803,0.947,0.9352,0.9145,-8.5488,0.0632,,0.6209,0.1425
SCC,0.5649,0.8667,1.1186,1.3968,39.6835,0.0811,,0.6057,0.845,1.1006,1.3483,34.8325,0.069,,0.6311,0.9177,1.242,1.2659,26.5938,0.0674,,0.6311,0.9177,1.242,1.2659,26.5938,0.0674,,0.2788,-0.0475
ISB,0.8446,0.8765,1.0808,0.9512,-4.8841,0.0994,,0.8709,0.8912,1.0671,0.9819,-1.808,0.0812,,0.8205,0.9198,0.8518,0.9381,-6.1877,0.0717,,0.8205,0.9198,0.8518,0.9381,-6.1877,0.0717,,0.0841,-0.0004
