basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9322,0.9129,-4.2335,0.9562,5812,0.9262,0.9099,-0.4053,0.954,5567,1.1406,8047.8053
BND,8900.0,0.9309,0.9208,-0.348,0.9597,1458,0.9044,0.9251,4.5553,0.9633,5571,1.2101,11400.9932
ORO,3607.0,0.9113,0.9222,-5.2243,0.961,5480,0.918,0.8997,-6.0342,0.9497,5569,1.557,5945.3266
YRS,1108.0,0.8658,0.8612,-4.1668,0.929,5063,0.8992,0.8214,-2.2593,0.9165,5545,2.7166,3186.4137
FOL,1885.0,0.8967,0.8884,-3.5274,0.943,5063,0.884,0.8941,-5.6969,0.9466,5272,2.0599,4110.5197
MKM,544.0,0.9058,0.8596,-2.7631,0.9275,5195,0.8193,0.8077,-15.503,0.9079,5056,1.8209,1048.6139
NHG,363.0,0.8808,0.876,-7.0455,0.9362,4637,0.8107,0.8375,-10.5486,0.9171,4678,0.658,252.8732
NML,900.0,0.8779,0.8802,-6.4569,0.9395,5721,0.8371,0.7975,-12.6192,0.9002,5473,1.5142,1442.6615
TLG,1538.0,0.8838,0.9092,-2.9814,0.9555,5498,0.9424,0.8944,-1.8416,0.9467,5157,1.6987,2765.7774
MRC,1061.0,0.879,0.8993,-2.6039,0.9501,5463,0.7772,0.847,-15.8788,0.9272,5570,1.1648,1308.346
MIL,1675.0,0.945,0.9222,-2.8649,0.9606,5721,0.8699,0.8781,-8.9015,0.9391,5499,1.3344,2366.0635
PNF,1545.0,0.9613,0.9471,-2.3325,0.9734,5809,0.936,0.8865,2.7445,0.9429,5549,1.3144,2149.7892
TRM,561.0,0.9485,0.9127,-0.4406,0.9555,5543,0.9084,0.9187,-7.2513,0.9596,5503,0.9003,534.6446
SCC,393.0,0.8584,0.9041,-4.8136,0.9545,5228,0.6494,0.7242,24.098,0.9178,5292,0.4767,198.3217
ISB,2074.0,0.9421,0.9486,-3.4721,0.9744,5821,0.8105,0.8083,-7.1306,0.9017,5569,0.3887,853.502
