epoch,loss,cal_kge,lr,epoch_s
0.000000000000000000e+00,1.426257089194324257e+00,-5.340682834136187968e-02,1.599999999999999860e-04,5.962695598602294922e+00
1.000000000000000000e+00,9.313936421854628334e-01,nan,2.799999999999999755e-04,1.787808179855346680e+00
2.000000000000000000e+00,4.341474872910314198e-01,7.185275337271388452e-01,4.000000000000000192e-04,4.993483543395996094e+00
3.000000000000000000e+00,3.485434174330698243e-01,nan,3.997038957044966347e-04,1.746415853500366211e+00
4.000000000000000000e+00,3.058757167309522629e-01,8.011837755323750754e-01,3.988164820770001432e-04,5.040635824203491211e+00
5.000000000000000000e+00,2.849866671798129691e-01,nan,3.973404541635308261e-04,1.761134624481201172e+00
6.000000000000000000e+00,2.719322512857615948e-01,7.982454719069349558e-01,3.952802946123499476e-04,5.033421039581298828e+00
7.000000000000000000e+00,2.599891232223146553e-01,nan,3.926422600603038165e-04,1.777863979339599609e+00
8.000000000000000000e+00,2.496455457682410783e-01,8.059190556691351315e-01,3.894343621316237046e-04,5.026238918304443359e+00
9.000000000000000000e+00,2.401587605579859619e-01,nan,3.856663431068863305e-04,1.759492635726928711e+00
1.000000000000000000e+01,2.367492584615117912e-01,8.209594797436456926e-01,3.813496463360276242e-04,5.028566360473632812e+00
1.100000000000000000e+01,2.332495650173061486e-01,nan,3.764973814852653577e-04,1.752790451049804688e+00
1.200000000000000000e+01,2.297986712720659075e-01,8.583202358441794910e-01,3.711242847234738217e-04,5.015591382980346680e+00
1.300000000000000000e+01,2.216150113381445408e-01,nan,3.652466739689228317e-04,1.762570381164550781e+00
1.400000000000000000e+01,2.210990938668449812e-01,8.486044047405890689e-01,3.588823993322968141e-04,5.033304929733276367e+00
1.500000000000000000e+01,2.050536625708142824e-01,nan,3.520507889064948374e-04,1.776428222656250000e+00
1.600000000000000000e+01,2.084094499651756582e-01,8.893165005226645325e-01,3.447725900678480699e-04,5.043705463409423828e+00
1.700000000000000000e+01,2.018190347072151003e-01,nan,3.370699064670196177e-04,1.817444086074829102e+00
1.800000000000000000e+01,2.008464410901069641e-01,8.782105343258433949e-01,3.289661309009438194e-04,5.131776809692382812e+00
1.900000000000000000e+01,1.950948330987658796e-01,nan,3.204858742696712172e-04,1.839545965194702148e+00
2.000000000000000000e+01,1.902851723134517670e-01,8.662079168684096997e-01,3.116548908338733241e-04,5.117936611175537109e+00
2.100000000000000000e+01,1.906779356197350617e-01,nan,3.025000000000000887e-04,1.812459945678710938e+00
2.200000000000000000e+01,1.855329689569771290e-01,8.804188390534893882e-01,2.930490048706235230e-04,5.070454359054565430e+00
2.300000000000000000e+01,1.867892770614061060e-01,nan,2.833306078073291384e-04,1.774646759033203125e+00
2.400000000000000000e+01,1.835111686959862709e-01,8.945255723747879140e-01,2.733743232625872191e-04,5.050275564193725586e+00
