epoch,loss,cal_kge,lr,epoch_s
0.000000000000000000e+00,1.462420631613996269e+00,-1.338987577680280094e-01,1.599999999999999860e-04,5.949723958969116211e+00
1.000000000000000000e+00,9.664602188600434074e-01,nan,2.799999999999999755e-04,1.769126892089843750e+00
2.000000000000000000e+00,4.497838279025422326e-01,7.318661058957226517e-01,4.000000000000000192e-04,5.048697471618652344e+00
3.000000000000000000e+00,3.569456146409114017e-01,nan,3.997038957044966347e-04,1.779649019241333008e+00
4.000000000000000000e+00,3.214932645981510295e-01,7.655352354049822505e-01,3.988164820770001432e-04,5.083322048187255859e+00
5.000000000000000000e+00,2.951654055569734592e-01,nan,3.973404541635308261e-04,1.764906406402587891e+00
6.000000000000000000e+00,2.811030327963332520e-01,8.335152595031030121e-01,3.952802946123499476e-04,5.049221277236938477e+00
7.000000000000000000e+00,2.641691500321030617e-01,nan,3.926422600603038165e-04,1.756941556930541992e+00
8.000000000000000000e+00,2.509496961720287800e-01,8.017275249372504131e-01,3.894343621316237046e-04,5.050935506820678711e+00
9.000000000000000000e+00,2.418751479126513004e-01,nan,3.856663431068863305e-04,1.771308183670043945e+00
1.000000000000000000e+01,2.340432963230543728e-01,8.155094032771478263e-01,3.813496463360276242e-04,5.071564197540283203e+00
1.100000000000000000e+01,2.290359500071240673e-01,nan,3.764973814852653577e-04,1.766669511795043945e+00
1.200000000000000000e+01,2.219125627436571713e-01,8.614230065344999909e-01,3.711242847234738217e-04,5.046312332153320312e+00
1.300000000000000000e+01,2.153580646134085064e-01,nan,3.652466739689228317e-04,1.765436172485351562e+00
1.400000000000000000e+01,2.137066794352399102e-01,8.527102988050728749e-01,3.588823993322968141e-04,5.051058769226074219e+00
1.500000000000000000e+01,2.037840174614555244e-01,nan,3.520507889064948374e-04,1.756626844406127930e+00
1.600000000000000000e+01,2.032977461090518245e-01,8.743182534450258947e-01,3.447725900678480699e-04,5.044210433959960938e+00
1.700000000000000000e+01,1.999070996211634865e-01,nan,3.370699064670196177e-04,1.757901668548583984e+00
1.800000000000000000e+01,1.920765043339795475e-01,8.753605866812174119e-01,3.289661309009438194e-04,5.057170391082763672e+00
1.900000000000000000e+01,1.994366197743349667e-01,nan,3.204858742696712172e-04,1.779225111007690430e+00
2.000000000000000000e+01,1.910509868628448849e-01,8.659143281857282215e-01,3.116548908338733241e-04,5.116360664367675781e+00
2.100000000000000000e+01,1.929593259054753485e-01,nan,3.025000000000000887e-04,1.785212755203247070e+00
2.200000000000000000e+01,1.864998058622909793e-01,8.859203140395515153e-01,2.930490048706235230e-04,5.066348552703857422e+00
2.300000000000000000e+01,1.841850221260554199e-01,nan,2.833306078073291384e-04,1.767997980117797852e+00
2.400000000000000000e+01,1.762074687932100592e-01,8.980663640184621821e-01,2.733743232625872191e-04,5.070682048797607422e+00
2.500000000000000000e+01,1.809740914031863213e-01,nan,2.632103881453305423e-04,1.769778966903686523e+00
2.600000000000000000e+01,1.749631398253970738e-01,9.171232366603917496e-01,2.528696699924559048e-04,5.061553001403808594e+00
2.700000000000000000e+01,1.773884145336018792e-01,nan,2.423835732251290525e-04,1.775457859039306641e+00
2.800000000000000000e+01,1.763512347307470141e-01,8.745157918576045297e-01,2.317839437745895933e-04,5.060443401336669922e+00
2.900000000000000000e+01,1.757239414275520439e-01,nan,2.211029723671048693e-04,1.761745452880859375e+00
3.000000000000000000e+01,1.698236390430894194e-01,8.829494611557987538e-01,2.103730967617916401e-04,5.063150167465209961e+00
3.100000000000000000e+01,1.665824707597494125e-01,nan,1.996269032382084595e-04,1.793476343154907227e+00
3.200000000000000000e+01,1.661643909497393379e-01,9.070178850512153890e-01,1.888970276328952845e-04,5.083179950714111328e+00
3.300000000000000000e+01,1.638563691327969141e-01,nan,1.782160562254104250e-04,1.778866767883300781e+00
3.400000000000000000e+01,1.653056227498584385e-01,8.749927154182480793e-01,1.676164267748710471e-04,5.069340944290161133e+00
3.500000000000000000e+01,1.657988217969735556e-01,nan,1.571303300075441948e-04,1.782204151153564453e+00
3.600000000000000000e+01,1.556539878042207947e-01,8.904010043637479166e-01,1.467896118546695844e-04,5.075465202331542969e+00
3.700000000000000000e+01,1.616258591206537476e-01,nan,1.366256767374129618e-04,1.774769306182861328e+00
3.800000000000000000e+01,1.613129052954415388e-01,8.976214142111614835e-01,1.266693921926709883e-04,5.080575466156005859e+00
3.900000000000000000e+01,1.599518778319987955e-01,nan,1.169509951293766308e-04,1.788363456726074219e+00
