basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9174,0.8978,-0.9557,0.9476,5812,0.8956,0.887,3.5876,0.9426,5567,1.1406,8047.8053
BND,8900.0,0.8699,0.8641,-1.4205,0.9305,1458,0.8421,0.9001,0.8969,0.9546,5571,1.2101,11400.9932
ORO,3607.0,0.8613,0.8843,-3.0504,0.9428,5480,0.8858,0.89,-4.8843,0.9444,5569,1.557,5945.3266
YRS,1108.0,0.7903,0.8141,-2.5729,0.9072,5063,0.8953,0.8543,-1.5024,0.9243,5545,2.7166,3186.4137
FOL,1885.0,0.8281,0.8493,-6.4885,0.9246,5063,0.7948,0.8755,-8.885,0.9447,5272,2.0599,4110.5197
MKM,544.0,0.8601,0.8145,-2.9594,0.9027,5195,0.8107,0.7959,-14.7654,0.8981,5056,1.8209,1048.6139
NHG,363.0,0.8155,0.8458,-5.2055,0.9236,4637,0.7903,0.8133,-3.4556,0.9064,4678,0.658,252.8732
NML,900.0,0.9044,0.8258,3.5107,0.9121,5721,0.892,0.803,-2.9247,0.9071,5473,1.5142,1442.6615
TLG,1538.0,0.8537,0.8669,-5.9165,0.9332,5498,0.9381,0.8961,-2.5886,0.9473,5157,1.6987,2765.7774
MRC,1061.0,0.8801,0.8484,2.8037,0.9213,5463,0.8571,0.8469,-7.8916,0.9215,5570,1.1648,1308.346
MIL,1675.0,0.9323,0.8959,-0.2053,0.9466,5721,0.9325,0.8706,1.0855,0.9369,5499,1.3344,2366.0635
PNF,1545.0,0.9549,0.9203,0.6485,0.9596,5809,0.7983,0.8394,14.001,0.9404,5549,1.3144,2149.7892
TRM,561.0,0.9015,0.8689,-3.4095,0.9324,5543,0.8735,0.8394,-8.7464,0.9188,5503,0.9003,534.6446
SCC,393.0,0.7957,0.818,-4.5818,0.9087,5228,0.6306,0.7081,28.7066,0.9063,5292,0.4767,198.3217
ISB,2074.0,0.9304,0.8755,-0.2907,0.9406,5821,0.8963,0.8356,-2.8343,0.9149,5569,0.3887,853.502
