epoch,loss,cal_kge,lr,epoch_s
0.000000000000000000e+00,2.094340076049169053e+00,-1.184282280941007653e-01,1.599999999999999860e-04,3.916917657852172852e+01
1.000000000000000000e+00,1.321520432002014633e+00,nan,2.799999999999999755e-04,2.515599179267883301e+01
2.000000000000000000e+00,5.597748912663923493e-01,7.071723196937015343e-01,4.000000000000000192e-04,3.836133456230163574e+01
3.000000000000000000e+00,4.262684022800790062e-01,nan,3.997038957044966347e-04,2.525994896888732910e+01
4.000000000000000000e+00,3.887929859467678662e-01,7.201903045467837883e-01,3.988164820770001432e-04,3.839948701858520508e+01
5.000000000000000000e+00,3.691023794106311207e-01,nan,3.973404541635308261e-04,2.520835566520690918e+01
6.000000000000000000e+00,3.516427407869034405e-01,8.069334351329543464e-01,3.952802946123499476e-04,3.837301516532897949e+01
7.000000000000000000e+00,3.461845723084277515e-01,nan,3.926422600603038165e-04,2.526875209808349609e+01
8.000000000000000000e+00,3.428259668871760368e-01,8.011739836745456200e-01,3.894343621316237046e-04,3.841457676887512207e+01
9.000000000000000000e+00,3.281211437036593570e-01,nan,3.856663431068863305e-04,2.523685908317565918e+01
1.000000000000000000e+01,3.191023117138279686e-01,7.740487698461896438e-01,3.813496463360276242e-04,3.839883089065551758e+01
1.100000000000000000e+01,3.131162613216373902e-01,nan,3.764973814852653577e-04,2.523582339286804199e+01
1.200000000000000000e+01,3.116254413293467751e-01,8.115815338616133578e-01,3.711242847234738217e-04,3.838392400741577148e+01
1.300000000000000000e+01,3.055175959856973877e-01,nan,3.652466739689228317e-04,2.522534298896789551e+01
1.400000000000000000e+01,2.995928268258770122e-01,8.186201785721851643e-01,3.588823993322968141e-04,3.843153953552246094e+01
1.500000000000000000e+01,3.007306717336177826e-01,nan,3.520507889064948374e-04,2.530438661575317383e+01
1.600000000000000000e+01,2.914129460437430152e-01,8.127203565989439271e-01,3.447725900678480699e-04,3.841787338256835938e+01
1.700000000000000000e+01,2.876139621560772075e-01,nan,3.370699064670196177e-04,2.525237584114074707e+01
1.800000000000000000e+01,2.908421671018004417e-01,8.292135957137484192e-01,3.289661309009438194e-04,3.839004015922546387e+01
1.900000000000000000e+01,2.850483425168527374e-01,nan,3.204858742696712172e-04,2.521477627754211426e+01
2.000000000000000000e+01,2.818287001508805734e-01,8.610301003671148035e-01,3.116548908338733241e-04,3.842790198326110840e+01
2.100000000000000000e+01,2.790257740351889115e-01,nan,3.025000000000000887e-04,2.526893424987792969e+01
2.200000000000000000e+01,2.788236842801173343e-01,8.310506118166561818e-01,2.930490048706235230e-04,3.844047379493713379e+01
2.300000000000000000e+01,2.755961920031242962e-01,nan,2.833306078073291384e-04,2.527082753181457520e+01
2.400000000000000000e+01,2.735519894502229099e-01,8.312171307731913705e-01,2.733743232625872191e-04,3.839042925834655762e+01
2.500000000000000000e+01,2.745820255950093269e-01,nan,2.632103881453305423e-04,2.530907773971557617e+01
2.600000000000000000e+01,2.656331345852878112e-01,8.306167515150203462e-01,2.528696699924559048e-04,3.844452762603759766e+01
2.700000000000000000e+01,2.664212340282069436e-01,nan,2.423835732251290525e-04,2.527365517616271973e+01
2.800000000000000000e+01,2.696983205775420056e-01,8.521054272787448314e-01,2.317839437745895933e-04,3.840096235275268555e+01
2.900000000000000000e+01,2.595419585704803467e-01,nan,2.211029723671048693e-04,2.524057459831237793e+01
3.000000000000000000e+01,2.577508146771126385e-01,8.481915372480255400e-01,2.103730967617916401e-04,3.838126134872436523e+01
3.100000000000000000e+01,2.569268191647198218e-01,nan,1.996269032382084595e-04,2.524136257171630859e+01
3.200000000000000000e+01,2.688859590432710056e-01,8.586750419928134148e-01,1.888970276328952845e-04,3.836642408370971680e+01
3.300000000000000000e+01,2.640188408808575860e-01,nan,1.782160562254104250e-04,2.523181772232055664e+01
3.400000000000000000e+01,2.600040013591448651e-01,8.435495756331665707e-01,1.676164267748710471e-04,3.832609415054321289e+01
3.500000000000000000e+01,2.614972941163513642e-01,nan,1.571303300075441948e-04,2.527228212356567383e+01
3.600000000000000000e+01,2.637167223211791534e-01,8.572779117374227376e-01,1.467896118546695844e-04,3.841299653053283691e+01
3.700000000000000000e+01,2.575094313878152352e-01,nan,1.366256767374129618e-04,2.526170730590820312e+01
3.800000000000000000e+01,2.535323716907037506e-01,8.501715655721455711e-01,1.266693921926709883e-04,3.837419724464416504e+01
3.900000000000000000e+01,2.553360037919547576e-01,nan,1.169509951293766308e-04,2.528085160255432129e+01
4.000000000000000000e+01,2.588124706720312251e-01,8.527727779194419488e-01,1.075000000000000651e-04,3.843759679794311523e+01
4.100000000000000000e+01,2.575363054250677242e-01,nan,9.834510916612681619e-05,2.528631210327148438e+01
4.200000000000000000e+01,2.514188105447424659e-01,8.661576296442577982e-01,8.951412573032893659e-05,3.842183375358581543e+01
4.300000000000000000e+01,2.538330957500470886e-01,nan,8.103386909905629378e-05,2.522020149230957031e+01
4.400000000000000000e+01,2.525321229671438350e-01,8.629183631522957532e-01,7.293009353298048189e-05,3.830679917335510254e+01
4.500000000000000000e+01,2.544035880515972958e-01,nan,6.522740993215205680e-05,2.519665098190307617e+01
4.600000000000000000e+01,2.536494374896089421e-01,8.604877890821888142e-01,5.794921109350526894e-05,3.839633440971374512e+01
4.700000000000000000e+01,2.524692526915007229e-01,nan,5.111760066770328547e-05,2.524874234199523926e+01
4.800000000000000000e+01,2.499444308794206981e-01,8.617097983205056488e-01,4.475332603107722045e-05,3.841087770462036133e+01
4.900000000000000000e+01,2.556407815880245571e-01,nan,3.887571527652621017e-05,2.520600867271423340e+01
5.000000000000000000e+01,2.497502908938460942e-01,8.683010855322134125e-01,3.350261851473466056e-05,3.839201974868774414e+01
5.100000000000000000e+01,2.498138655597964830e-01,nan,2.865035366397240769e-05,2.526789808273315430e+01
5.200000000000000000e+01,2.520806958071059589e-01,8.689083155389114577e-01,2.433365689311366067e-05,3.842299938201904297e+01
5.300000000000000000e+01,2.465474665578868685e-01,nan,2.056563786837625269e-05,2.525539493560791016e+01
5.400000000000000000e+01,2.484896909445524216e-01,8.595968671296356778e-01,1.735773993969615434e-05,3.841824054718017578e+01
5.500000000000000000e+01,2.532583494774169330e-01,nan,1.471970538765005885e-05,2.524201607704162598e+01
5.600000000000000000e+01,2.575968633302384014e-01,8.605612045117446707e-01,1.265954583646914987e-05,3.844028687477111816e+01
5.700000000000000000e+01,2.483713462327917509e-01,nan,1.118351792299985141e-05,2.525977635383605957e+01
5.800000000000000000e+01,2.496144960944851332e-01,8.629483383625771165e-01,1.029610429550334636e-05,3.856968617439270020e+01
5.900000000000000000e+01,2.500130564181340942e-01,nan,1.000000000000000082e-05,2.519397783279418945e+01
