epoch,loss,cal_kge,lr,epoch_s
0.000000000000000000e+00,2.119596757822566513e+00,-1.162122465805602300e-01,1.599999999999999860e-04,3.869839787483215332e+01
1.000000000000000000e+00,1.391295896222193962e+00,nan,2.799999999999999755e-04,2.536625218391418457e+01
2.000000000000000000e+00,6.058613409598668786e-01,7.036253953792678262e-01,4.000000000000000192e-04,3.805476140975952148e+01
3.000000000000000000e+00,4.576805654085344677e-01,nan,3.997038957044966347e-04,2.533011484146118164e+01
4.000000000000000000e+00,4.054615606243411885e-01,7.566307754184672385e-01,3.988164820770001432e-04,3.805975413322448730e+01
5.000000000000000000e+00,3.844685215089056474e-01,nan,3.973404541635308261e-04,2.538165354728698730e+01
6.000000000000000000e+00,3.630622142098016147e-01,7.660168985991457902e-01,3.952802946123499476e-04,3.803911781311035156e+01
7.000000000000000000e+00,3.470524228695366364e-01,nan,3.926422600603038165e-04,2.537977480888366699e+01
8.000000000000000000e+00,3.336531324312090874e-01,7.889058744018270231e-01,3.894343621316237046e-04,3.798882007598876953e+01
9.000000000000000000e+00,3.256469282011191235e-01,nan,3.856663431068863305e-04,2.533116221427917480e+01
1.000000000000000000e+01,3.183391700602239971e-01,8.185302928503499498e-01,3.813496463360276242e-04,3.797494292259216309e+01
1.100000000000000000e+01,3.106227773759100419e-01,nan,3.764973814852653577e-04,2.537507104873657227e+01
1.200000000000000000e+01,3.143487137017978439e-01,7.982196503989696934e-01,3.711242847234738217e-04,3.798288989067077637e+01
1.300000000000000000e+01,3.046641502943303603e-01,nan,3.652466739689228317e-04,2.536900949478149414e+01
1.400000000000000000e+01,3.018252434622910041e-01,8.294253312524130228e-01,3.588823993322968141e-04,3.794276404380798340e+01
1.500000000000000000e+01,2.941823067764441357e-01,nan,3.520507889064948374e-04,2.536047220230102539e+01
1.600000000000000000e+01,2.892282140544719105e-01,8.419305295815001644e-01,3.447725900678480699e-04,3.793933081626892090e+01
1.700000000000000000e+01,2.857274203043844718e-01,nan,3.370699064670196177e-04,2.534072494506835938e+01
1.800000000000000000e+01,2.865072313903106460e-01,8.409408223768510826e-01,3.289661309009438194e-04,3.793936347961425781e+01
1.900000000000000000e+01,2.927794356106055984e-01,nan,3.204858742696712172e-04,2.539214038848876953e+01
2.000000000000000000e+01,2.797616653972201939e-01,8.273291107036035985e-01,3.116548908338733241e-04,3.794816064834594727e+01
2.100000000000000000e+01,2.810512186131543522e-01,nan,3.025000000000000887e-04,2.535123682022094727e+01
2.200000000000000000e+01,2.715342209363977299e-01,8.391768796177903056e-01,2.930490048706235230e-04,3.795477938652038574e+01
2.300000000000000000e+01,2.708226433023810387e-01,nan,2.833306078073291384e-04,2.533081102371215820e+01
2.400000000000000000e+01,2.704469099019964351e-01,8.354918981142074319e-01,2.733743232625872191e-04,3.794016122817993164e+01
2.500000000000000000e+01,2.688074065372347832e-01,nan,2.632103881453305423e-04,2.537129211425781250e+01
2.600000000000000000e+01,2.644955881146920929e-01,8.376158327586854524e-01,2.528696699924559048e-04,3.803566026687622070e+01
2.700000000000000000e+01,2.644670602555076466e-01,nan,2.423835732251290525e-04,2.534091949462890625e+01
2.800000000000000000e+01,2.628693962469696999e-01,8.310977928846058349e-01,2.317839437745895933e-04,3.794507193565368652e+01
2.900000000000000000e+01,2.599658870862590065e-01,nan,2.211029723671048693e-04,2.530368924140930176e+01
3.000000000000000000e+01,2.621413470349377994e-01,8.252057387832558710e-01,2.103730967617916401e-04,3.793795776367187500e+01
3.100000000000000000e+01,2.670010440051555634e-01,nan,1.996269032382084595e-04,2.533824110031127930e+01
3.200000000000000000e+01,2.619002555600470905e-01,8.691525658563368228e-01,1.888970276328952845e-04,3.801562333106994629e+01
3.300000000000000000e+01,2.631217374259399167e-01,nan,1.782160562254104250e-04,2.528431320190429688e+01
3.400000000000000000e+01,2.564114581586586228e-01,8.736226094867810543e-01,1.676164267748710471e-04,3.795906352996826172e+01
