basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9483,0.9115,0.299,0.9549,5812,0.9151,0.8978,5.0026,0.9486,5567,1.1406,8047.8053
BND,8900.0,0.9334,0.9046,1.1231,0.9512,1458,0.9046,0.929,4.6374,0.9654,5571,1.2101,11400.9932
ORO,3607.0,0.9181,0.9208,-2.5205,0.9601,5480,0.9137,0.9035,-3.8377,0.9509,5569,1.557,5945.3266
YRS,1108.0,0.8576,0.8567,-2.7051,0.9268,5063,0.9192,0.8489,-0.1392,0.9229,5545,2.7166,3186.4137
FOL,1885.0,0.8964,0.8858,-0.8647,0.9416,5063,0.8618,0.8892,-2.2215,0.9457,5272,2.0599,4110.5197
MKM,544.0,0.8914,0.8602,-2.1425,0.9276,5195,0.8254,0.8348,-13.6499,0.9179,5056,1.8209,1048.6139
NHG,363.0,0.8824,0.8839,-6.214,0.9406,4637,0.8225,0.8375,-6.3231,0.9174,4678,0.658,252.8732
NML,900.0,0.901,0.8802,-2.005,0.9384,5721,0.8759,0.8241,-7.6238,0.9106,5473,1.5142,1442.6615
TLG,1538.0,0.9046,0.9096,-0.7388,0.9545,5498,0.9415,0.9023,3.1646,0.9519,5157,1.6987,2765.7774
MRC,1061.0,0.8967,0.9001,0.5585,0.9496,5463,0.8202,0.865,-11.9107,0.9341,5570,1.1648,1308.346
MIL,1675.0,0.9577,0.9301,0.4352,0.9645,5721,0.9347,0.8968,-2.0616,0.9473,5499,1.3344,2366.0635
PNF,1545.0,0.975,0.9523,0.4028,0.976,5809,0.8788,0.8856,9.7679,0.9486,5549,1.3144,2149.7892
TRM,561.0,0.9477,0.9161,0.0892,0.9572,5543,0.8934,0.9112,-6.9271,0.9559,5503,0.9003,534.6446
SCC,393.0,0.8624,0.9017,-2.956,0.953,5228,0.5875,0.6969,30.6946,0.916,5292,0.4767,198.3217
ISB,2074.0,0.9677,0.9433,-0.5464,0.9713,5821,0.86,0.844,-3.058,0.9194,5569,0.3887,853.502
