basin,noah_val_kge,noah_r,noah_alpha,noah_beta,noah_pbias,noah_seas_mis,noah_c3_kge,noah_ft_val_kge,noah_ft_r,noah_ft_alpha,noah_ft_beta,noah_ft_pbias,noah_ft_seas_mis,noah_ft_c3_kge,arm_val_kge,arm_r,arm_alpha,arm_beta,arm_pbias,arm_seas_mis,arm_c3_kge,hybrid_val_kge,hybrid_r,hybrid_alpha,hybrid_beta,hybrid_pbias,hybrid_seas_mis,hybrid_c3_kge,hybrid_pet_dt_val_kge,hybrid_pet_dt_r,hybrid_pet_dt_alpha,hybrid_pet_dt_beta,hybrid_pet_dt_pbias,hybrid_pet_dt_seas_mis,hybrid_pet_dt_c3_kge,arm_vs_noah_seas_frac,arm_vs_noah_mean_corr
SHA,0.9046,0.9219,1.0519,0.9829,-1.7137,0.0659,0.9015,0.9053,0.9236,0.9991,0.9442,-5.5824,0.0612,0.8686,0.9194,0.9488,0.9525,1.0401,4.0102,0.0211,0.8934,0.9174,0.9503,0.9372,1.0203,2.0317,0.0209,0.8751,0.9194,0.9488,0.9525,1.0401,4.0102,0.0211,0.8934,0.4249,0.0467
BND,0.8809,0.9304,0.9845,0.9046,-9.5369,0.0833,0.8639,0.851,0.9349,0.9614,0.8717,-12.8306,0.0771,0.8272,0.909,0.9655,0.9288,1.0451,4.5051,0.0224,0.8839,0.8945,0.965,0.9055,1.0313,3.1347,0.0259,0.8591,0.909,0.9655,0.9288,1.0451,4.5051,0.0224,0.8839,0.5217,0.15
ORO,0.8961,0.9083,0.9582,0.9745,-2.5531,0.0732,0.903,0.8674,0.9037,0.9357,0.9353,-6.4724,0.0813,0.8671,0.9173,0.9517,0.9441,0.9627,-3.7266,0.0362,0.8575,0.9155,0.9513,0.9529,0.9495,-5.0456,0.0361,0.8255,0.9173,0.9517,0.9441,0.9627,-3.7266,0.0362,0.8575,0.4335,-0.0341
YRS,0.7996,0.8858,0.8801,1.1129,11.2905,0.0677,0.8697,0.8052,0.8811,0.8813,1.0986,9.8561,0.0663,0.8908,0.9197,0.9216,0.9829,1.0005,0.0475,0.0386,0.9462,0.9209,0.9216,1.0084,0.9931,-0.6887,0.0439,0.9173,0.9197,0.9216,0.9829,1.0005,0.0475,0.0386,0.9462,0.2768,-0.2751
FOL,0.7572,0.8927,0.7851,0.9647,-3.5297,0.0932,0.865,0.7426,0.886,0.7759,0.9449,-5.5078,0.0917,0.8614,0.8672,0.9451,0.8814,0.9764,-2.3558,0.029,0.916,0.888,0.9492,0.9042,0.9722,-2.7819,0.0301,0.8909,0.8672,0.9451,0.8814,0.9764,-2.3558,0.029,0.916,0.4635,0.0162
MKM,0.793,0.8461,0.9084,0.8963,-10.3732,0.1501,0.8675,0.7904,0.8416,0.9062,0.8998,-10.02,0.1505,0.8763,0.8228,0.9193,0.9283,0.8594,-14.058,0.0573,0.9064,0.825,0.9168,0.9541,0.853,-14.6952,0.0641,0.8605,0.8228,0.9193,0.9283,0.8594,-14.058,0.0573,0.9064,0.5873,-0.055
NHG,0.5827,0.8398,0.6219,1.0745,7.4546,0.1609,0.751,0.5121,0.823,0.5509,0.9296,-7.0414,0.1392,0.6472,0.8299,0.9125,0.8618,0.9534,-4.6614,0.0142,0.7976,0.8205,0.9191,0.8581,0.9254,-7.4575,0.0168,0.7775,0.8299,0.9125,0.8618,0.9534,-4.6614,0.0142,0.7976,0.2663,-0.0698
NML,0.8848,0.8992,1.0318,0.9544,-4.5608,0.0561,0.9236,0.8893,0.8993,1.0188,0.958,-4.2017,0.0494,0.9394,0.8788,0.9109,0.9669,0.9248,-7.5184,0.0429,0.7867,0.8646,0.9078,0.9789,0.9032,-9.6821,0.0508,0.7445,0.8788,0.9109,0.9669,0.9248,-7.5184,0.0429,0.7867,0.2373,-0.0579
TLG,0.8147,0.9239,0.8854,0.8758,-12.4157,0.0488,0.8392,0.8279,0.9219,0.8866,0.8967,-10.3341,0.0445,0.8622,0.9402,0.9518,1.0105,1.0339,3.3865,0.028,0.9674,0.9448,0.9483,1.006,1.0182,1.8197,0.0414,0.9139,0.9402,0.9518,1.0105,1.0339,3.3865,0.028,0.9674,0.5407,0.2539
MRC,0.841,0.906,0.8815,0.951,-4.8992,0.0569,0.9402,0.8571,0.9037,0.895,0.9891,-1.0911,0.044,0.9698,0.8133,0.9328,0.8775,0.8761,-12.3856,0.025,0.8429,0.8143,0.9318,0.8817,0.8743,-12.5734,0.0247,0.7868,0.8133,0.9328,0.8775,0.8761,-12.3856,0.025,0.8429,0.3079,-0.0865
MIL,0.8253,0.9006,0.954,0.8639,-13.6124,0.0977,0.7463,0.854,0.9129,0.9652,0.8881,-11.1925,0.0841,0.7848,0.9402,0.9448,0.9881,0.9803,-1.9706,0.0623,0.8756,0.9042,0.9442,0.9434,0.9464,-5.3569,0.0477,0.7922,0.9402,0.9448,0.9881,0.9803,-1.9706,0.0623,0.8756,0.5968,0.1741
PNF,0.8699,0.8973,1.0409,0.9314,-6.8595,0.1318,,0.8727,0.9067,1.0834,0.9767,-2.3309,0.1272,,0.8616,0.9487,1.0751,1.1043,10.4334,0.059,,0.9118,0.9478,1.0079,1.0707,7.0676,0.0433,,0.8616,0.9487,1.0751,1.1043,10.4334,0.059,,0.6539,0.2734
TRM,0.7218,0.8925,0.8664,0.7809,-21.9134,0.1148,,0.7407,0.8919,0.8812,0.7964,-20.3593,0.1097,,0.8851,0.9521,0.9303,0.9222,-7.7789,0.0498,,0.896,0.9538,0.9408,0.9281,-7.1856,0.0481,,0.8851,0.9521,0.9303,0.9222,-7.7789,0.0498,,0.6467,0.146
