basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9495,0.9139,-0.2183,0.9562,5812,0.9306,0.8976,4.1678,0.9486,5567,1.1406,8047.8053
BND,8900.0,0.9503,0.9132,0.2339,0.9558,1458,0.9194,0.9268,5.5888,0.9638,5571,1.2101,11400.9932
ORO,3607.0,0.9263,0.9165,-2.1791,0.9575,5480,0.9273,0.9022,-4.3147,0.9504,5569,1.557,5945.3266
YRS,1108.0,0.8677,0.8511,-1.5311,0.9231,5063,0.9102,0.8201,-0.5397,0.911,5545,2.7166,3186.4137
FOL,1885.0,0.9132,0.8821,-0.4759,0.9392,5063,0.8875,0.8914,-2.2809,0.9451,5272,2.0599,4110.5197
MKM,544.0,0.889,0.8546,-2.2377,0.9245,5195,0.8175,0.8302,-15.1659,0.9167,5056,1.8209,1048.6139
NHG,363.0,0.8783,0.8795,-7.9174,0.9381,4637,0.7846,0.8252,-11.6508,0.9117,4678,0.658,252.8732
NML,900.0,0.918,0.87,-0.2535,0.933,5721,0.8868,0.8222,-7.0192,0.9116,5473,1.5142,1442.6615
TLG,1538.0,0.906,0.9012,-0.1598,0.9497,5498,0.9414,0.8992,2.6763,0.9508,5157,1.6987,2765.7774
MRC,1061.0,0.8853,0.8841,-0.9805,0.9411,5463,0.8057,0.8611,-14.1602,0.9328,5570,1.1648,1308.346
MIL,1675.0,0.955,0.9211,2.1625,0.9609,5721,0.9434,0.8907,-1.5329,0.9457,5499,1.3344,2366.0635
PNF,1545.0,0.956,0.9448,1.3731,0.9738,5809,0.8517,0.8869,10.3366,0.9547,5549,1.3144,2149.7892
TRM,561.0,0.938,0.9019,-1.9867,0.9499,5543,0.8695,0.9038,-10.3865,0.9533,5503,0.9003,534.6446
SCC,393.0,0.8796,0.8776,-2.4849,0.9376,5228,0.5631,0.6516,31.8241,0.905,5292,0.4767,198.3217
ISB,2074.0,0.9573,0.9151,-0.3868,0.9578,5821,0.8589,0.8678,-5.5091,0.9335,5569,0.3887,853.502
