epoch,loss,cal_kge,lr,epoch_s
0.000000000000000000e+00,1.519739734629790062e+00,-9.963764444032950640e-02,1.599999999999999860e-04,7.555476188659667969e+00
1.000000000000000000e+00,1.073960033348865029e+00,nan,2.799999999999999755e-04,3.403386354446411133e+00
2.000000000000000000e+00,5.044427980772323572e-01,6.967997284120416301e-01,4.000000000000000192e-04,6.667821168899536133e+00
3.000000000000000000e+00,3.591813499935799237e-01,nan,3.997038957044966347e-04,3.408764123916625977e+00
4.000000000000000000e+00,3.209245211134354459e-01,7.877051056746723345e-01,3.988164820770001432e-04,6.681487321853637695e+00
5.000000000000000000e+00,2.954681551394363059e-01,nan,3.973404541635308261e-04,3.408841133117675781e+00
6.000000000000000000e+00,2.807081180314223157e-01,8.350290863169096411e-01,3.952802946123499476e-04,6.666768789291381836e+00
7.000000000000000000e+00,2.696315629614723930e-01,nan,3.926422600603038165e-04,3.405274629592895508e+00
8.000000000000000000e+00,2.534306256824897519e-01,8.331135814883668944e-01,3.894343621316237046e-04,6.674508094787597656e+00
9.000000000000000000e+00,2.503404160961508751e-01,nan,3.856663431068863305e-04,3.434079647064208984e+00
1.000000000000000000e+01,2.430548217768470354e-01,8.199993369485245598e-01,3.813496463360276242e-04,6.709784269332885742e+00
1.100000000000000000e+01,2.382650184445083141e-01,nan,3.764973814852653577e-04,3.432091474533081055e+00
1.200000000000000000e+01,2.257463259932895594e-01,8.472728689654409617e-01,3.711242847234738217e-04,6.701948642730712891e+00
1.300000000000000000e+01,2.237787501783006783e-01,nan,3.652466739689228317e-04,3.432102441787719727e+00
1.400000000000000000e+01,2.199260710428158350e-01,8.517210705559995487e-01,3.588823993322968141e-04,6.697773218154907227e+00
1.500000000000000000e+01,2.208120578693019143e-01,nan,3.520507889064948374e-04,3.423895597457885742e+00
1.600000000000000000e+01,2.111263743912180357e-01,8.597771024717161259e-01,3.447725900678480699e-04,6.692682266235351562e+00
1.700000000000000000e+01,2.096121258412798338e-01,nan,3.370699064670196177e-04,3.412016868591308594e+00
1.800000000000000000e+01,2.086608700661195526e-01,8.742224484363173564e-01,3.289661309009438194e-04,6.683823108673095703e+00
1.900000000000000000e+01,2.067656338525315218e-01,nan,3.204858742696712172e-04,3.419327735900878906e+00
2.000000000000000000e+01,2.071691788215604124e-01,8.660120261454252732e-01,3.116548908338733241e-04,6.688387632369995117e+00
2.100000000000000000e+01,1.997124899385703811e-01,nan,3.025000000000000887e-04,3.417863845825195312e+00
2.200000000000000000e+01,2.036606450565159321e-01,8.525802133265789617e-01,2.930490048706235230e-04,6.691985845565795898e+00
2.300000000000000000e+01,1.941636621227694759e-01,nan,2.833306078073291384e-04,3.420278072357177734e+00
2.400000000000000000e+01,1.906134918746021090e-01,8.951488344710267775e-01,2.733743232625872191e-04,6.680121660232543945e+00
2.500000000000000000e+01,1.936421915888786316e-01,nan,2.632103881453305423e-04,3.409435272216796875e+00
2.600000000000000000e+01,1.880167818421291104e-01,8.827507310785851491e-01,2.528696699924559048e-04,6.686455726623535156e+00
2.700000000000000000e+01,1.882498262760539942e-01,nan,2.423835732251290525e-04,3.416746854782104492e+00
2.800000000000000000e+01,1.860442095332675572e-01,8.747394573955333819e-01,2.317839437745895933e-04,6.680247545242309570e+00
2.900000000000000000e+01,1.876341502389146099e-01,nan,2.211029723671048693e-04,3.418729066848754883e+00
3.000000000000000000e+01,1.827348926001124974e-01,9.007815877058047427e-01,2.103730967617916401e-04,6.692215681076049805e+00
3.100000000000000000e+01,1.797047070124083157e-01,nan,1.996269032382084595e-04,3.430635452270507812e+00
3.200000000000000000e+01,1.822206095481912203e-01,8.814641136288829948e-01,1.888970276328952845e-04,6.690956354141235352e+00
3.300000000000000000e+01,1.828254124460121088e-01,nan,1.782160562254104250e-04,3.422165393829345703e+00
3.400000000000000000e+01,1.801295829936861992e-01,8.692136454283293512e-01,1.676164267748710471e-04,6.677437782287597656e+00
3.500000000000000000e+01,1.809706909375058403e-01,nan,1.571303300075441948e-04,3.416650533676147461e+00
3.600000000000000000e+01,1.788084702048864660e-01,8.682231380544690458e-01,1.467896118546695844e-04,6.683110237121582031e+00
3.700000000000000000e+01,1.759136184636089506e-01,nan,1.366256767374129618e-04,3.411130666732788086e+00
3.800000000000000000e+01,1.752622465396093121e-01,8.677089765967600510e-01,1.266693921926709883e-04,6.686387300491333008e+00
3.900000000000000000e+01,1.784085179161694346e-01,nan,1.169509951293766308e-04,3.412059545516967773e+00
4.000000000000000000e+01,1.719884407810038929e-01,8.879101067812044112e-01,1.075000000000000651e-04,6.683353185653686523e+00
4.100000000000000000e+01,1.727579718766113215e-01,nan,9.834510916612681619e-05,3.406174898147583008e+00
4.200000000000000000e+01,1.740323375496599378e-01,9.020548657445562890e-01,8.951412573032893659e-05,6.681013345718383789e+00
4.300000000000000000e+01,1.757996983619199982e-01,nan,8.103386909905629378e-05,3.416960954666137695e+00
4.400000000000000000e+01,1.730878681668804875e-01,8.878408186580650785e-01,7.293009353298048189e-05,6.690992593765258789e+00
4.500000000000000000e+01,1.726640125012232074e-01,nan,6.522740993215205680e-05,3.411647796630859375e+00
4.600000000000000000e+01,1.721841858492957344e-01,9.047248138316759114e-01,5.794921109350526894e-05,6.686783790588378906e+00
4.700000000000000000e+01,1.699420258195863953e-01,nan,5.111760066770328547e-05,3.410571813583374023e+00
4.800000000000000000e+01,1.712337689370744820e-01,8.925560439935256163e-01,4.475332603107722045e-05,6.682744026184082031e+00
4.900000000000000000e+01,1.683269048420091563e-01,nan,3.887571527652621017e-05,3.415921211242675781e+00
5.000000000000000000e+01,1.714845989416870775e-01,8.887521452031897917e-01,3.350261851473466056e-05,6.684082746505737305e+00
5.100000000000000000e+01,1.656835019691950683e-01,nan,2.865035366397240769e-05,3.410698175430297852e+00
5.200000000000000000e+01,1.692808040210770359e-01,8.934559979940204233e-01,2.433365689311366067e-05,6.680498838424682617e+00
5.300000000000000000e+01,1.652549932607346173e-01,nan,2.056563786837625269e-05,3.411759614944458008e+00
5.400000000000000000e+01,1.662823590967390242e-01,8.981375678382643724e-01,1.735773993969615434e-05,6.673888683319091797e+00
5.500000000000000000e+01,1.688793633754054613e-01,nan,1.471970538765005885e-05,3.417064666748046875e+00
5.600000000000000000e+01,1.675056701836486750e-01,8.849488582707223383e-01,1.265954583646914987e-05,6.687371492385864258e+00
5.700000000000000000e+01,1.686212771779133091e-01,nan,1.118351792299985141e-05,3.411771059036254883e+00
5.800000000000000000e+01,1.688148330172730693e-01,8.875715404015785959e-01,1.029610429550334636e-05,6.688090562820434570e+00
5.900000000000000000e+01,1.713281846087839899e-01,nan,1.000000000000000082e-05,3.421153068542480469e+00
