basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9241,0.893,-1.6808,0.9451,5812,0.8786,0.859,4.8457,0.9279,5567,1.1406,8047.8053
BND,8900.0,0.9111,0.9082,-1.0768,0.9535,1458,0.8598,0.8851,3.5122,0.9436,5571,1.2101,11400.9932
ORO,3607.0,0.8978,0.915,-4.2606,0.9577,5480,0.856,0.8788,-5.7666,0.9399,5569,1.557,5945.3266
YRS,1108.0,0.867,0.8537,-3.2944,0.9246,5063,0.8648,0.8324,-3.6751,0.9126,5545,2.7166,3186.4137
FOL,1885.0,0.9127,0.8858,-0.4375,0.9412,5063,0.8283,0.8697,-4.6483,0.9373,5272,2.0599,4110.5197
MKM,544.0,0.8862,0.867,-1.6778,0.9314,5195,0.8025,0.837,-12.3297,0.9198,5056,1.8209,1048.6139
NHG,363.0,0.8468,0.871,-8.9941,0.9346,4637,0.6876,0.8018,-16.3015,0.9113,4678,0.658,252.8732
NML,900.0,0.8987,0.8827,-1.9521,0.9398,5721,0.8681,0.8143,-2.7072,0.9027,5473,1.5142,1442.6615
TLG,1538.0,0.9032,0.9065,1.0592,0.9528,5498,0.9059,0.8646,4.7665,0.9308,5157,1.6987,2765.7774
MRC,1061.0,0.873,0.9049,0.6662,0.954,5463,0.8,0.8305,-9.8461,0.9156,5570,1.1648,1308.346
MIL,1675.0,0.9537,0.9365,0.6709,0.9678,5721,0.8655,0.8676,-6.5119,0.933,5499,1.3344,2366.0635
PNF,1545.0,0.9694,0.9484,0.9061,0.974,5809,0.9194,0.8701,0.6753,0.9331,5549,1.3144,2149.7892
TRM,561.0,0.9452,0.9128,0.9431,0.9555,5543,0.8112,0.8846,-11.5897,0.9476,5503,0.9003,534.6446
SCC,393.0,0.8862,0.921,-5.7575,0.9615,5228,0.7956,0.7851,16.1394,0.907,5292,0.4767,198.3217
ISB,2074.0,0.9577,0.9442,-0.1149,0.9717,5821,0.7746,0.8499,-8.7646,0.9331,5569,0.3887,853.502
