epoch,loss,cal_kge,lr,epoch_s
0.000000000000000000e+00,1.432561364438798668e+00,-2.466982873653304764e-01,1.599999999999999860e-04,5.952135324478149414e+00
1.000000000000000000e+00,1.184484522375795601e+00,nan,2.799999999999999755e-04,1.769234180450439453e+00
2.000000000000000000e+00,7.268207870009872895e-01,6.001032267434490697e-01,4.000000000000000192e-04,5.026009082794189453e+00
3.000000000000000000e+00,4.846735332782070027e-01,nan,3.997038957044966347e-04,1.760455131530761719e+00
4.000000000000000000e+00,4.004252712345785503e-01,7.709101281172293652e-01,3.988164820770001432e-04,5.041455745697021484e+00
5.000000000000000000e+00,3.520522418742378368e-01,nan,3.973404541635308261e-04,1.762036561965942383e+00
6.000000000000000000e+00,3.319955206372671719e-01,7.769753506889699457e-01,3.952802946123499476e-04,5.085018634796142578e+00
7.000000000000000000e+00,3.207489453877012120e-01,nan,3.926422600603038165e-04,1.768321990966796875e+00
8.000000000000000000e+00,3.047813101568155880e-01,8.042440728888853307e-01,3.894343621316237046e-04,5.025752544403076172e+00
9.000000000000000000e+00,2.875667577609419823e-01,nan,3.856663431068863305e-04,1.754520416259765625e+00
1.000000000000000000e+01,2.717945664707157594e-01,8.428346103842347947e-01,3.813496463360276242e-04,5.042572736740112305e+00
1.100000000000000000e+01,2.638289235118362885e-01,nan,3.764973814852653577e-04,1.765021324157714844e+00
1.200000000000000000e+01,2.585997658057345161e-01,8.172250689505408117e-01,3.711242847234738217e-04,5.043350696563720703e+00
1.300000000000000000e+01,2.466228610525528497e-01,nan,3.652466739689228317e-04,1.760194063186645508e+00
1.400000000000000000e+01,2.435840870150261517e-01,8.723696635113336040e-01,3.588823993322968141e-04,5.035370826721191406e+00
1.500000000000000000e+01,2.418499461685617857e-01,nan,3.520507889064948374e-04,1.756332635879516602e+00
1.600000000000000000e+01,2.336806666312946090e-01,7.895505190916616289e-01,3.447725900678480699e-04,5.033302783966064453e+00
1.700000000000000000e+01,2.305240725787977285e-01,nan,3.370699064670196177e-04,1.764150142669677734e+00
1.800000000000000000e+01,2.233678226152228108e-01,8.541870814660994515e-01,3.289661309009438194e-04,5.023063421249389648e+00
1.900000000000000000e+01,2.296229401706821327e-01,nan,3.204858742696712172e-04,1.769115209579467773e+00
2.000000000000000000e+01,2.212421663312448272e-01,8.787603411159182754e-01,3.116548908338733241e-04,5.032979488372802734e+00
2.100000000000000000e+01,2.138679805729124250e-01,nan,3.025000000000000887e-04,1.749775409698486328e+00
2.200000000000000000e+01,2.123067175659040517e-01,8.053745083710818209e-01,2.930490048706235230e-04,5.031541585922241211e+00
2.300000000000000000e+01,2.048945557326078415e-01,nan,2.833306078073291384e-04,1.767969846725463867e+00
2.400000000000000000e+01,2.051142595397929258e-01,8.433264263886053325e-01,2.733743232625872191e-04,5.040364503860473633e+00
2.500000000000000000e+01,2.013072575856414137e-01,nan,2.632103881453305423e-04,1.768068313598632812e+00
2.600000000000000000e+01,2.030724653353293829e-01,8.737407581001962464e-01,2.528696699924559048e-04,5.028234481811523438e+00
2.700000000000000000e+01,1.995413003799816065e-01,nan,2.423835732251290525e-04,1.762602567672729492e+00
2.800000000000000000e+01,1.969843843123978977e-01,8.683366891859617409e-01,2.317839437745895933e-04,5.025060176849365234e+00
2.900000000000000000e+01,1.980495288864606018e-01,nan,2.211029723671048693e-04,1.770374059677124023e+00
3.000000000000000000e+01,1.977599520857135362e-01,8.745227298680798844e-01,2.103730967617916401e-04,5.032873392105102539e+00
3.100000000000000000e+01,1.928472695872187614e-01,nan,1.996269032382084595e-04,1.771670103073120117e+00
3.200000000000000000e+01,1.880709933530953226e-01,8.939168718929793034e-01,1.888970276328952845e-04,5.036147594451904297e+00
3.300000000000000000e+01,1.903425878845155239e-01,nan,1.782160562254104250e-04,1.752664804458618164e+00
3.400000000000000000e+01,1.824852855255206519e-01,8.470482348970309605e-01,1.676164267748710471e-04,5.028045177459716797e+00
3.500000000000000000e+01,1.882901980231205530e-01,nan,1.571303300075441948e-04,1.762345790863037109e+00
3.600000000000000000e+01,1.842531320225033464e-01,9.062741359477548553e-01,1.467896118546695844e-04,5.029401779174804688e+00
3.700000000000000000e+01,1.917181312520470915e-01,nan,1.366256767374129618e-04,1.765962362289428711e+00
3.800000000000000000e+01,1.784747959528532324e-01,9.035971642968316786e-01,1.266693921926709883e-04,5.038227319717407227e+00
3.900000000000000000e+01,1.814507913982702503e-01,nan,1.169509951293766308e-04,1.754023075103759766e+00
4.000000000000000000e+01,1.782428454090323744e-01,8.787388910461602087e-01,1.075000000000000651e-04,5.036338090896606445e+00
4.100000000000000000e+01,1.778587031488617354e-01,nan,9.834510916612681619e-05,1.767202377319335938e+00
4.200000000000000000e+01,1.845254362560808659e-01,9.033258200558821338e-01,8.951412573032893659e-05,5.036922931671142578e+00
