entity_id,family,timescale,site_id,name,area_mi2,n_obs,n_scored,kge,nse,pbias,r,alpha,beta
uf_02,uf_monthly,monthly,UF 2,Putah Creek near Winters,567.46,360,360,0.9428619620185159,0.9549936190749976,2.6867558904168285,0.9775761010172014,0.9548329941515512,1.0268675589041683
uf_03,uf_monthly,monthly,UF 3,Cache Creek above Rumsey,953.37,360,360,0.9375393328009118,0.9068073975121248,-2.434959261502633,0.9557995619197139,1.0368069770552852,0.9756504073849737
uf_04,uf_monthly,monthly,UF 4,Stony Creek at Black Butte,744.94,360,360,0.9062541955115171,0.914209186668289,3.6203236690848923,0.9568397499016198,0.9250680687307173,1.0362032366908491
uf_06,uf_monthly,monthly,UF 6,Sacramento River near Red Bluff,9083.72,360,360,0.9018793084364705,0.9301636255578186,-3.3738633470469606,0.9720325942694164,1.087790654064949,0.9662613665295304
uf_07,uf_monthly,monthly,UF 7,Sacramento Valley East Side Minor Streams,1035.9,360,360,0.86404455419626,0.887641204023802,11.268472187321898,0.9539925284785161,1.0605751538524568,1.112684721873219
uf_10,uf_monthly,monthly,UF 10,Bear River near Wheatland,281.96,360,360,0.8893158794470626,0.9515987913227387,-8.101582727312548,0.9779764096460702,0.9278725312952786,0.9189841727268745
uf_13,uf_monthly,monthly,UF 13,Cosumnes River at Michigan Bar,539.11,360,360,0.8204957058948548,0.9362450161576932,13.877653369210575,0.9743061919828012,0.8890824922378542,1.1387765336921056
uf_20,uf_monthly,monthly,UF 20,Chowchilla River at Buchanan Reservoir,234.81,360,360,0.8367485717285661,0.8818967216119742,3.8099636727352655,0.9437205969160629,0.8515679438179791,1.0380996367273527
uf_21,uf_monthly,monthly,UF 21,Fresno River near Daulton,343.68,360,360,0.8570101878634955,0.9308979308090475,13.85238422056537,0.9682707896721711,1.0158268356719982,1.1385238422056536
cdec_BND,cdec_daily,daily,BND,CDEC SBB full natural flow,8900.0,7029,7029,0.9194509609439092,0.8643440935393283,-4.3609435197291795,0.9339266909348278,1.0148553924152506,0.9563905648027081
cdec_CLE,cdec_daily,daily,CLE,TRINITY LAKE,692.86,11310,11310,0.715670310651652,0.6599021919251054,-6.844704715114733,0.8138491019666304,0.7962692533204996,0.9315529528488528
cdec_CSN,cdec_daily,daily,CSN,COSUMNES R AT MICHIGAN BAR,539.11,7211,7211,0.6893493833545221,0.8041791623804471,24.848139727828585,0.9036360310552101,0.84039177239862,1.2484813972782858
cdec_FOL,cdec_daily,daily,FOL,CDEC AMF full natural flow,1885.0,10335,10335,0.7837648925537659,0.7764802489601349,-8.538099052093658,0.8835565738425829,0.839038400061784,0.9146190094790634
cdec_ISB,cdec_daily,daily,ISB,CDEC KRI full natural flow,2074.0,11390,11390,0.733353490902969,0.7590457480661656,24.254095365433724,0.9023278100124296,1.0522913942930348,1.2425409536543373
cdec_MIL,cdec_daily,daily,MIL,CDEC SBF full natural flow,1675.0,11220,11220,0.9009193167325772,0.8424342843901633,-3.430799941149295,0.9188416249557797,0.9546870754276218,0.965692000588507
cdec_MKM,cdec_daily,daily,MKM,CDEC MKM full natural flow,544.0,10251,10251,0.799286251066654,0.6968745315595016,-3.6203280200143824,0.8367229284550987,0.8890228427947926,0.9637967197998563
cdec_MRC,cdec_daily,daily,MRC,CDEC MRC full natural flow,1061.0,11033,11033,0.8420289765224681,0.7986701613047094,9.325161017611407,0.8958309453322975,0.926462325929234,1.093251610176114
cdec_NHG,cdec_daily,daily,NHG,CDEC NHG full natural flow,363.0,9315,9315,0.7523472219626158,0.7652039121181715,-7.23737247059156,0.8789041139197948,0.7964570590359956,0.9276262752940844
cdec_NML,cdec_daily,daily,NML,CDEC NML full natural flow,900.0,11194,11194,0.8768493700609048,0.7578402219467589,2.3233591744849638,0.8790609262280704,1.00013529307967,1.0232335917448496
cdec_ORO,cdec_daily,daily,ORO,CDEC FTO full natural flow,3607.0,11049,11049,0.8617980905899417,0.8210719790124241,0.20155221831640563,0.9061629346674309,0.8985588318053943,1.002015522183164
cdec_PNF,cdec_daily,daily,PNF,CDEC KGF full natural flow,1545.0,11358,11358,0.9218418604292589,0.8514266489402688,-1.4266105961568623,0.9247162918202303,0.984587787811089,0.9857338940384314
cdec_SCC,cdec_daily,daily,SCC,CDEC SCC full natural flow,393.0,10520,10520,0.7345899337041313,0.6736193804964425,10.107650392840066,0.8222670231775738,0.8307752010057972,1.1010765039284007
cdec_SHA,cdec_daily,daily,SHA,CDEC SIS full natural flow,6665.0,11379,11379,0.8843286313836873,0.8216904963751857,4.423117048452847,0.9080332699183802,0.9455427724426414,1.0442311704845284
cdec_TLG,cdec_daily,daily,TLG,CDEC TLG full natural flow,1538.0,10655,10655,0.7802154194305253,0.8079383732205508,-12.98238209604754,0.9047867955493798,0.850382210063219,0.8701761790395246
cdec_TRM,cdec_daily,daily,TRM,CDEC KWT full natural flow,561.0,11046,11046,0.819171175189384,0.7688976465601715,-10.050583515500197,0.8797971415376461,0.9097286656813839,0.899494164844998
cdec_YRS,cdec_daily,daily,YRS,CDEC YRS full natural flow,1108.0,10608,10608,0.7687405367485709,0.7497684138604201,3.5265101775770455,0.8678218532455363,0.8135429018228615,1.0352651017757704
