arc,node,entity,sq_mi,covered_mi2,cover_frac,n_cells,basis,n_nan_cells,nan_weight_frac
I_ALD002,ALD002,cdec_FOL,3.3370649331,3.38839380233442,1.0153814415552105,2,trained entity,0,0.0
I_ALD004,ALD004,cdec_FOL,18.6571403474,18.746471702903744,1.0047880518579149,5,trained entity,0,0.0
I_ALMNR,ALMNR,cdec_ORO,355.493694935,355.65518383347734,1.0004542665616245,38,trained entity,0,0.0
I_ALOHA,ALOHA,cdec_FOL,3.43883618161,3.4315193729831917,0.997872300906354,3,trained entity,0,0.0
I_ANG017,ANG017,cdec_NML,2.25566313723,2.184699905933713,0.9685399694107556,2,trained entity,0,0.0
I_ANT011,ANT011,uf_07,123.775993873,123.97685192863509,1.0016227545370484,19,trained entity,0,0.0
I_ANTLP,ANTLP,cdec_ORO,70.9672749628,71.07401689076757,1.0015041007002665,12,trained entity,0,0.0
I_BCC014,BCC014,uf_07,72.1496586683,72.17652677364157,1.0003723940741713,17,trained entity,0,0.0
I_BCN010,BCN010,cdec_BND,73.5176290471,73.48599009741183,0.9995696413214319,13,trained entity,0,0.0
I_BEARD,BEARD,cdec_NML,12.992228426,13.000167153708992,1.000611036648117,4,trained entity,0,0.0
I_BLKBT,BLKBT,uf_04,389.817891857,389.6847301777281,0.9996584002888181,46,trained entity,0,0.0
I_BOWMN,BOWMN,cdec_YRS,22.8581300354,22.890775671264272,1.0014281848871152,6,trained entity,0,0.0
I_BRC003,BRC003,uf_03,94.9552297083,94.98636631282935,1.0003279082639787,16,trained entity,0,0.0
I_BRR023,BRR023,uf_10,105.591907451,105.63034472026925,1.000364017188411,20,trained entity,0,0.0
I_BSH003,BSH003,cdec_FOL,8.01461019792,8.019597491725717,1.0006222752800893,3,trained entity,0,0.0
I_BTC048,BTC048,uf_07,147.693507988,147.5300928080146,0.998893552044287,27,trained entity,0,0.0
I_BTL006,BTL006,cdec_BND,360.368194618,360.38950279517024,1.000059128906181,40,trained entity,0,0.0
I_BTVLY,BTVLY,cdec_ORO,62.9378215702,62.92308070263454,0.9997657868162944,14,trained entity,0,0.0
I_BUCKS,BUCKS,cdec_ORO,28.5426705415,28.558125038518714,1.0005414523842904,7,trained entity,0,0.0
I_BVC007,BVC007,cdec_NML,29.5199122645,29.47150766882679,0.9983602730509663,10,trained entity,0,0.0
I_CAPLS,CAPLS,cdec_FOL,13.5972377226,13.601047472658639,1.000280185588894,5,trained entity,0,0.0
I_CCH053,CCH053,uf_03,248.025211085,247.86484168200312,0.999353414911753,34,trained entity,0,0.0
I_CFS001,CFS001,cdec_NML,67.2646813002,67.10789174572544,0.9976690656754202,12,trained entity,0,0.0
I_CLR011,CLR011,cdec_BND,28.3454815416,28.30533085267584,0.9985835241900818,4,trained entity,0,0.0
I_CLRLK,CLRLK,uf_03,489.454785185,489.1818326743591,0.9994423335537771,56,trained entity,0,0.0
I_CMBIE,CMBIE,uf_10,31.8448124247,31.877844794198538,1.001037292010328,8,trained entity,0,0.0
I_CMP001,CMP001,cdec_CSN,15.7076840199,15.73592441322366,1.0017978712385531,5,trained entity,0,0.0
I_CMP014,CMP014,cdec_CSN,29.7308203078,29.653557638122535,0.9974012600769985,9,trained entity,0,0.0
I_CMPFW,CMPFW,uf_10,25.0969974101,25.11870592320785,1.0008649844741633,7,trained entity,0,0.0
I_COL003,COL003,cdec_MKM,20.6784256592,20.711325618046953,1.0015910282237719,5,trained entity,0,0.0
I_COT033,COT033,uf_21,30.3173832183,30.200745265963945,0.9961527697988904,7,trained entity,0,0.0
I_COW014,COW014,cdec_BND,384.0351176,384.12285357562604,1.0002284582102137,40,trained entity,0,0.0
I_CSM035,CSM035,cdec_CSN,476.361044335,476.61325973195966,1.0005294626837336,55,trained entity,0,0.0
I_CWD018,CWD018,cdec_BND,394.941946735,394.85403467915984,0.9997774051184816,44,trained entity,0,0.0
I_CYN009,CYN009,cdec_FOL,1.27797359812,1.2653253947592435,0.9901029227995297,3,trained entity,0,0.0
I_DAVIS,DAVIS,cdec_ORO,43.8743604741,43.95266277719601,1.001784693890689,11,trained entity,0,0.0
I_DBC024,DBC024,uf_21,31.9508949143,32.05096792367617,1.0031320878380585,6,trained entity,0,0.0
I_DCC010,DCC010,cdec_FOL,9.70096734654,9.679974081565456,0.9978359616907656,4,trained entity,0,0.0
I_DONLL,DONLL,cdec_NML,112.93927312,113.31413272168328,1.0033191253257403,19,trained entity,0,0.0
I_DRC012,DRC012,uf_07,208.997747437,209.17228512642032,1.000835117562561,30,trained entity,0,0.0
I_EBF001,EBF001,cdec_ORO,955.672466225,955.9678695020983,1.000309105145893,99,trained entity,0,0.0
I_ECHOL,ECHOL,cdec_FOL,4.75103086469,4.724284854614494,0.994370482777899,2,trained entity,0,0.0
I_ELENR,ELENR,cdec_TLG,109.4475973122,109.49902828768012,1.0004699141574886,18,trained entity,0,0.0
I_ENGLB,ENGLB,cdec_YRS,135.508215946,135.47243723897097,0.9997359665111133,23,trained entity,0,0.0
I_EPARK,EPARK,uf_04,97.6343125206,97.80731993249687,1.0017719939581728,16,trained entity,0,0.0
I_ESTMN,ESTMN,uf_20,234.811659592,234.79716324090032,0.9999382639212854,30,trained entity,0,0.0
I_FOLSM,FOLSM,cdec_FOL,193.996983146,194.00861454031858,1.0000599565731898,26,trained entity,0,0.0
I_FRDYC,FRDYC,cdec_YRS,31.626772939,31.733323825606952,1.0033690091244043,7,trained entity,0,0.0
I_FRMAN,FRMAN,cdec_ORO,81.1801970227,81.28525283242307,1.0012941063655425,14,trained entity,0,0.0
I_FRMDW,FRMDW,cdec_FOL,47.0378382962,47.02180329896783,0.9996591042910774,9,trained entity,0,0.0
I_FRNCH,FRNCH,cdec_YRS,4.72906279714,4.723787564210696,0.9988845077437977,2,trained entity,0,0.0
I_FRS046,FRS046,uf_21,45.8220529924,45.766512058318874,0.9987878994838939,12,trained entity,0,0.0
I_GERLE,GERLE,cdec_FOL,22.6793716999,22.728316824028358,1.002158134042513,5,trained entity,0,0.0
I_GZL009,GZL009,cdec_ORO,13.689701561,13.673346731807602,0.9988053187924132,5,trained entity,0,0.0
I_HHOLE,HHOLE,cdec_FOL,80.9806008299,81.03721107677944,1.0006990593586524,15,trained entity,0,0.0
I_HNSLY,HNSLY,uf_21,235.594591668,235.91242333909068,1.0013490618304963,30,trained entity,0,0.0
I_HTCHY,HTCHY,cdec_TLG,526.2135664093,526.581338108985,1.000698901972814,58,trained entity,0,0.0
I_ICEHS,ICEHS,cdec_FOL,27.2920439684,27.232683993279327,0.9978250080796658,9,trained entity,0,0.0
I_INDVL,INDVL,uf_03,120.931192953,120.76617370156626,0.9986354285655822,19,trained entity,0,0.0
I_JKSMD,JKSMD,cdec_YRS,37.1519493027,37.18039057820322,1.0007655392526378,9,trained entity,0,0.0
I_JNKSN,JNKSN,cdec_CSN,17.3137755283,17.2704195578206,0.9974958685118371,6,trained entity,0,0.0
I_LCBRF,LCBRF,cdec_YRS,17.5034310232,17.541317499064462,1.0021645171060602,6,trained entity,0,0.0
I_LCC038,LCC038,uf_07,25.5196856026,25.604698773583493,1.0033312781476755,7,trained entity,0,0.0
I_LDC029,LDC029,uf_07,33.546785214,33.62229656620034,1.0022509266303354,8,trained entity,0,0.0
I_LGRSV,LGRSV,cdec_ORO,25.669838468,25.674416347427933,1.0001783369004695,7,trained entity,0,0.0
I_LKVLY,LKVLY,cdec_FOL,4.36066723759,4.341254281813264,0.9955481684982994,2,trained entity,0,0.0
I_LLOYD,LLOYD,cdec_TLG,115.601148771,115.87136750677577,1.0023375090874838,20,trained entity,0,0.0
I_LNG012,LNG012,cdec_FOL,7.42642391296,7.38204418111915,0.9940240777578827,2,trained entity,0,0.0
I_LOONL,LOONL,cdec_FOL,8.0314318553,8.13067333161542,1.012356635541884,4,trained entity,0,0.0
I_LRB004,LRB004,cdec_FOL,5.85396271009,5.875081630740122,1.003607628147976,4,trained entity,0,0.0
I_LYONS,LYONS,cdec_NML,18.6824052239,18.729442738412313,1.002517744045726,5,trained entity,0,0.0
I_MCLRE,MCLRE,cdec_MRC,1036.0761981327,1036.3785795806418,1.0002918525186533,98,trained entity,0,0.0
I_MFA001,MFA001,cdec_FOL,93.4866010393,93.57741097413778,1.0009713684509678,17,trained entity,0,0.0
I_MFA023,MFA023,cdec_FOL,4.60564481899,4.594116918226566,0.9974970061269376,4,trained entity,0,0.0
I_MFA025,MFA025,cdec_FOL,141.9181601903,142.04219326974084,1.0008739760949164,21,trained entity,0,0.0
I_MFA036,MFA036,cdec_FOL,32.0777236666,32.15573401113778,1.0024319164710247,8,trained entity,0,0.0
I_MFF019,MFF019,cdec_ORO,476.008562915,476.35399049796246,1.0007256751451006,59,trained entity,0,0.0
I_MFF087,MFF087,cdec_ORO,460.211668108,460.5678085642232,1.000773862291861,54,trained entity,0,0.0
I_MFM008,MFM008,cdec_MKM,94.8846631828,94.94338927272685,1.000618920781894,17,trained entity,0,0.0
I_MFS013,MFS013,cdec_NML,22.9136452749,22.886485403282148,0.9988146856909057,6,trained entity,0,0.0
I_MFS022,MFS022,cdec_NML,65.8988709257,65.99085474140637,1.0013958329545598,10,trained entity,0,0.0
I_MFS047,MFS047,cdec_NML,23.0889626821,23.137234890940082,1.0020907049617047,7,trained entity,0,0.0
I_MFY013,MFY013,cdec_YRS,107.718585653,108.03423920094997,1.002930353625017,18,trained entity,0,0.0
I_MIL003,MIL003,cdec_NML,12.3116336358,12.296430347209341,0.9987651282485819,5,trained entity,0,0.0
I_MLC006,MLC006,uf_07,131.950406359,131.728142495799,0.998315549990833,28,trained entity,0,0.0
I_MLRTN,MLRTN,cdec_MIL,1637.79925007,1639.0707821871806,1.000776366283674,146,trained entity,0,0.0
I_MNS000,MNS000,uf_07,292.266972649,292.3946322826471,1.000436791172434,42,trained entity,0,0.0
I_MOK079,MOK079,cdec_MKM,56.9074629542,56.997196256853606,1.0015768283805908,13,trained entity,0,0.0
I_MTMDW,MTMDW,cdec_ORO,153.83242463,153.85762127433244,1.0001637928050153,21,trained entity,0,0.0
I_NBLDB,NBLDB,cdec_YRS,189.17083045,189.27982079205344,1.0005761477168238,27,trained entity,0,0.0
I_NFA016,NFA016,cdec_FOL,14.507347798,14.552821248361878,1.0031345116278352,5,trained entity,0,0.0
I_NFA022,NFA022,cdec_FOL,145.136220173,145.2233591510443,1.0006003944290434,22,trained entity,0,0.0
I_NFA054,NFA054,cdec_FOL,185.406364803,185.46844556013377,1.000334836170267,26,trained entity,0,0.0
I_NFF029,NFF029,cdec_ORO,309.586475883,309.7582818003277,1.0005549529152968,35,trained entity,0,0.0
I_NFM010,NFM010,cdec_MKM,92.4677112424,92.47869985114424,1.0001188372524483,14,trained entity,0,0.0
I_NFS005,NFS005,cdec_NML,5.97190782342,6.031918870509752,1.0100488903821334,2,trained entity,0,0.0
I_NFS009,NFS009,cdec_NML,92.1647223165,92.2848046596771,1.0013029100523378,17,trained entity,0,0.0
I_NFS033,NFS033,cdec_NML,28.4436447487,28.442166683666635,0.9999480353152199,8,trained entity,0,0.0
I_NFY029,NFY029,cdec_YRS,250.183229094,250.37075130784135,1.0007495395055872,32,trained entity,0,0.0
I_NHGAN,NHGAN,cdec_NHG,361.610671554,361.94026622396626,1.000911462785514,42,trained entity,0,0.0
I_NLC003,NLC003,cdec_FOL,3.56226889426,3.5592672721795533,0.9991573847540586,3,trained entity,0,0.0
I_NMA003,NMA003,cdec_FOL,88.6991249531,88.60122138892216,0.9988962285227774,14,trained entity,0,0.0
I_NNA013,NNA013,cdec_FOL,4.40290834774,4.417333854019969,1.0032763585204705,3,trained entity,0,0.0
I_OGN005,OGN005,cdec_YRS,29.0862704328,29.027962840238846,0.9979953568575983,9,trained entity,0,0.0
I_OROVL,OROVL,cdec_ORO,311.880023373,312.0409249868386,1.000515908688535,41,trained entity,0,0.0
I_PCRST,PCRST,cdec_NML,27.1802698741,27.254559796817905,1.0027332297678433,8,trained entity,0,0.0
I_PEDRO,PEDRO,cdec_TLG,780.3108621645,780.61528826904,1.000390134392972,85,trained entity,0,0.0
I_PLC007,PLC007,cdec_FOL,4.03620567777,4.060172645982716,1.0059379947718516,2,trained entity,0,0.0
I_PLM001,PLM001,cdec_FOL,7.03359170139,7.051746473387404,1.0025811523853192,3,trained entity,0,0.0
I_PTH070,PTH070,uf_02,567.457149998,567.4221811127786,0.9999383761659864,60,trained entity,0,0.0
I_PYR001,PYR001,cdec_FOL,5.31118515482,5.288994499378905,0.9958219013658455,2,trained entity,0,0.0
I_RCK001,RCK001,cdec_FOL,72.9349251115,73.00703587254749,1.0009887000080862,11,trained entity,0,0.0
I_RLIEF,RLIEF,cdec_NML,24.292465043,24.271006799452785,0.9991166708068023,5,trained entity,0,0.0
I_RLLNS,RLLNS,uf_10,103.682747844,103.91882033928398,1.0022768734451286,20,trained entity,0,0.0
I_RUB047,RUB047,cdec_FOL,26.4876926074,26.520419882450433,1.0012355653448384,5,trained entity,0,0.0
I_RVPHB,RVPHB,cdec_ORO,7.59692364845,7.543850894309446,0.9930139150271199,4,trained entity,0,0.0
I_SCOTF,SCOTF,cdec_YRS,14.5280311817,14.526920237310694,0.9999235309743343,7,trained entity,0,0.0
I_SCW008,SCW008,cdec_BND,372.17399023,372.08910928719894,0.9997719320935119,45,trained entity,0,0.0
I_SFA030,SFA030,cdec_FOL,31.5416976429,31.597156235398618,1.0017582627646264,9,trained entity,0,0.0
I_SFA040,SFA040,cdec_FOL,99.2697638745,99.24901931877216,0.9997910284570227,20,trained entity,0,0.0
I_SFA066,SFA066,cdec_FOL,67.4375224867,67.55771100021866,1.0017822201807955,12,trained entity,0,0.0
I_SFA076,SFA076,cdec_FOL,39.5115212214,39.55307369967054,1.0010516547322412,9,trained entity,0,0.0
I_SFD003,SFD003,cdec_YRS,5.67754980116,5.711045287434776,1.0058996375985874,3,trained entity,0,0.0
I_SFF008,SFF008,cdec_ORO,24.5213843918,24.532541602811037,1.0004549992297649,8,trained entity,0,0.0
I_SFF011,SFF011,cdec_ORO,57.9016624919,57.877473602264246,0.9995822418805481,13,trained entity,0,0.0
I_SFM005,SFM005,cdec_MKM,64.0549020101,64.19758569540488,1.0022275217169545,15,trained entity,0,0.0
I_SFR006,SFR006,cdec_FOL,15.2121235855,15.245280401435918,1.002179630986401,5,trained entity,0,0.0
I_SFS030,SFS030,cdec_NML,3.33169382176,3.3544821984711515,1.0068398772307094,2,trained entity,0,0.0
I_SFS033,SFS033,cdec_NML,17.9306459864,17.940690588349035,1.0005601918612779,7,trained entity,0,0.0
I_SFY007,SFY007,cdec_YRS,146.645751024,146.75481255582048,1.0007437074109473,23,trained entity,0,0.0
I_SFY048,SFY048,cdec_YRS,54.2431944696,54.34621380947337,1.0018992122584356,12,trained entity,0,0.0
I_SGRGE,SGRGE,uf_04,257.48496143,257.17698301913197,0.9988038974814001,29,trained entity,0,0.0
I_SHSTA,SHSTA,cdec_SHA,6588.45234035,6591.401571810848,1.0004476364567116,544,trained entity,0,0.0
I_SILVR,SILVR,cdec_FOL,15.044219396,15.018689041746004,0.9983029791322516,5,trained entity,0,0.0
I_SLC003,SLC003,cdec_FOL,7.05098842626,7.063981700814575,1.0018427593082104,4,trained entity,0,0.0
I_SLF009,SLF009,cdec_FOL,45.1471686865,45.196595306498935,1.0010947889189274,8,trained entity,0,0.0
I_SLT009,SLT009,cdec_YRS,49.2131940552,49.29193055009248,1.0015999062122276,11,trained entity,0,0.0
I_SLTSP,SLTSP,cdec_MKM,169.781488615,169.97336941271743,1.001130163242664,24,trained entity,0,0.0
I_SLV006,SLV006,cdec_FOL,24.5070203364,24.44993409534846,0.9976706168164087,6,trained entity,0,0.0
I_SLV015,SLV015,cdec_FOL,31.3952280157,31.392335441782752,0.9999078658095492,10,trained entity,0,0.0
I_SLYCK,SLYCK,cdec_ORO,24.0454557489,24.034370521265217,0.9995389886658609,6,trained entity,0,0.0
I_SPICE,SPICE,cdec_NML,44.6567069583,44.7671046242285,1.002472140770066,10,trained entity,0,0.0
I_SPLDG,SPLDG,cdec_YRS,33.4097986743,33.403668599930796,0.9998165186678027,9,trained entity,0,0.0
I_SRBB_VAL,SRBB_VAL,cdec_BND,682.0250291206,681.7700301903734,0.9996261149967539,80,trained entity,0,0.0
I_STMPY,STMPY,cdec_FOL,14.8927676082,14.880792080105074,0.9991958829674927,4,trained entity,0,0.0
I_STS072,STS072,cdec_NML,291.896053403,292.11067005898184,1.0007352502833793,36,trained entity,0,0.0
I_TGC003,TGC003,cdec_MKM,7.8703110319,7.9075716036407036,1.004734320103701,4,trained entity,0,0.0
I_TRNTY,TRNTY,cdec_CLE,692.855878007,692.5305416301815,0.9995304414855304,71,trained entity,0,0.0
I_UBEAR,UBEAR,cdec_MKM,37.2529927898,37.34675069821944,1.0025167886228221,10,trained entity,0,0.0
I_UNVLY,UNVLY,cdec_FOL,83.8034998021,83.89707821464303,1.0011166408654055,14,trained entity,0,0.0
I_WBF006,WBF006,cdec_ORO,36.2822419915,36.27454249857969,0.9997877889430837,9,trained entity,0,0.0
I_WBF015,WBF015,cdec_ORO,63.682345685,63.66451663173434,0.999720031461249,13,trained entity,0,0.0
I_WBF030,WBF030,cdec_ORO,38.0437790686,38.18532575667004,1.003720626381906,8,trained entity,0,0.0
I_WBR001,WBR001,cdec_FOL,98.9278850295,98.98865815826198,1.00061431747726,20,trained entity,0,0.0
I_WKYTN,WKYTN,cdec_BND,199.855505833,199.5445022328152,0.9984438577316721,27,trained entity,0,0.0
