arc,node,entity,basis,system,tier1_set,sq_mi,cover_frac,n_cells,n_nan_cells,nan_weight_frac,has_series,window,win_start,win_end,n_months,kge,nse,pbias,r,alpha,beta,seas_mismatch,ct_diff,sim_taf_yr,ref_taf_yr
I_ALD002,ALD002,cdec_FOL,trained entity,FOLS,UF11,3.3370649331,1.0153814415552105,2,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.4468190083957341,0.5070149881857585,0.9095417196629079,0.754964914696182,0.5041327901257749,1.009095417196629,0.22273322225166048,0.3102235789901302,4.924385626972717,4.8799999911338094
I_ALD002,ALD002,cdec_FOL,trained entity,FOLS,UF11,3.3370649331,1.0153814415552105,2,0,0.0,True,train,1987-10,2018-12,375,0.5613134947876727,0.6450558669452524,12.937953787148086,0.8380925786409008,0.6133570485002805,1.1293795378714808,0.22078203774916474,0.2534754288308978,4.760379933055923,4.215040005087852
I_ALD004,ALD004,cdec_FOL,trained entity,FOLS,UF11,18.6571403474,1.0047880518579149,5,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5038049702287615,0.5870574536845606,-3.755854403635381,0.8132961187267367,0.5418073286737896,0.9624414559636463,0.23162053466893798,0.5402097373848163,26.19820648758072,27.220571521776062
I_ALD004,ALD004,cdec_FOL,trained entity,FOLS,UF11,18.6571403474,1.0047880518579149,5,0,0.0,True,train,1987-10,2018-12,375,0.626217022789036,0.7155802199523186,4.361737232797622,0.8760156286095725,0.6500869900463613,1.0436173723279762,0.19071414717828827,0.31087556517710535,24.571595279243066,23.544639952123166
I_ALMNR,ALMNR,cdec_ORO,trained entity,OROV,UF8,355.493694935,1.0004542665616245,38,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6809330676689495,0.4986921218097857,-8.888539151175825,0.8385116431672934,1.260431574680224,0.9111146084882417,0.06624443421743363,0.4368317862596598,497.2769823910321,545.789714881352
I_ALMNR,ALMNR,cdec_ORO,trained entity,OROV,UF8,355.493694935,1.0004542665616245,38,0,0.0,True,train,1987-10,2018-12,375,0.447877967984446,0.4056492770634125,6.412216709138851,0.9051946598312772,1.540128719288265,1.0641221670913885,0.10540873065263673,0.46380253233834434,490.6042461532609,461.04128015136723
I_ALOHA,ALOHA,cdec_FOL,trained entity,FOLS,UF11,3.43883618161,0.997872300906354,3,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5878868900970176,0.6881972213452114,-38.16824687456682,0.8915335562311373,0.8886863037076936,0.6183175312543318,0.11886810272142428,0.09801311248371558,8.1261056556007,13.142285710573198
I_ALOHA,ALOHA,cdec_FOL,trained entity,FOLS,UF11,3.43883618161,0.997872300906354,3,0,0.0,True,train,1987-10,2018-12,375,0.27216341449976134,0.304946719622866,-55.18859538445193,0.7179915317241095,0.6183729399499333,0.4481140461554807,0.1924273890097592,-0.3932304846404149,5.4159422177890315,12.0860800152421
I_ANG017,ANG017,cdec_NML,trained entity,ST,UF16,2.25566313723,0.9685399694107556,2,0,0.0,True,WY1950-84,1949-10,1984-09,420,-0.12046661229413291,-0.126991026880096,-80.39953165859697,0.692401495971726,0.28276913027025596,0.19600468341403035,0.29259903959424133,-0.8582204078471598,1.6701279029805076,8.520857123870934
I_ANG017,ANG017,cdec_NML,trained entity,ST,UF16,2.25566313723,0.9685399694107556,2,0,0.0,True,train,1987-10,2018-12,375,-0.10504711142572032,0.025998476924676384,-80.33597627393496,0.7318050224919145,0.2902016736275427,0.19664023726065025,0.2443882181469908,-0.6951204233444725,1.5000661129107133,7.6284799785017965
I_ANT011,ANT011,uf_07,trained entity,,UF7,123.775993873,1.0016227545370484,19,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7510916443205145,0.7397764050892007,-5.860702050292914,0.8641712288294021,0.7998222499948612,0.9413929794970708,0.13577054520186255,0.6584911363329091,107.2364953831741,113.912571815082
I_ANT011,ANT011,uf_07,trained entity,,UF7,123.775993873,1.0016227545370484,19,0,0.0,True,train,1984-10,2014-09,360,0.8166815750213188,0.7853400889792224,14.937395999423522,0.90686634345958,1.051177993627301,1.1493739599942352,0.11865336768530767,0.6060352222151018,110.31078271812919,95.97466669480006
I_ANTLP,ANTLP,cdec_ORO,trained entity,OROV,UF8,70.9672749628,1.0015041007002665,12,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.29793212645430467,0.395535426183651,-40.16368393684209,0.7269535981175765,0.49301596598494163,0.5983631606315791,0.23064667815190243,-0.26217959279621184,24.625892303158786,41.15542854805078
I_ANTLP,ANTLP,cdec_ORO,trained entity,OROV,UF8,70.9672749628,1.0015041007002665,12,0,0.0,True,train,1987-10,2018-12,375,0.7848461000582324,0.5655632568322367,-1.1451521115817818,0.7854980921704116,1.0122063451431151,0.9885484788841822,0.15728110907369358,-0.18065157689685307,30.834171453706936,31.19135997104645
I_BCC014,BCC014,uf_07,trained entity,,UF7,72.1496586683,1.0003723940741713,17,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5770043128828102,0.7145916215330397,12.493227324318543,0.8976105913014325,0.6090605067169712,1.1249322732431855,0.1950174534996737,0.7518476612064591,131.0038267952272,116.454856804439
I_BCC014,BCC014,uf_07,trained entity,,UF7,72.1496586683,1.0003723940741713,17,0,0.0,True,train,1984-10,2014-09,360,0.5445664019955423,0.7730991635320579,35.372648589094844,0.9299166780999274,0.7218172123189909,1.3537264858909486,0.19614965412578386,0.7435359066204184,126.42135808542072,93.38766686109204
I_BCN010,BCN010,cdec_BND,trained entity,SRBB,UF6,73.5176290471,0.9995696413214319,13,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.8653879001507199,0.784733532423586,-5.336313018153357,0.8887686855682367,0.9461447453553186,0.9466368698184664,0.06698765167057491,0.48134396204571583,63.428727366909,67.0042857923678
I_BCN010,BCN010,cdec_BND,trained entity,SRBB,UF6,73.5176290471,0.9995696413214319,13,0,0.0,True,train,1999-10,2018-12,231,0.8586243920738585,0.8243425363338683,8.408005247130657,0.9243866700338007,1.084854178590869,1.0840800524713066,0.054535701072309914,0.3438641854682887,63.07656420057548,58.18441549291859
I_BEARD,BEARD,cdec_NML,trained entity,ST,UF16,12.992228426,1.000611036648117,4,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.1391369792963698,0.22521046798424826,-56.1676464136801,0.7094458461129796,0.415891299749133,0.43832353586319883,0.1829072770423491,-0.4362274768888925,14.14269671171266,32.265428512437005
I_BEARD,BEARD,cdec_NML,trained entity,ST,UF16,12.992228426,1.000611036648117,4,0,0.0,True,train,1987-10,2018-12,375,0.23372768659276355,0.31567055092385143,-53.37228687863852,0.7330797350604519,0.5193059915148615,0.46627713121361475,0.16356330358751703,-0.437902995015123,13.169904349753413,28.244800073027612
I_BLKBT,BLKBT,uf_04,trained entity,,UF4,389.817891857,0.9996584002888181,46,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5750886457209459,0.7952638544700623,-28.101790451455173,0.9413583062151091,0.6867273582204326,0.7189820954854482,0.08952277986309908,-0.07139013914300119,171.06494520057316,237.9265718502658
I_BLKBT,BLKBT,uf_04,trained entity,,UF4,389.817891857,0.9996584002888181,46,0,0.0,True,train,1984-10,2014-09,360,0.7050248188567736,0.868101284564007,-14.731136999208633,0.957678426923099,0.747971029018824,0.8526886300079137,0.05573058537006296,-0.14399147174465288,180.15775905383293,211.28199991614866
I_BOWMN,BOWMN,cdec_YRS,trained entity,YUBA,UF9,22.8581300354,1.0014281848871152,6,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5424374572636504,0.6531074583947571,-36.66099787460054,0.882012396839851,0.7529382071227313,0.6333900212539947,0.06810359571638097,0.3803258056648069,54.32441461361354,85.76771466348852
I_BOWMN,BOWMN,cdec_YRS,trained entity,YUBA,UF9,22.8581300354,1.0014281848871152,6,0,0.0,True,train,1987-10,2018-12,375,0.6254731575649486,0.7125828172673749,-29.209016694114286,0.8818308934379456,0.7975407390732867,0.7079098330588571,0.07983046798065259,0.5148710692090885,54.776137295597174,77.3772798986435
I_BRC003,BRC003,uf_03,trained entity,,UF3,94.9552297083,1.0003279082639787,16,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6016811254855507,0.7685409465145621,-20.87818864487072,0.9160400331262009,0.6713379035423659,0.7912181135512928,0.10194695577563363,-0.24829869808982163,30.310435686874264,38.30857151491301
I_BRC003,BRC003,uf_03,trained entity,,UF3,94.9552297083,1.0003279082639787,16,0,0.0,True,train,1984-10,2014-09,360,0.7633711458696736,0.8438312164252669,22.16419343786092,0.9302805250505318,1.044802481457059,1.2216419343786091,0.06844619669441165,-0.3606174005478291,39.04082570428061,31.957666649793588
I_BRR023,BRR023,uf_10,trained entity,,UF10,105.591907451,1.000364017188411,20,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7012956068030027,0.8481071268814476,-23.870116455894316,0.941550418327114,0.8302068465583631,0.7612988354410568,0.08527700020050623,0.2734520279377568,75.99959271401677,99.82885717930537
I_BRR023,BRR023,uf_10,trained entity,,UF10,105.591907451,1.000364017188411,20,0,0.0,True,train,1984-10,2014-09,360,0.7560792398066534,0.8512852824387562,-22.024538554799218,0.9320056902964416,0.9202122738383092,0.7797546144520078,0.08906761138985124,0.32885964592026706,66.37869085516526,85.12766660805792
I_BSH003,BSH003,cdec_FOL,trained entity,FOLS,UF11,8.01461019792,1.0006222752800893,3,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5292742923434292,0.3494599255234999,-31.465065941667763,0.6746376727490128,0.8707057217690947,0.6853493405833223,0.233457005132085,-0.6001048974678449,8.42627226581132,12.294857187196612
I_BSH003,BSH003,cdec_FOL,trained entity,FOLS,UF11,8.01461019792,1.0006222752800893,3,0,0.0,True,train,1987-10,2018-12,375,0.7195547779609321,0.5914552896728149,-19.680312503778595,0.8013030027657853,0.9790821647867155,0.803196874962214,0.17850772519678637,-0.5158646343282038,9.009941273116901,11.217600010633468
I_BTC048,BTC048,uf_07,trained entity,,UF7,147.693507988,0.998893552044287,27,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7709688092844439,0.8306913572231768,6.220360447882525,0.9221169684451986,0.793795656432118,1.0622036044788254,0.10166436218652025,0.4033084414637882,286.945805289883,270.1419992174421
I_BTC048,BTC048,uf_07,trained entity,,UF7,147.693507988,0.998893552044287,27,0,0.0,True,train,1984-10,2014-09,360,0.7790878568986751,0.8687226249208233,15.287595722298864,0.9443002903896032,0.8505722280762621,1.1528759572229887,0.08965063851800215,0.3711789061644346,271.1460494666963,235.19100018342334
I_BTL006,BTL006,cdec_BND,trained entity,SRBB,UF6,360.368194618,1.000059128906181,40,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.4277202408179337,0.3804843236118547,8.134857969812881,0.9075608796881371,1.5588752458165864,1.081348579698129,0.10309322477860984,0.4600445156979127,408.14235336055026,377.4382849557059
I_BTL006,BTL006,cdec_BND,trained entity,SRBB,UF6,360.368194618,1.000059128906181,40,0,0.0,True,train,1999-10,2018-12,231,0.03644610308686891,-0.28998746815619003,18.942429014349337,0.9201983635500226,1.941374659410386,1.1894242901434935,0.13881760933898976,0.17890597347416204,384.293411108903,323.091948174811
I_BTVLY,BTVLY,cdec_ORO,trained entity,OROV,UF8,62.9378215702,0.9997657868162944,14,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6911956797048241,0.45735316721240005,6.01345659903039,0.8028222879052497,1.2299236657223505,1.0601345659903039,0.10644325454727367,0.15250167119896219,84.44729081280816,79.6571430853435
I_BTVLY,BTVLY,cdec_ORO,trained entity,OROV,UF8,62.9378215702,0.9997657868162944,14,0,0.0,True,train,1987-10,2018-12,375,0.49762009669871354,0.5414048263164811,23.89574025917777,0.9260579017223186,1.4356804942729187,1.2389574025917778,0.0880949880821768,0.1297312875031409,81.28234548460054,65.60543995666504
I_BUCKS,BUCKS,cdec_ORO,trained entity,OROV,UF8,28.5426705415,1.0005414523842904,7,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6625434783325128,0.4085443708217149,-17.551080453114444,0.7126940652275504,0.9770182386819771,0.8244891954688556,0.2492441022289047,-0.752580116414217,82.61051936775418,100.19599992547717
I_BUCKS,BUCKS,cdec_ORO,trained entity,OROV,UF8,28.5426705415,1.0005414523842904,7,0,0.0,True,train,1987-10,2018-12,375,0.7539762952218043,0.561240674554235,-10.798855223400746,0.7800567184943887,0.977839476095199,0.8920114477659925,0.20575701526768098,-0.5663605420101456,74.65208102642114,83.68959973931312
I_BVC007,BVC007,cdec_NML,trained entity,ST,UF16,29.5199122645,0.9983602730509663,10,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.8368941777124951,0.8116467564802945,9.306087017971103,0.904173662080265,0.9064024751055304,1.093060870179711,0.09760452034032499,0.3932344822590057,45.479764384713796,41.607714286978755
I_BVC007,BVC007,cdec_NML,trained entity,ST,UF16,29.5199122645,0.9983602730509663,10,0,0.0,True,train,1987-10,2018-12,375,0.8340632573369345,0.7647519278941667,10.245862897047532,0.8800828461065988,0.9484528553921242,1.1024586289704752,0.08433331647594926,0.39640585008641427,41.079549133193325,37.2617602635622
I_CAPLS,CAPLS,cdec_FOL,trained entity,FOLS,UF11,13.5972377226,1.000280185588894,5,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6182104180597838,0.5233133874732698,0.9428528411126783,0.8722937777674635,1.3596741699555024,1.0094285284111268,0.2285355364883215,0.6268390557626144,32.4421677202365,32.13914289831051
I_CAPLS,CAPLS,cdec_FOL,trained entity,FOLS,UF11,13.5972377226,1.000280185588894,5,0,0.0,True,train,1987-10,2018-12,375,0.5111815385202934,0.543148043418435,-44.413266233889814,0.8064869243682021,0.9348666284714828,0.5558673376611019,0.09439549694424974,-0.14377769807199492,15.985143741354015,28.75712001466751
I_CCH053,CCH053,uf_03,trained entity,,UF3,248.025211085,0.999353414911753,34,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.07288087705577029,0.42562516497053204,80.25705154139436,0.9296252320731773,1.4587786263071987,1.8025705154139438,0.07636691502585498,-0.09756709434488897,118.4324880002888,65.70199999809265
I_CCH053,CCH053,uf_03,trained entity,,UF3,248.025211085,0.999353414911753,34,0,0.0,True,train,1984-10,2014-09,360,-0.7546479349646118,-0.6100543416467177,142.26960999254106,0.9548405119832335,2.0260047775593764,2.422696099925411,0.050222217003488695,-0.3690112783800208,126.09244908086835,52.04633345666031
I_CFS001,CFS001,cdec_NML,trained entity,ST,UF16,67.2646813002,0.9976690656754202,12,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.44122935177269185,0.5289285414819255,17.495865877105295,0.9428575200698267,1.527587757656326,1.174958658771053,0.14752236918351494,0.5884353674278255,135.0537769003011,114.94342876843044
I_CFS001,CFS001,cdec_NML,trained entity,ST,UF16,67.2646813002,0.9976690656754202,12,0,0.0,True,train,1987-10,2018-12,375,0.5627614857064769,0.5786620662482698,3.471070124402727,0.9168004528599639,1.4278440381218935,1.0347107012440273,0.09694717284757094,0.21825491310781686,108.51582284695277,104.87552000427246
I_CLR011,CLR011,cdec_BND,trained entity,SRBB,UF6,28.3454815416,0.9985835241900818,4,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.4321312396622975,0.6556926358805466,-47.430662616831924,0.9094702582959017,0.7011479978194983,0.5256933738316808,0.12218699087884777,-0.41413674852292637,27.71665743756293,52.72399999174689
I_CLR011,CLR011,cdec_BND,trained entity,SRBB,UF6,28.3454815416,0.9985835241900818,4,0,0.0,True,train,1999-10,2018-12,231,0.8687368068124934,0.8641378255120177,-9.353569822426417,0.9409856526159497,1.0706994048512057,0.9064643017757359,0.12005188055877476,-0.33498363178185553,38.334728744358216,42.29038989098815
I_CLRLK,CLRLK,uf_03,trained entity,,UF3,489.454785185,0.9994423335537771,56,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5900787894421415,0.8124955453117819,-31.42853221496169,0.9466078074640147,0.7422997692613917,0.6857146778503831,0.06244855802169159,-0.10130366063613305,335.3536603414401,489.057141656535
I_CLRLK,CLRLK,uf_03,trained entity,,UF3,489.454785185,0.9994423335537771,56,0,0.0,True,train,1984-10,2014-09,360,0.809545444757405,0.9334365136867179,-15.007466145978631,0.9736150350408879,0.8857442901886664,0.8499253385402138,0.057205331227811324,-0.09780292429898463,353.81938414938884,416.2946650785704
