epoch,loss,cal_kge,lr,spinup_s,epoch_s,peak_vram_mb,skipped_steps
0,3.8163354414350845,0.40598159887315255,0.00032500000000000004,95.3,295.9,1953,0
1,3.2719873106654953,,0.00055,13.8,215.6,1954,0
2,1.821655379717841,0.566535957514678,0.0007750000000000001,104.4,305.7,1954,0
3,1.0203192878295393,,0.001,13.6,215.4,1953,0
4,0.824419484966818,0.6286819688189896,0.0009996697599432684,103.6,304.8,1955,0
5,0.6975356712937355,,0.0009986794804134579,13.5,214.6,1954,0
6,0.6669432012473836,0.7125381113451911,0.000997030482743773,103.2,304.7,1953,0
7,0.6554084185730008,,0.0009947249671971793,13.4,213.6,1955,0
8,0.6399889774620533,0.720708031278697,0.0009917660100305856,102.8,303.1,1954,0
9,0.6299645762123606,,0.0009881575593901838,13.5,213.5,1953,0
10,0.6167553590391489,0.736259859017434,0.0009839044300434252,102.8,302.5,1954,0
11,0.606935369398664,,0.0009790122969546605,13.4,213.4,1954,0
12,0.6023349685265738,0.7535731036822944,0.0009734876877130163,102.6,302.5,1954,0
13,0.5912215526708785,,0.000967337973822611,13.4,213.8,1954,0
14,0.5788652351235642,0.7594049239724509,0.0009605713608667335,102.8,302.6,1957,0
15,0.5758800246369313,,0.0009531968775591073,13.4,213.6,1954,0
16,0.5709966453997528,0.7789842038857938,0.0009452243636968466,103.3,303.4,1954,0
17,0.5534297642024124,,0.0009366644570311845,13.4,213.3,1955,0
18,0.5460624952307519,0.7845463270667266,0.0009275285790734863,102.8,303.6,1953,0
19,0.5436407414210194,,0.0009178289198554894,13.5,214.2,1953,0
20,0.5314485398942933,0.7933363157658836,0.0009075784216641047,102.9,303.7,1954,0
21,0.5329165830660392,,0.0008967907617724806,13.5,213.5,1953,0
22,0.5310828517574597,0.7955057815886203,0.000885480334190373,103.3,303.9,1956,0
23,0.5283201668849763,,0.0008736622304581718,13.6,214.4,1953,0
24,0.5231366189306274,0.8032774601118151,0.0008613522195102077,103.5,303.8,1954,0
25,0.5164209193385699,,0.0008485667266342134,13.4,214.2,1954,0
26,0.5083893718855346,0.8048287932202032,0.0008353228115550082,103.1,303.1,1954,0
27,0.5058676150134381,,0.0008216381456716508,13.5,213.8,1954,0
28,0.5014780175817364,0.8108075870742149,0.000807530988478435,103.3,303.3,1954,0
29,0.5059064029551604,,0.0007930201632011863,13.7,213.9,1954,0
30,0.4983515055740581,0.8090595114053442,0.0007781250316813704,103.1,303.3,1954,0
31,0.4963514329317738,,0.0007628654685415251,13.4,213.6,1953,0
32,0.49742975387283983,0.8188267693984314,0.000747261834666487,102.7,302.8,1954,0
33,0.4901522499344805,,0.0007313349500357957,13.7,213.6,1953,0
34,0.48854718779158945,0.820898349793359,0.0007151060659435282,103.1,303.6,1955,0
35,0.4860380975091282,,0.0006985968366426268,13.4,213.7,1953,0
36,0.4820712313932531,0.8208838322506621,0.0006818292904515604,102.4,302.7,1954,0
37,0.48244831809664473,,0.0006648258003618656,13.7,213.9,1953,0
38,0.47786446792237897,0.8284197997554849,0.0006476090541857924,103.2,303.3,1956,0
39,0.4768154072739622,,0.0006302020242838816,13.7,214.5,1953,0
40,0.47755532870616985,0.8300680510926887,0.0006126279369128704,103.5,303.7,1954,0
41,0.47510116235079136,,0.0005949102412348207,13.4,213.6,1954,0
42,0.47198027958545613,0.8331660380685522,0.000577072578028827,102.6,302.7,1956,0
43,0.4692767618552727,,0.0005591387481470476,13.4,214.0,1954,0
44,0.46914711074136634,0.8245745171711744,0.000541132680757149,102.8,303.1,1953,0
45,0.46869294630254016,,0.0005230784014135409,13.5,213.5,1954,0
46,0.46634239440455155,0.8315647387164327,0.0005049999999999998,103.0,303.2,1954,0
47,0.4627760878818877,,0.00048692159858645885,13.4,213.6,1954,0
48,0.4655713200404802,0.8328077306078319,0.00046886731924285056,103.2,303.2,1953,0
49,0.46101807572824116,,0.0004508612518529521,13.4,213.4,1953,0
50,0.45896634065053044,0.8351027990088492,0.0004329274219711724,102.9,303.3,1954,0
51,0.4562025321647525,,0.00041508975876517883,13.4,213.7,1953,0
52,0.45487933304599104,0.8361482870578689,0.0003973720630871292,102.6,303.1,1954,0
53,0.4551012505612829,,0.0003797979757161179,13.4,213.8,1954,0
54,0.454361411578515,0.8324905322105544,0.0003623909458142074,103.0,303.1,1955,0
55,0.45484426836757097,,0.00034517419963813394,13.5,213.8,1954,0
56,0.4471216277657625,0.8284740549988365,0.00032817070954843923,102.8,304.3,1953,0
57,0.4516883545609958,,0.0003114031633573728,13.4,213.9,1954,0
58,0.44639884072410707,0.8305343478397949,0.00029489393405647134,103.0,303.3,1953,0
59,0.4470754853066276,,0.0002786650499642039,13.4,213.2,1954,0
60,0.45144291917848234,0.8269687644728917,0.0002627381653335127,103.1,302.8,1955,0
61,0.45136606490568204,,0.00024713453145847454,13.5,213.9,1954,0
62,0.4493376958348295,0.8283018721526003,0.0002318749683186292,103.1,303.6,1954,0
63,0.44177203954142685,,0.00021697983679881339,13.4,213.6,1954,0
64,0.44542792203890924,0.8265770713258846,0.0002024690115215646,103.4,303.7,1954,0
65,0.44531296952353683,,0.0001883618543283489,13.5,213.8,1954,0
66,0.4431750450064154,0.8272534685701763,0.0001746771884449915,103.2,303.4,1953,0
67,0.44575336356373396,,0.00016143327336578622,13.6,213.7,1954,0
68,0.4405750721035635,0.8304086201912478,0.00014864778048979211,102.9,303.4,1953,0
69,0.44194381032139063,,0.000136337769541828,13.4,213.7,1954,0
70,0.44013423001503243,0.8268604201338935,0.00012451966580962674,103.4,303.5,1954,0
71,0.44098006846273646,,0.00011320923822751926,13.5,213.7,1953,0
72,0.4397380046601243,0.8283630243750542,0.00010242157833589514,103.2,303.4,1955,0
73,0.44607072129078645,,9.217108014451048e-05,13.4,213.5,1954,0
74,,0.8282488924964458,9.217108014451048e-05,102.9,102.9,982,0
