set_id,name,entity_id,ref_kind,system,window,win_start,win_end,volume_scored,area_set_mi2,area_sim_mi2,cover_frac,n_arcs,n_arcs_missing,n_months,kge,nse,pbias,r,alpha,beta,seas_mismatch,ct_diff,sim_taf_yr,ref_taf_yr,note
SHA,Sacramento R. at Shasta (cdec_SHA: CDEC SIS daily FNF),cdec_SHA,anchor,SHAS,WY1950-84,1949-10,1984-09,True,6588.45234035,6588.45234035,1.0,1,0,420,0.8467409802933036,0.9081079528268847,-7.234231066082482,0.9619172684082054,0.8703673545582842,0.9276576893391751,0.02552461959205082,-0.2286801068253208,5865.2707976228985,6322.66714869908,anchor equals the 11obs SHA training target (temporal holdout)
SHA,Sacramento R. at Shasta (cdec_SHA: CDEC SIS daily FNF),cdec_SHA,anchor,SHAS,train,1987-10,2018-12,True,6588.45234035,6588.45234035,1.0,1,0,375,0.9331288622432797,0.890143967280222,0.6434508063005587,0.9437316471401791,0.9644441476363165,1.0064345080630055,0.03264924147221626,-0.23251709652547348,5532.834061534963,5497.460606933593,anchor equals the 11obs SHA training target (temporal holdout)
CLE,Trinity R. at Trinity Dam (cdec_CLE: CDEC CLE daily FNF),cdec_CLE,anchor,TRIN,WY1950-84,1949-10,1984-09,True,692.855878007,692.855878007,1.0,1,0,420,0.7733764427859935,0.6578169730156267,15.511294396016023,0.8369567288388956,0.9732585896140685,1.1551129439601604,0.15955072935272213,-0.6423474096081829,1635.6986749827606,1416.0508576546395,the daily training target is the Trinity Lake full natural flow at Trinity Dam (CalSim3 I_TRNTY = FLOW-UNIMPAIRED TRIN); the monthly record at Lewiston (CDEC TNL) is the two-arc sum I_TRNTY + I_LWSTN (719 mi2) and is not a registry target
CLE,Trinity R. at Trinity Dam (cdec_CLE: CDEC CLE daily FNF),cdec_CLE,anchor,TRIN,train,1986-04,2018-12,True,692.855878007,692.855878007,1.0,1,0,393,0.7369281724053952,0.760672972561554,-3.0832201654851175,0.8797053163066467,0.7680833104535248,0.9691677983451489,0.15480883041460852,-0.5739283879505379,1188.7963124300445,1226.6155710702633,the daily training target is the Trinity Lake full natural flow at Trinity Dam (CalSim3 I_TRNTY = FLOW-UNIMPAIRED TRIN); the monthly record at Lewiston (CDEC TNL) is the two-arc sum I_TRNTY + I_LWSTN (719 mi2) and is not a registry target
UF6,Sacramento R. near Red Bluff (uf_06: DWR UF 6 monthly),uf_06,anchor,SRBB,WY1950-84,1949-10,1984-09,True,9083.7152350753,9083.7152350753,1.0,9,0,420,0.8809047512388366,0.9387473983716527,-5.430616282424629,0.9738876882479685,0.8972738293726736,0.9456938371757537,0.026551194385123184,-0.2508642955726996,8710.196619151171,9210.376843697684,UNIMP SRBB only - the arc sum lacks the series-less valley node I_SRBB_VAL (11% of the volume)
UF6,Sacramento R. near Red Bluff (uf_06: DWR UF 6 monthly),uf_06,anchor,SRBB,train,1984-10,2014-09,True,9083.7152350753,9083.7152350753,1.0,9,0,360,0.9546715932734906,0.9231613174703118,2.3614541248204,0.9617000043540852,0.9945110810241323,1.023614541248204,0.03635624593677506,-0.28812456522665997,8164.843061834083,7976.482096354166,UNIMP SRBB only - the arc sum lacks the series-less valley node I_SRBB_VAL (11% of the volume)
UF7,Sacramento Valley east-side minor streams (uf_07: DWR UF 7 monthly),uf_07,arcsum,,WY1950-84,1949-10,1984-09,True,1035.9007577909001,1035.9007577909001,1.0,8,0,420,0.8856176487164911,0.9193661968283816,1.8132247677029856,0.9613632466097365,0.8938786300183472,1.0181322476770298,0.03895346070031582,-0.1482450101213102,1351.920504221804,1327.8437131387848,DWR's UF 7 also carries valley-floor runoff no rim arc holds (about 4% of volume); the arc sum is the consistent reference
UF7,Sacramento Valley east-side minor streams (uf_07: DWR UF 7 monthly),uf_07,arcsum,,train,1984-10,2014-09,True,1035.9007577909001,1035.9007577909001,1.0,8,0,360,0.8420854639833206,0.9160832536505497,15.279422008715908,0.9674602466712925,1.023067107461205,1.152794220087159,0.03526087643386535,-0.2042884014616142,1298.5442990999754,1126.432000155064,DWR's UF 7 also carries valley-floor runoff no rim arc holds (about 4% of volume); the arc sum is the consistent reference
UF8,Feather R. near Oroville (cdec_ORO: CDEC FTO daily FNF),cdec_ORO,anchor,OROV,WY1950-84,1949-10,1984-09,True,3601.62097369545,3601.62097369545,1.0,21,0,420,0.8118081980243809,0.8502951093359586,-2.7651143241102014,0.9279100673612394,0.828376545249696,0.972348856758898,0.09340274080521113,-0.43765423844195883,4804.641290368965,4941.273141806466,
UF8,Feather R. near Oroville (cdec_ORO: CDEC FTO daily FNF),cdec_ORO,anchor,OROV,train,1987-10,2018-12,True,3601.62097369545,3601.62097369545,1.0,21,0,375,0.8421834183294101,0.90997487968058,3.5196833131421674,0.9606709574293864,0.8512704373764661,1.0351968331314216,0.07330398890016508,-0.3659914830277353,4308.41523956578,4161.9285354003905,
