arc,node,entity,basis,system,tier1_set,sq_mi,cover_frac,n_cells,n_nan_cells,nan_weight_frac,has_series,window,win_start,win_end,n_months,kge,nse,pbias,r,alpha,beta,seas_mismatch,ct_diff,sim_taf_yr,ref_taf_yr
I_ALD002,ALD002,cdec_FOL,trained entity,FOLS,UF11,3.3370649331,1.0153814415552105,2,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6044420465313074,0.5297727898603637,-32.002671665218806,0.7772206638664032,0.9335292352004703,0.6799732833478119,0.2006869277160817,-0.6640006125445641,3.3182696167085495,4.8799999911338094
I_ALD002,ALD002,cdec_FOL,trained entity,FOLS,UF11,3.3370649331,1.0153814415552105,2,0,0.0,True,train,1987-10,2018-12,375,0.5570381466548557,0.23489617076491398,-27.551706893311042,0.6616021250026982,1.0761079919770802,0.7244829310668895,0.3155536239099122,-0.9126124276150831,3.053724537450244,4.215040005087852
I_ALD004,ALD004,cdec_FOL,trained entity,FOLS,UF11,18.6571403474,1.0047880518579149,5,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.750293869273119,0.753115304889042,-13.352495379608156,0.8738703625846184,0.8308386775831756,0.8664750462039185,0.10626524340722537,-0.29438163730412725,23.585945967027982,27.220571521776062
I_ALD004,ALD004,cdec_FOL,trained entity,FOLS,UF11,18.6571403474,1.0047880518579149,5,0,0.0,True,train,1987-10,2018-12,375,0.7700170075192514,0.6443383299761346,-12.82791908148105,0.8170568238072703,0.9455167886517937,0.8717208091851895,0.1734403928186674,-0.7291373442454141,20.524352591038745,23.544639952123166
I_ALMNR,ALMNR,cdec_ORO,trained entity,OROV,UF8,355.493694935,1.0004542665616245,38,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7180075193742339,0.5888736035011584,16.346451724872033,0.8817742411883431,1.1970324356128295,1.1634645172487204,0.044624390007496295,-0.14901127945481107,635.006967143749,545.789714881352
I_ALMNR,ALMNR,cdec_ORO,trained entity,OROV,UF8,355.493694935,1.0004542665616245,38,0,0.0,True,train,1987-10,2018-12,375,0.5475838033022193,0.4392613633747374,27.609453714246936,0.9093244091743425,1.3467422080205818,1.2760945371424695,0.04621855320172983,-0.07572267767852736,588.3322589983304,461.04128015136723
I_ALOHA,ALOHA,cdec_FOL,trained entity,FOLS,UF11,3.43883618161,0.997872300906354,3,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6854164225082857,0.7293147675536961,-26.39743758491306,0.8833974708091279,0.8747633986853716,0.7360256241508694,0.1421235038910572,-0.5249054496852308,9.673059042893689,13.142285710573198
I_ALOHA,ALOHA,cdec_FOL,trained entity,FOLS,UF11,3.43883618161,0.997872300906354,3,0,0.0,True,train,1987-10,2018-12,375,0.35510486220056914,0.35748840795207426,-43.42871927218839,0.6971362237879069,0.6318181073794593,0.5657128072781161,0.2386039061965818,-0.8671257057593929,6.837250254410545,12.0860800152421
I_ANG017,ANG017,cdec_NML,trained entity,ST,UF16,2.25566313723,0.9685399694107556,2,0,0.0,True,WY1950-84,1949-10,1984-09,420,-0.13945932421115237,-0.14649543794451136,-77.39831094597879,0.7141811181605267,0.21410861781876794,0.22601689054021215,0.24545274916987736,-1.2664697473470028,1.9258576318747238,8.520857123870934
I_ANG017,ANG017,cdec_NML,trained entity,ST,UF16,2.25566313723,0.9685399694107556,2,0,0.0,True,train,1987-10,2018-12,375,-0.15078688314707467,-0.040105498125977856,-78.83280581685337,0.7992554674181156,0.18602766891861217,0.21167194183146637,0.19754999035969556,-1.0409446031383078,1.6147351702719381,7.6284799785017965
I_ANT011,ANT011,uf_07,trained entity,,UF7,123.775993873,1.0016227545370484,19,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.8900157205072572,0.8902699894273484,9.744448843973284,0.9490256759296378,0.9983472163401577,1.0974444884397327,0.04687038175459282,-0.07080515095146467,125.012724102457,113.912571815082
I_ANT011,ANT011,uf_07,trained entity,,UF7,123.775993873,1.0016227545370484,19,0,0.0,True,train,1984-10,2014-09,360,0.6523974764876803,0.79431900679988,28.479704921923144,0.9543508655147285,1.1939956484792815,1.2847970492192315,0.04125828612480808,-0.08924568713711523,123.30796856927837,95.97466669480006
I_ANTLP,ANTLP,cdec_ORO,trained entity,OROV,UF8,70.9672749628,1.0015041007002665,12,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6440263392328186,0.46594262589389623,7.01268265334452,0.696702233390745,0.8273444465701311,1.0701268265334452,0.26942099749355775,-0.8592044147607929,44.041528146749535,41.15542854805078
I_ANTLP,ANTLP,cdec_ORO,trained entity,OROV,UF8,70.9672749628,1.0015041007002665,12,0,0.0,True,train,1987-10,2018-12,375,0.5225929370990051,0.46829077273940445,40.95751947111542,0.8043178958433669,1.147899214662916,1.4095751947111541,0.16646447977455942,-0.5767261036007945,43.966567304493495,31.19135997104645
I_BCC014,BCC014,uf_07,trained entity,,UF7,72.1496586683,1.0003723940741713,17,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.567802979965659,0.7367207719132591,-5.8669556750017655,0.9278438660107114,0.5779269736585375,0.9413304432499824,0.14640812352605376,0.3302001694763801,109.62250197433579,116.454856804439
I_BCC014,BCC014,uf_07,trained entity,,UF7,72.1496586683,1.0003723940741713,17,0,0.0,True,train,1984-10,2014-09,360,0.6556536640757228,0.8162365136734961,11.49095976807174,0.9438116117581355,0.6802922452424521,1.1149095976807173,0.14415355369655908,0.26735632700681844,104.118806088441,93.38766686109204
I_BCN010,BCN010,cdec_BND,trained entity,SRBB,UF6,73.5176290471,0.9995696413214319,13,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7490401713652022,0.7932916126173093,-5.696871208332514,0.9003959879888848,0.7768085077265177,0.9430312879166749,0.09758340029400091,0.058854896190815076,63.18713792671356,67.0042857923678
I_BCN010,BCN010,cdec_BND,trained entity,SRBB,UF6,73.5176290471,0.9995696413214319,13,0,0.0,True,train,1999-10,2018-12,231,0.7479159916496991,0.8165155621569407,-1.3907303610518948,0.916756259068702,0.7624638684999641,0.986092696389481,0.11108313130289552,0.0007059625614767029,57.37522716125798,58.18441549291859
I_BEARD,BEARD,cdec_NML,trained entity,ST,UF16,12.992228426,1.000611036648117,4,0,0.0,True,WY1950-84,1949-10,1984-09,420,-0.03508625686481448,0.0289439206817681,-61.40040577593352,0.6577218643580567,0.24023144703998245,0.38599594224066475,0.22812711002701908,-1.1689732726668236,12.45432448045693,32.265428512437005
I_BEARD,BEARD,cdec_NML,trained entity,ST,UF16,12.992228426,1.000611036648117,4,0,0.0,True,train,1987-10,2018-12,375,-0.006948814283153082,0.061978601843926784,-62.146024455759964,0.691186965841008,0.2703647562280359,0.37853975544240037,0.19212354410953547,-1.2593126187849064,10.691779712163363,28.244800073027612
I_BLKBT,BLKBT,uf_04,trained entity,,UF4,389.817891857,0.9996584002888181,46,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6971261069020738,0.8474536701739009,-21.75201792864987,0.9397603212345141,0.7980377564352817,0.7824798207135013,0.0804771370766205,-0.2556361705018739,186.17274128437396,237.9265718502658
I_BLKBT,BLKBT,uf_04,trained entity,,UF4,389.817891857,0.9996584002888181,46,0,0.0,True,train,1984-10,2014-09,360,0.7710681811807082,0.8948205641231977,-12.311053655018984,0.9593002567633296,0.8113280509490016,0.8768894634498102,0.04996353500948642,-0.2896207913480442,185.27095954307447,211.28199991614866
I_BOWMN,BOWMN,cdec_YRS,trained entity,YUBA,UF9,22.8581300354,1.0014281848871152,6,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6934166285639836,0.7512462469667367,-28.69397157948882,0.9051936646404534,0.9483209721810061,0.7130602842051118,0.08968594955097746,-0.13888908932491972,61.15755099357006,85.76771466348852
I_BOWMN,BOWMN,cdec_YRS,trained entity,YUBA,UF9,22.8581300354,1.0014281848871152,6,0,0.0,True,train,1987-10,2018-12,375,0.7649515693750112,0.7735362362130986,-21.135870868675543,0.8998658014006393,0.9765819882910338,0.7886412913132447,0.05934322815432596,-0.010193324350050048,61.02291793757257,77.3772798986435
I_BRC003,BRC003,uf_03,trained entity,,UF3,94.9552297083,1.0003279082639787,16,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5826503120956847,0.7500200539019063,-28.956736661070327,0.8956037526532143,0.7181615254655946,0.7104326333892967,0.1001328544862403,-0.2557624843290771,27.21565934272185,38.30857151491301
I_BRC003,BRC003,uf_03,trained entity,,UF3,94.9552297083,1.0003279082639787,16,0,0.0,True,train,1984-10,2014-09,360,0.7541457877046819,0.769003923050691,14.312007404558289,0.9178465123619075,1.182240891617211,1.143120074045583,0.07344963548214062,-0.3601055006880163,36.5314502670361,31.957666649793588
I_BRR023,BRR023,uf_10,trained entity,,UF10,105.591907451,1.000364017188411,20,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.8094892246227416,0.8966244494986793,14.950002997510467,0.9637997890844652,1.1123994719825578,1.1495000299751046,0.037307996439152225,-0.14474123339123146,114.75327431999197,99.82885717930537
