epoch,loss,cal_kge,lr,spinup_s,epoch_s,peak_vram_mb,skipped_steps
0,4.716533522675003,0.21982642755865908,0.00032500000000000004,108.4,357.1,2702,0
1,2.9659513977990635,,0.00055,13.9,265.0,2701,0
2,0.9747485397518545,0.517840150561472,0.0007750000000000001,106.2,356.2,2701,0
3,0.796330600976944,,0.001,13.8,263.7,2701,0
4,0.7462151879849641,0.5135163342960936,0.0009998184766805255,106.6,356.2,2702,0
5,0.7295840736748516,,0.0009992740398563063,13.8,263.2,2702,0
6,0.6997240021608878,0.5399782346933514,0.0009983670888323104,105.8,356.0,2701,0
7,0.6586688536664714,,0.0009970982887914082,14.1,264.5,2701,0
8,0.6389937647010969,0.5717776404049372,0.0009954685703065095,106.1,355.9,2702,0
9,0.6468574266502822,,0.0009934791286580556,14.0,263.4,2703,0
10,0.6539282155209694,0.5085333895470592,0.0009911314229573674,106.1,355.7,2701,0
11,0.6273341332224832,,0.000988427175076493,13.8,263.7,2701,0
12,0.6232514344695685,0.5395793660566461,0.0009853683683853397,105.8,355.5,2701,0
13,0.6116554840751316,,0.0009819572462970154,13.8,263.7,2703,0
14,0.607323504012564,0.5638162358621772,0.0009781963106224479,106.3,356.4,2701,0
15,0.589383708394092,,0.0009740883197354872,13.9,264.1,2701,0
16,0.5721134066149809,0.5772446657525984,0.0009696362865498395,106.0,355.8,2702,0
17,0.5595422719699749,,0.0009648434763093117,13.8,263.5,2703,0
18,0.5635319049807562,0.5801081318285712,0.0009597134041929927,106.5,358.3,2701,0
19,0.5481191908103832,,0.0009542498327371236,14.2,264.9,2700,0
20,0.5420472574406776,0.6027031499791716,0.0009484567690755504,106.0,356.8,2702,0
21,0.5423636386791865,,0.0009423384620007812,13.8,265.0,2701,0
22,0.5375349309997283,0.6100530845984308,0.0009358993988478051,106.3,357.4,2702,0
23,0.5327264323182728,,0.0009291443022029565,13.8,265.3,2702,0
24,0.527044596231502,0.6092026418837215,0.0009220781264402411,106.6,358.1,2701,0
25,0.5258143047491709,,0.0009147060540876607,13.8,265.1,2701,0
26,0.5210425799739533,0.6211871321802238,0.0009070334920262043,106.3,356.9,2702,0
27,0.5187407263379166,,0.0008990660675242935,13.7,264.3,2701,0
28,0.5197679858276809,0.6310080098428021,0.0008908096241105876,106.2,356.5,2702,0
29,0.5156157148489053,,0.0008822702172881798,13.7,264.1,2702,0
30,0.5124882526587748,0.64013332948805,0.0008734541100933236,105.8,356.7,2701,0
31,0.5126544727363448,,0.0008643677685019496,13.7,264.2,2701,0
32,0.5069811130347459,0.6495157574860191,0.0008550178566873408,105.8,356.5,2702,0
33,0.5104956981064617,,0.0008454112321324442,13.8,264.2,2701,0
34,0.5075570899939191,0.6606759215496703,0.000835554940600404,105.9,356.5,2701,0
35,0.5050421162791874,,0.0008254562109670043,13.9,264.9,2701,0
36,0.5030392330625783,0.6706151615674317,0.000815122449918813,106.8,357.9,2701,0
37,0.49980427497538965,,0.0008045612365209133,13.8,265.4,2701,0
38,0.5038207652776138,0.6646423889106142,0.0007937803166582091,105.8,356.3,2702,0
39,0.4976847834777141,,0.0007827875973543789,13.8,264.2,2702,0
40,0.4951189149549042,0.6757532914631216,0.0007715911409726471,106.1,356.5,2701,0
41,0.4962059406266696,,0.0007601991593026254,14.1,265.5,2702,0
42,0.49759536959986755,0.6889798189098586,0.0007486200075375584,106.1,357.0,2701,0
43,0.4944784565680269,,0.0007368621781463958,13.9,265.0,2703,0
44,0.4958844904018485,0.6922009986980471,0.000724934294645182,106.7,358.1,2701,0
45,0.4890022521865541,,0.0007128451052723306,13.8,264.3,2700,0
46,0.4921779602334119,0.7001142672979798,0.0007006034765724267,105.8,356.2,2701,0
47,0.48397203977557196,,0.0006882183868932574,14.1,264.9,2702,0
48,0.4889806398878927,0.7015183107033534,0.0006756989198008452,105.6,356.3,2700,0
