entity_id,family,timescale,site_id,name,area_mi2,n_obs,n_scored,kge,nse,pbias,r,alpha,beta
uf_02,uf_monthly,monthly,UF 2,Putah Creek near Winters,567.46,360,360,0.9192619802326293,0.9568067530312808,-6.463747198616702,0.9788467700883046,0.9564894735093129,0.935362528013833
uf_03,uf_monthly,monthly,UF 3,Cache Creek above Rumsey,953.37,360,360,0.8834287279265987,0.8657497924198816,2.8956569165051333,0.9433088577923315,1.0976549689989734,1.0289565691650513
uf_04,uf_monthly,monthly,UF 4,Stony Creek at Black Butte,744.94,360,360,0.907637952432713,0.9062914281545746,2.5071538584324493,0.9524748416512249,0.9248766007973523,1.0250715385843245
uf_06,uf_monthly,monthly,UF 6,Sacramento River near Red Bluff,9083.72,360,360,0.956526696293425,0.9256476910286093,2.296309011939425,0.9630938485639801,0.9992512587134069,1.0229630901193942
uf_07,uf_monthly,monthly,UF 7,Sacramento Valley East Side Minor Streams,1035.9,360,360,0.8138330404791763,0.8501269647244963,14.806423486036095,0.9449219786119452,1.0984963488278672,1.148064234860361
uf_10,uf_monthly,monthly,UF 10,Bear River near Wheatland,281.96,360,360,0.7905553049083158,0.9094632649473493,3.108644313401975,0.9696818062621493,0.7951060750441876,1.0310864431340199
uf_13,uf_monthly,monthly,UF 13,Cosumnes River at Michigan Bar,539.11,360,360,0.8089788112648695,0.9019630256981161,4.02657019276299,0.960714888108602,0.8174501498830032,1.0402657019276298
uf_20,uf_monthly,monthly,UF 20,Chowchilla River at Buchanan Reservoir,234.81,360,360,0.8141789360148528,0.8719979485292717,-11.051471248882667,0.9376782951409813,0.8642356039031238,0.8894852875111733
uf_21,uf_monthly,monthly,UF 21,Fresno River near Daulton,343.68,360,360,0.903924384313925,0.8989281241709693,-3.266119133715102,0.9485203021350816,0.9257463050237018,0.967338808662849
usgs_11196400,usgs_daily,daily,11196400,CALIENTE C AB TEHACHAPI C NR CALIENTE CA,164.06,7826,7826,0.342823945548533,0.5497650528502742,-39.51332258310927,0.7906303345592754,0.5184250384603127,0.6048667741689073
usgs_11197250,usgs_daily,daily,11197250,AVENAL C NR AVENAL CA,56.31,9130,9130,0.6008517246528888,0.37381242566994255,-15.4549854687423,0.6523949224228858,0.8791513418722486,0.845450145312577
usgs_11199500,usgs_daily,daily,11199500,WHITE R NR DUCOR CA,90.62,13831,13831,0.6795477088044528,0.33483343404926347,-3.026488947290692,0.6852885443399191,1.052253297254637,0.969735110527093
usgs_11203580,usgs_daily,daily,11203580,SF TULE R NR CHOLOLLO CAMPGROUND NR PORTERVILLE CA,20.06,5443,5443,0.5544842815782276,0.25961283276422276,-4.431352802841214,0.5804085860549761,0.8569489184306571,0.9556864719715878
usgs_11204100,usgs_daily,daily,11204100,SF TULE R NR RESERVATION BNDRY NR PORTERVILLE CA,96.19,5164,5164,0.5688214368597498,0.40798412743230816,-15.437043497738813,0.6564824744274099,0.7900465962622478,0.8456295650226118
usgs_11208000,usgs_daily,daily,11208000,MARBLE F KAWEAH R (R ONLY) A POTWISHA CAMP CA,51.23,3928,3928,0.7594510799480753,0.6644731575823679,16.863551974014563,0.8315323006427939,0.9676816044115998,1.1686355197401455
usgs_11208500,usgs_daily,daily,11208500,MF KAWEAH TRIB NR HAMMOND CA,1.89,2313,2313,0.5420935592355323,0.6182813242796542,0.2115741053027417,0.8241893194517329,0.5771945639676156,1.0021157410530275
