set_id,name,entity_id,ref_kind,system,window,win_start,win_end,volume_scored,area_set_mi2,area_sim_mi2,cover_frac,n_arcs,n_arcs_missing,n_months,kge,nse,pbias,r,alpha,beta,seas_mismatch,ct_diff,sim_taf_yr,ref_taf_yr,note
SHA,Sacramento R. at Shasta (cdec_SHA: CDEC SIS daily FNF),cdec_SHA,anchor,SHAS,WY1950-84,1949-10,1984-09,True,6588.45234035,6588.45234035,1.0,1,0,420,0.8366808027183887,0.9060169674925923,-7.723965840376338,0.9624550069300765,0.8610843102246576,0.9227603415962365,0.025606718302645787,-0.22013891150534715,5834.306497932866,6322.66714869908,anchor equals the 11obs SHA training target (temporal holdout)
SHA,Sacramento R. at Shasta (cdec_SHA: CDEC SIS daily FNF),cdec_SHA,anchor,SHAS,train,1987-10,2018-12,True,6588.45234035,6588.45234035,1.0,1,0,375,0.9272739955089782,0.8934691140689961,0.014740726381569699,0.945259855768073,0.9521192459354018,1.0001474072638157,0.03187568884158837,-0.22322471948981004,5498.270972559597,5497.460606933593,anchor equals the 11obs SHA training target (temporal holdout)
SHA,Sacramento R. at Shasta (cdec_SHA: CDEC SIS daily FNF),cdec_SHA,anchor,SHAS,trimmed,1949-10,1969-09,True,6588.45234035,6588.45234035,1.0,1,0,240,0.8413928859991726,0.8932453585477768,-6.64761747988968,0.9540527805915249,0.8635229402998167,0.9335238252011031,0.030747162586719775,-0.19100729582916287,5718.636270387318,6125.860011291505,anchor equals the 11obs SHA training target (temporal holdout)
CLE,Trinity R. at Trinity Dam (cdec_CLE: CDEC CLE daily FNF),cdec_CLE,anchor,TRIN,WY1950-84,1949-10,1984-09,True,692.855878007,692.855878007,1.0,1,0,420,0.7669890443248606,0.6455705998710193,16.345761611956533,0.8343359471364442,0.9885485902190372,1.1634576161195656,0.1607049560647933,-0.6520413197544039,1647.515155150933,1416.0508576546395,the daily training target is the Trinity Lake full natural flow at Trinity Dam (CalSim3 I_TRNTY = FLOW-UNIMPAIRED TRIN); the monthly record at Lewiston (CDEC TNL) is the two-arc sum I_TRNTY + I_LWSTN (719 mi2) and is not a registry target
CLE,Trinity R. at Trinity Dam (cdec_CLE: CDEC CLE daily FNF),cdec_CLE,anchor,TRIN,train,1986-04,2018-12,True,692.855878007,692.855878007,1.0,1,0,393,0.7440145224179951,0.7594184574801701,-2.2719290417886033,0.8775306949729813,0.776362641980384,0.977280709582114,0.15583227943835057,-0.5755700982211742,1198.7477356800168,1226.6155710702633,the daily training target is the Trinity Lake full natural flow at Trinity Dam (CalSim3 I_TRNTY = FLOW-UNIMPAIRED TRIN); the monthly record at Lewiston (CDEC TNL) is the two-arc sum I_TRNTY + I_LWSTN (719 mi2) and is not a registry target
CLE,Trinity R. at Trinity Dam (cdec_CLE: CDEC CLE daily FNF),cdec_CLE,anchor,TRIN,trimmed,1961-10,1984-09,True,692.855878007,692.855878007,1.0,1,0,276,0.7924343165421732,0.6679495990066617,10.28866037252006,0.8306596017473968,0.9381801872951883,1.1028866037252008,0.1605408810093213,-0.6699587378098473,1574.6712862248942,1427.7726113511167,the daily training target is the Trinity Lake full natural flow at Trinity Dam (CalSim3 I_TRNTY = FLOW-UNIMPAIRED TRIN); the monthly record at Lewiston (CDEC TNL) is the two-arc sum I_TRNTY + I_LWSTN (719 mi2) and is not a registry target
UF6,Sacramento R. near Red Bluff (uf_06: DWR UF 6 monthly),uf_06,anchor,SRBB,WY1950-84,1949-10,1984-09,True,9083.7152350753,9083.7152350753,1.0,9,0,420,0.8854970656318559,0.9402210841758774,-5.448715276079991,0.9742793255380318,0.9026320429085717,0.9455128472392,0.0275614251061947,-0.2518938089582834,8708.529633630595,9210.376843697684,UNIMP SRBB only - the arc sum lacks the series-less valley node I_SRBB_VAL (11% of the volume)
UF6,Sacramento R. near Red Bluff (uf_06: DWR UF 6 monthly),uf_06,anchor,SRBB,train,1984-10,2014-09,True,9083.7152350753,9083.7152350753,1.0,9,0,360,0.9565356808190826,0.9256399637097731,2.294306445732669,0.9630911044861482,0.9992955377120158,1.0229430644573267,0.03774681146704447,-0.2867300170769047,8159.487039233532,7976.482096354166,UNIMP SRBB only - the arc sum lacks the series-less valley node I_SRBB_VAL (11% of the volume)
UF6,Sacramento R. near Red Bluff (uf_06: DWR UF 6 monthly),uf_06,anchor,SRBB,trimmed,1964-10,1984-09,True,9083.7152350753,9083.7152350753,1.0,9,0,240,0.8978387453980953,0.9496474552113006,-6.088103362863896,0.9786050047113195,0.9207997735941299,0.9391189663713612,0.028679102009821437,-0.2755886374360479,9056.10355762062,9643.190992736816,UNIMP SRBB only - the arc sum lacks the series-less valley node I_SRBB_VAL (11% of the volume)
UF7,Sacramento Valley east-side minor streams (uf_07: DWR UF 7 monthly),uf_07,arcsum,,WY1950-84,1949-10,1984-09,True,1035.9007577909001,1035.9007577909001,1.0,8,0,420,0.8624788644148049,0.9131516230156247,1.3184609425918767,0.959985056024331,0.8690915088103462,1.0131846094259187,0.041964354530084944,-0.13147905558824036,1345.3508138751813,1327.8437131387848,DWR's UF 7 also carries valley-floor runoff no rim arc holds (about 4% of volume); the arc sum is the consistent reference
