arc,node,entity,basis,system,tier1_set,sq_mi,cover_frac,n_cells,n_nan_cells,nan_weight_frac,has_series,window,win_start,win_end,n_months,kge,nse,pbias,r,alpha,beta,seas_mismatch,ct_diff,sim_taf_yr,ref_taf_yr
I_ALD002,ALD002,cdec_FOL,trained entity,FOLS,UF11,3.3370649331,1.0153814415552105,2,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5548250154411191,0.515798009675228,-36.467003432579965,0.7708116654382321,0.8874422803952428,0.6353299656742004,0.20271042408360296,-0.6870580942087692,3.100410226857141,4.8799999911338094
I_ALD002,ALD002,cdec_FOL,trained entity,FOLS,UF11,3.3370649331,1.0153814415552105,2,0,0.0,True,train,1987-10,2018-12,375,0.531069048587548,0.26792281890986536,-32.81214312684635,0.6663099563353202,1.0297240356275263,0.6718785687315365,0.3158575991704249,-0.9354360951835359,2.831995045764595,4.215040005087852
I_ALD004,ALD004,cdec_FOL,trained entity,FOLS,UF11,18.6571403474,1.0047880518579149,5,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.772557114162873,0.7623151918648765,-14.291452932097712,0.8788182455656669,0.8710787604034891,0.857085470679023,0.11070060086992842,-0.2480245572201003,23.330356354893443,27.220571521776062
I_ALD004,ALD004,cdec_FOL,trained entity,FOLS,UF11,18.6571403474,1.0047880518579149,5,0,0.0,True,train,1987-10,2018-12,375,0.7695690527979209,0.6357718584565217,-13.712540894695668,0.816972176916596,0.9717890158461742,0.8628745910530433,0.170050465226816,-0.6931065162819321,20.31607157017942,23.544639952123166
I_ALMNR,ALMNR,cdec_ORO,trained entity,OROV,UF8,355.493694935,1.0004542665616245,38,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.734933397768764,0.6005635060805992,16.514254646215075,0.8804341624172323,1.1693878786972076,1.1651425464621508,0.04542714428763178,-0.17524067629724271,635.9228182297097,545.789714881352
I_ALMNR,ALMNR,cdec_ORO,trained entity,OROV,UF8,355.493694935,1.0004542665616245,38,0,0.0,True,train,1987-10,2018-12,375,0.5724019694012206,0.4635798904452273,27.808634186178587,0.9084446717030935,1.31164993839616,1.2780863418617858,0.044021224485335846,-0.09270443780721838,589.2505631959357,461.04128015136723
I_ALOHA,ALOHA,cdec_FOL,trained entity,FOLS,UF11,3.43883618161,0.997872300906354,3,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6838361597958118,0.74503407946805,-26.515799516786075,0.8928958808431318,0.865168552960181,0.7348420048321392,0.13246294961338878,-0.4987394742662312,9.657503579634383,13.142285710573198
I_ALOHA,ALOHA,cdec_FOL,trained entity,FOLS,UF11,3.43883618161,0.997872300906354,3,0,0.0,True,train,1987-10,2018-12,375,0.3576334895330425,0.3718137888860644,-43.544282878059825,0.7095237763802356,0.6276455450183965,0.5645571712194017,0.2318384535825526,-0.8458852702846364,6.823283144536424,12.0860800152421
I_ANG017,ANG017,cdec_NML,trained entity,ST,UF16,2.25566313723,0.9685399694107556,2,0,0.0,True,WY1950-84,1949-10,1984-09,420,-0.10119210218595232,-0.08717192390321116,-75.14722023604392,0.7414307142528489,0.23773003505026113,0.24852779763956082,0.22418540357306324,-1.1301754092175003,2.117669854997006,8.520857123870934
I_ANG017,ANG017,cdec_NML,trained entity,ST,UF16,2.25566313723,0.9685399694107556,2,0,0.0,True,train,1987-10,2018-12,375,-0.11653097571426096,0.011303557547601706,-76.59680998106809,0.8169656002743892,0.20852498566351463,0.2340319001893191,0.16993942217275138,-0.9016829279622796,1.7853076649249515,7.6284799785017965
I_ANT011,ANT011,uf_07,trained entity,,UF7,123.775993873,1.0016227545370484,19,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.885086442050821,0.8820227932102784,9.686678057562027,0.947147292921534,1.0320709210334196,1.0968667805756203,0.04424046849810057,-0.04132998438227453,124.94691591389815,113.912571815082
