epoch,loss,cal_kge,lr,spinup_s,epoch_s,peak_vram_mb,skipped_steps
0,4.446228759876196,0.2493357311514358,0.00032500000000000004,111.0,359.4,2702,0
1,2.8205927187117976,,0.00055,14.8,262.1,2701,0
2,0.930102160875348,0.5329927835659269,0.0007750000000000001,110.8,358.7,2701,0
3,0.7647701622783274,,0.001,14.8,261.1,2701,0
4,0.7110775851685068,0.5277836676629777,0.0009998184766805255,110.3,357.1,2702,0
5,0.700412392616272,,0.0009992740398563063,14.8,261.3,2702,0
6,0.6707200304321621,0.5512278586676944,0.0009983670888323104,110.5,356.1,2701,0
7,0.6397065706011178,,0.0009970982887914082,14.9,262.1,2701,0
8,0.6068630231463391,0.5975579842599024,0.0009954685703065095,109.9,358.7,2702,0
9,0.6047426924325418,,0.0009934791286580556,15.0,262.1,2703,0
10,0.6172781318858049,0.5342316938524524,0.0009911314229573674,110.1,357.9,2701,0
11,0.6074772751417713,,0.000988427175076493,14.9,264.7,2701,0
12,0.5974526113790014,0.549937746269881,0.0009853683683853397,110.5,358.1,2701,0
13,0.5832080657499424,,0.0009819572462970154,14.8,263.3,2703,0
14,0.5750135520230168,0.575554736084062,0.0009781963106224479,110.9,360.9,2701,0
15,0.570269932349523,,0.0009740883197354872,14.8,262.9,2701,0
16,0.5533864048944004,0.5867293997433187,0.0009696362865498395,110.7,358.3,2702,0
17,0.5415274585070817,,0.0009648434763093117,14.8,264.1,2703,0
18,0.5358583432608757,0.600803643678895,0.0009597134041929927,110.6,358.3,2701,0
19,0.5304647740246593,,0.0009542498327371236,15.3,263.3,2700,0
20,0.523275080366411,0.5994688182730323,0.0009484567690755504,110.6,360.1,2702,0
21,0.5241194743177165,,0.0009423384620007812,15.1,261.9,2701,0
22,0.5166437539501466,0.6230312264976235,0.0009358993988478051,110.6,359.7,2702,0
23,0.5128157149622405,,0.0009291443022029565,14.9,264.3,2702,0
24,0.5085193650877994,0.6260335570258726,0.0009220781264402411,110.2,358.7,2701,0
25,0.5054622489041176,,0.0009147060540876607,14.8,262.7,2701,0
26,0.5007966754661091,0.6391630720261281,0.0009070334920262043,110.5,359.9,2702,0
27,0.49525093384411023,,0.0008990660675242935,14.8,263.5,2701,0
28,0.4985210891219153,0.6459954174710881,0.0008908096241105876,110.0,358.1,2702,0
29,0.4912698813106703,,0.0008822702172881798,15.3,262.9,2702,0
30,0.48956678980502527,0.6513456517614827,0.0008734541100933236,110.6,358.1,2701,0
31,0.4909294256265613,,0.0008643677685019496,15.0,263.5,2701,0
32,0.48477210601170856,0.6629357781218144,0.0008550178566873408,110.8,358.9,2702,0
33,0.4866110261367715,,0.0008454112321324442,14.9,263.3,2701,0
34,0.48215519604475604,0.674777187968556,0.000835554940600404,110.9,359.3,2701,0
35,0.4810450141844542,,0.0008254562109670043,14.9,263.5,2701,0
36,0.4781554917926374,0.6848209141410695,0.000815122449918813,110.3,357.5,2701,0
37,0.4754958185164825,,0.0008045612365209133,15.1,263.5,2701,0
38,0.4793756444385086,0.6819288239144362,0.0007937803166582091,110.2,358.9,2702,0
39,0.47311156772185065,,0.0007827875973543789,14.9,262.3,2702,0
40,0.4704685239256292,0.6879248656404633,0.0007715911409726471,110.3,358.7,2701,0
41,0.47025775801444397,,0.0007601991593026254,15.1,262.7,2702,0
42,0.47645667216916016,0.6997987437631855,0.0007486200075375584,109.9,357.9,2701,0
43,0.47098403693973157,,0.0007368621781463958,14.9,263.7,2703,0
44,0.4707573133966197,0.7056952645970521,0.000724934294645182,110.3,357.7,2701,0
45,0.46447714191416034,,0.0007128451052723306,14.8,262.3,2700,0
46,0.46888852724130603,0.7148692903215308,0.0007006034765724267,111.0,361.9,2701,0
47,0.46183917574260547,,0.0006882183868932574,15.4,264.1,2702,0
48,0.4657197877548743,0.7133712282731066,0.0006756989198008452,110.8,357.7,2700,0
49,0.4679454588803692,,0.0006630542574173101,15.1,263.5,2702,0
50,0.4574252816214078,0.7147888646918575,0.0006502936736864476,110.4,358.5,2701,0
51,0.4593855395265248,,0.000637426527571964,14.8,260.7,2701,0
52,0.46323778491089307,0.7232669792020305,0.0006244622561933542,110.3,357.9,2702,0
53,0.4624544960865076,,0.0006114103679044567,14.8,262.3,2701,0
54,0.45716545676839526,0.7335795410046301,0.0005982804353197674,110.3,357.3,2702,0
55,0.4577433397804481,,0.0005850820882936184,15.0,262.3,2701,0
56,0.4552584549655085,0.7340670538559154,0.0005718250068573785,110.1,358.3,2702,0
57,0.4552279613588167,,0.000558518914119851,14.7,262.1,2702,0
58,0.45069054481775866,0.7326512372266104,0.0005451735691360784,110.3,358.9,2701,0
59,0.45041456581025885,,0.0005317987597497815,14.7,262.5,2701,0
60,0.4510583879723065,0.7376927061425695,0.0005184042954146864,110.3,357.7,2702,0
61,0.4507939934298612,,0.0005049999999999998,14.8,262.1,2701,0
62,0.44837014809034875,0.7573792627247001,0.0004915957045853133,109.9,357.5,2702,0
63,0.45445741734642914,,0.0004782012402502183,14.8,261.9,2702,0
64,0.4462791828141696,0.7497454336329938,0.00046482643086392147,110.0,357.1,2701,0
65,0.4446355067733405,,0.0004514810858801487,15.0,261.5,2701,0
66,0.4458920279706734,0.7592577612510095,0.00043817499314262125,110.4,357.7,2702,0
67,0.4509428501992986,,0.00042491791170638137,14.8,262.1,2701,0
68,0.44609050733455713,0.7663667585109143,0.00041171956468023243,110.2,358.9,2702,0
69,0.4453978013733159,,0.000398589632095543,14.7,261.9,2702,0
70,0.4423471812320792,0.7645954272993883,0.00038553774380664565,110.2,358.3,2701,0
71,0.4410224729689999,,0.00037257347242803556,14.8,262.7,2701,0
72,0.4373805406300918,0.7701409861154251,0.0003597063263135522,110.0,357.7,2702,0
73,0.4382201659938563,,0.00034694574258268987,14.8,262.5,2701,0
74,0.4382634860449943,0.765673859036059,0.0003343010801991545,110.1,358.1,2702,0
75,0.43731894981170044,,0.00032178161310674234,14.8,262.3,2702,0
76,0.4393374850784523,0.7629361195087419,0.000309396523427573,110.1,356.7,2701,0
77,0.4423779404681662,,0.0002971548947276689,14.8,262.5,2701,0
78,0.4345567764147468,0.7715270007677746,0.0002850657053548177,110.6,358.1,2702,0
79,0.4368567732365235,,0.00027313782185360385,14.8,262.7,2701,0
80,0.43888896250206494,0.7650708906613168,0.0002613799924624413,110.0,357.9,2702,0
81,0.4373190104961395,,0.0002498008406973743,14.8,262.9,2702,0
82,0.43287787316502,0.764839001449811,0.0002384088590273524,110.5,358.1,2701,0
83,0.4330435054025788,,0.00022721240264562075,14.9,262.7,2701,0
84,0.4360265939132027,0.7686610534640265,0.00021621968334179065,110.0,357.9,2702,0
85,0.4362198773069658,,0.00020543876347908636,15.0,262.7,2701,0
86,0.4313615772171297,0.7672406974178314,0.0001948775500811865,110.3,357.1,2702,0
87,0.43507975296697754,,0.00018454378903299537,14.8,261.7,2702,0
88,0.43031888876272284,0.7629226446613834,0.00017444505939959566,110.0,356.5,2701,0
89,0.43196781325167505,,0.00016458876786755558,15.0,261.3,2701,0
90,0.42933179546093597,0.7629821022449987,0.000154982143312659,109.9,356.1,2702,0
91,0.4283703243818836,,0.00014563223149805042,14.8,263.3,2701,0
92,0.4307743142480436,0.7645252483089359,0.0001365458899066762,110.4,358.5,2702,0
93,0.429112170053565,,0.00012772978271182004,15.1,263.6,2702,0
94,0.42400195935498114,0.761771156560909,0.00011919037588941218,110.2,358.5,2701,0
95,0.42654071618681366,,0.00011093393247570648,14.8,261.9,2701,0
96,0.42756669158520905,0.759989501583712,0.00010296650797379557,110.4,357.3,2702,0
97,0.42255427742349927,,9.529394591233924e-05,14.8,262.5,2701,0
98,0.4238646440747855,0.7611510509475743,8.792187355975874e-05,110.5,357.7,2702,0
99,0.42274615341338556,,8.085569779704333e-05,14.8,262.5,2702,0
100,,0.7567987254345574,8.085569779704333e-05,110.3,110.3,1357,0
