basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9116,0.8364,-3.5318,0.9192,5812,0.9046,0.8327,-1.7137,0.9219,5567,1.1406,8047.8054
BND,8900.0,0.8396,0.726,-9.0725,0.8684,1458,0.8809,0.8567,-9.5369,0.9304,5571,1.2101,11400.9931
ORO,3607.0,0.8629,0.8322,0.8108,0.9125,5480,0.8961,0.8223,-2.5531,0.9083,5569,1.557,5945.3263
FOL,1885.0,0.7445,0.7356,-2.4759,0.861,5063,0.7572,0.785,-3.5297,0.8927,5272,2.0599,4110.52
YRS,1108.0,0.6815,0.702,7.758,0.8468,5063,0.7996,0.7803,11.2905,0.8858,5545,2.7166,3186.4136
MKM,544.0,0.7744,0.7135,-0.4531,0.8448,5195,0.793,0.7075,-10.3732,0.8461,5056,1.8209,1048.6139
NML,900.0,0.8797,0.7721,2.8647,0.8844,5721,0.8848,0.7899,-4.5608,0.8992,5473,1.5142,1442.6614
NHG,363.0,0.567,0.6479,5.9225,0.8393,4637,0.5827,0.6573,7.4546,0.8398,4678,0.658,252.8732
TLG,1538.0,0.7004,0.7653,-17.3949,0.8889,5498,0.8147,0.8448,-12.4157,0.9239,5157,1.6987,2765.7774
MRC,1061.0,0.8197,0.7881,7.9473,0.8889,5463,0.841,0.8195,-4.8992,0.906,5570,1.1648,1308.346
MIL,1675.0,0.7785,0.8337,-14.5552,0.9213,5721,0.8253,0.8,-13.6124,0.9006,5499,1.3344,2366.0635
PNF,1545.0,0.7044,0.8201,-23.5262,0.9235,5809,0.8699,0.7827,-6.8595,0.8973,5549,1.3144,2149.7891
TRM,561.0,0.7477,0.8018,-18.4969,0.9046,5543,0.7218,0.7754,-21.9134,0.8925,5503,0.9003,534.6446
SCC,393.0,0.7299,0.7016,5.061,0.8396,5228,0.5649,0.6507,39.6835,0.8667,5292,0.4767,198.3217
ISB,2074.0,0.7685,0.7318,-1.8975,0.9079,5821,0.8446,0.7254,-4.8841,0.8765,5569,0.3887,853.502
