basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs,noah_et_mmyr
SHA,6665.0,0.8814,0.8169,-7.7285,0.9127,5812,0.8678,0.8034,-5.945,0.9133,5567,1.1406,8047.8054,471.1748
BND,8900.0,0.8116,0.7038,-12.4962,0.8654,1458,0.8488,0.8407,-13.2028,0.9265,5571,1.2101,11400.9931,508.2178
ORO,3607.0,0.8365,0.7262,-3.1961,0.8556,5480,0.8505,0.7326,-6.435,0.8656,5569,1.557,5945.3263,572.846
FOL,1885.0,0.7402,0.6513,-5.1525,0.8079,5063,0.7605,0.7106,-5.9902,0.8437,5272,2.0599,4110.52,628.3144
YRS,1108.0,0.7015,0.5923,6.0724,0.7717,5063,0.8087,0.7056,9.0499,0.8459,5545,2.7166,3186.4136,615.6355
MKM,544.0,0.6968,0.4544,-2.994,0.7081,5195,0.689,0.4165,-11.4233,0.7108,5056,1.8209,1048.6139,626.2216
NML,900.0,0.7942,0.5839,-0.5564,0.8102,5721,0.7443,0.519,-7.1613,0.7989,5473,1.5142,1442.6614,609.528
NHG,363.0,0.5101,0.5972,-4.3612,0.8198,4637,0.5257,0.6078,-2.6969,0.8222,4678,0.658,252.8732,585.56
TLG,1538.0,0.6596,0.6329,-20.352,0.8072,5498,0.7501,0.6134,-14.4702,0.8028,5157,1.6987,2765.7774,578.1206
MRC,1061.0,0.7647,0.5801,5.9566,0.7797,5463,0.7728,0.5927,-7.0245,0.7887,5570,1.1648,1308.346,570.089
MIL,1675.0,0.6772,0.5775,-18.4234,0.7753,5721,0.7649,0.7634,-17.805,0.882,5499,1.3344,2366.0635,548.3974
PNF,1545.0,0.605,0.6476,-27.7054,0.8279,5809,0.8531,0.8159,-10.1224,0.9066,5549,1.3144,2149.7891,527.8902
TRM,561.0,0.6617,0.5401,-21.494,0.7602,5543,0.6096,0.4081,-25.0349,0.7043,5503,0.9003,534.6446,555.1957
SCC,393.0,0.7424,0.6963,-0.5112,0.8351,5228,0.6261,0.642,32.5947,0.8563,5292,0.4767,198.3217,556.1238
ISB,2074.0,0.7495,0.5908,-8.3447,0.8405,5821,0.7161,0.4497,-10.1029,0.7624,5569,0.3887,853.502,444.473
