epoch,loss,cal_kge,lr,spinup_s,epoch_s,peak_vram_mb,skipped_steps
0,6.291805982589722,0.35848716843215167,0.00039999999999999996,29.9,98.0,651,0
1,5.996827268600464,,0.0006999999999999999,10.2,73.6,675,0
2,4.559852417310079,0.4067753416756919,0.001,28.9,92.5,675,0
3,1.9645773728688558,,0.0009992483506344914,10.2,73.6,675,0
4,1.041198686758677,0.575998549886138,0.000996995685272385,28.7,92.1,675,0
5,0.7014531433582306,,0.0009932488451843474,10.2,73.6,675,0
6,0.6783734699090321,0.6237422843073887,0.0009880192094005806,28.5,91.8,675,0
7,0.5891724447409312,,0.0009813226601530789,10.2,73.6,675,0
8,0.5474297324816386,0.694610921299924,0.000973179534641814,28.6,92.0,675,0
9,0.534874806801478,,0.0009636145632713268,10.2,73.6,675,0
10,0.5269769191741943,0.6932905343771052,0.0009526567945453009,29.7,93.0,675,0
11,0.5184988915920258,,0.0009403395068472121,10.4,73.8,675,0
12,0.5114790419737498,0.6973115081974476,0.000926700107374972,28.9,92.3,675,0
13,0.5068043271700541,,0.0009117800185364965,10.2,73.6,675,0
14,0.49999134143193563,0.6958980375420659,0.0008956245521512151,28.9,92.2,675,0
15,0.49647177855173746,,0.0008782827718395639,10.3,73.5,675,0
16,0.49275057315826415,0.6928430975923382,0.0008598073440183836,28.7,91.9,675,0
17,0.48873468637466433,,0.0008402543779547422,10.3,73.6,675,0
18,0.47960639198621113,0.7004527963774653,0.0008196832553639344,28.6,91.8,675,0
19,0.4731157600879669,,0.0007981564500691655,10.2,73.4,675,0
20,0.47190098961194354,0.7161278870996026,0.0007757393382706016,28.6,91.9,675,0
21,0.46763234535853065,,0.0007525000000000003,10.3,73.7,675,0
22,0.46596188346544903,0.7214839244380052,0.0007285090123638906,29.3,92.6,675,0
23,0.4621327340602875,,0.0007038392352032202,10.4,73.7,675,0
24,0.46193659007549287,0.7252235390013938,0.0006785655898204139,29.2,92.5,675,0
25,0.45867422421773274,,0.0006527648314458392,10.4,73.6,675,0
26,0.4546774337689082,0.7279239190585342,0.0006265153161346959,29.1,92.4,675,0
27,0.4518394023180008,,0.0005998967628022509,10.4,73.7,675,0
28,0.4496714601914088,0.7302848242944693,0.0005729900111201123,29.4,92.8,675,0
29,0.44726646641890205,,0.0005458767760088049,10.4,73.6,675,0
30,0.4450551003217697,0.7347599495758673,0.0005186393994722405,29.3,92.6,675,0
31,0.4441031644741694,,0.0004913606005277602,10.4,73.6,675,0
32,0.4409019321203232,0.7349268615914812,0.0004641232239911959,29.2,92.4,675,0
33,0.4404637386401494,,0.0004370099888798882,10.3,73.6,675,0
34,0.4384739448626836,0.7363313913548563,0.00041010323719774976,29.1,92.4,675,0
35,0.4365653932094574,,0.0003834846838653047,10.5,73.7,675,0
36,0.43514870007832845,0.7388462093277592,0.0003572351685541614,29.1,92.4,675,0
37,0.4345389465490977,,0.00033143441017958694,10.5,73.7,675,0
38,0.43426350156466165,0.7393274581138491,0.00030616076479678036,29.1,92.4,675,0
39,0.4329933673143387,,0.00028149098763611006,10.4,73.6,675,0
40,0.43072621524333954,0.7417368099863064,0.0002575000000000003,29.2,92.4,675,0
41,0.4305409918228785,,0.00023426066172939892,10.4,73.8,675,0
42,0.42908938427766163,0.7419029253979803,0.00021184354993083508,29.2,92.8,675,0
43,0.42735610405604046,,0.00019031674463606605,10.4,73.9,675,0
44,0.4285237083832423,0.745028497511811,0.0001697456220452582,29.3,92.6,675,0
45,0.4271884520848592,,0.0001501926559816168,10.4,73.8,675,0
46,0.4270322451988856,0.7434359591485645,0.00013171722816043648,29.4,92.8,675,0
47,0.42424581944942474,,0.0001143754478487853,10.4,73.7,675,0
48,0.42488327821095784,0.7454983226840938,9.821998146350375e-05,29.6,92.9,675,0
49,0.42361098329226177,,8.32998926250281e-05,10.5,73.8,675,0
50,0.42360695004463195,0.7443402840939044,6.966049315278801e-05,29.2,92.5,675,0
51,0.4243648697932561,,5.734320545469921e-05,10.4,73.7,675,0
52,0.42488475441932677,0.7444761727597251,4.6385436728673154e-05,29.3,92.6,675,0
53,0.4248771925767263,,3.682046535818588e-05,10.4,74.7,675,0
54,0.42336556216080984,0.7449732033650328,2.8677339846921007e-05,30.5,93.8,675,0
55,0.42177534600098926,,2.1980790599419383e-05,10.4,73.7,675,0
