basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.8532,0.8232,-11.9097,0.9154,5812,0.8618,0.8144,-10.6432,0.9132,5567,1.1406,8047.8054
BND,8900.0,0.7722,0.7081,-17.0587,0.8606,1458,0.7909,0.8204,-17.3667,0.9166,5571,1.2101,11400.9931
ORO,3607.0,0.8188,0.8043,-4.621,0.8981,5480,0.8523,0.8061,-7.6292,0.8994,5569,1.557,5945.3263
FOL,1885.0,0.7489,0.7255,-6.4119,0.8539,5063,0.7475,0.7714,-8.288,0.8843,5272,2.0599,4110.52
YRS,1108.0,0.6983,0.6886,0.8005,0.8343,5063,0.8341,0.7684,3.6016,0.877,5545,2.7166,3186.4136
MKM,544.0,0.8069,0.6978,0.538,0.8374,5195,0.8018,0.6831,-10.0163,0.8366,5056,1.8209,1048.6139
NML,900.0,0.8472,0.7305,6.0297,0.8766,5721,0.8266,0.7092,-0.9975,0.877,5473,1.5142,1442.6614
NHG,363.0,0.5719,0.6061,1.1388,0.798,4637,0.6326,0.6637,6.2556,0.828,4678,0.658,252.8732
TLG,1538.0,0.8014,0.7727,-11.0247,0.8821,5498,0.8905,0.8186,-6.0104,0.9092,5157,1.6987,2765.7774
MRC,1061.0,0.7705,0.7278,18.0747,0.8646,5463,0.856,0.7582,6.6476,0.8764,5570,1.1648,1308.346
MIL,1675.0,0.8935,0.8495,-5.8541,0.9232,5721,0.8889,0.8205,-4.6145,0.9172,5499,1.3344,2366.0635
PNF,1545.0,0.8367,0.8578,-13.626,0.9308,5809,0.8258,0.7941,2.6288,0.921,5549,1.3144,2149.7891
TRM,561.0,0.841,0.7887,-9.3485,0.8911,5543,0.8116,0.7419,-12.765,0.8694,5503,0.9003,534.6446
SCC,393.0,0.7131,0.6913,-1.9951,0.8342,5228,0.632,0.6323,31.9421,0.849,5292,0.4767,198.3217
ISB,2074.0,0.7122,0.7071,3.5913,0.9144,5821,0.8127,0.728,2.7402,0.8917,5569,0.3887,853.502
