basin,model,dp,dt,annual,freshet,q999,q30,pct_annual,pct_freshet,pct_q999,pct_q30
SHA,noah_ca (physics),-0.2,0.0,3415.0302,1105.6554,7.4395,0.1696,-32.0368,-32.0739,-25.9833,-37.527
BND,noah_ca (physics),-0.2,0.0,4570.8881,1425.154,8.2706,0.1438,-33.4862,-33.2507,-28.8887,-38.9103
ORO,noah_ca (physics),-0.2,0.0,2749.4023,883.072,14.5554,0.161,-32.3748,-32.4052,-28.7489,-38.8433
YRS,noah_ca (physics),-0.2,0.0,1578.2773,601.761,28.9322,0.3702,-29.8769,-28.6489,-27.1204,-36.5023
FOL,noah_ca (physics),-0.2,0.0,1767.8743,694.9825,20.1575,0.173,-32.319,-30.8563,-31.5195,-39.057
MKM,noah_ca (physics),-0.2,0.0,516.5995,273.1381,17.9338,0.1452,-32.1177,-30.1501,-34.8245,-38.563
NHG,noah_ca (physics),-0.2,0.0,91.6433,24.0519,9.1386,0.0157,-42.945,-45.9288,-33.8446,-61.8567
NML,noah_ca (physics),-0.2,0.0,817.0849,494.1333,14.7719,0.1476,-31.7501,-29.9632,-39.1218,-36.0165
TLG,noah_ca (physics),-0.2,0.0,1216.03,773.8518,12.4932,0.1116,-31.7406,-29.7996,-30.5093,-31.543
MRC,noah_ca (physics),-0.2,0.0,722.0092,446.0133,10.6374,0.1086,-32.5719,-30.1589,-30.251,-35.4335
MIL,noah_ca (physics),-0.2,0.0,1063.518,756.1008,10.0712,0.1023,-33.4814,-32.629,-22.189,-31.0429
PNF,noah_ca (physics),-0.2,0.0,1093.2638,797.5299,11.4739,0.1148,-32.7332,-32.0363,-23.9044,-32.177
TRM,noah_ca (physics),-0.2,0.0,267.1309,156.1766,8.9346,0.0755,-36.246,-35.0575,-40.2325,-38.8248
SCC,noah_ca (physics),-0.2,0.0,175.6425,75.8023,9.933,0.0836,-36.7896,-35.0652,-37.9725,-46.069
ISB,noah_ca (physics),-0.2,0.0,641.9793,379.4848,5.027,0.0589,-38.1958,-38.6126,-31.8909,-39.3579
SHA,noah_ca (physics),-0.2,0.5,3381.7523,1058.3698,7.5985,0.1636,-32.699,-34.9789,-24.4011,-39.7166
BND,noah_ca (physics),-0.2,0.5,4525.3963,1366.9184,8.2428,0.1378,-34.1482,-35.9783,-29.128,-41.4694
ORO,noah_ca (physics),-0.2,0.5,2720.5551,831.5878,14.6293,0.1541,-33.0844,-36.3461,-28.3872,-41.4673
YRS,noah_ca (physics),-0.2,0.5,1565.0604,557.1122,29.3823,0.3555,-30.4641,-33.9429,-25.9866,-39.0334
FOL,noah_ca (physics),-0.2,0.5,1749.4279,646.7737,20.4483,0.1658,-33.0252,-35.6525,-30.5315,-41.5931
MKM,noah_ca (physics),-0.2,0.5,510.4955,254.1186,19.9644,0.1374,-32.9198,-35.014,-27.4447,-41.8784
NHG,noah_ca (physics),-0.2,0.5,90.3527,23.599,8.9955,0.0151,-43.7485,-46.947,-34.8804,-63.3065
NML,noah_ca (physics),-0.2,0.5,807.2513,461.6774,15.728,0.1428,-32.5715,-34.5634,-35.1815,-38.1096
TLG,noah_ca (physics),-0.2,0.5,1200.8853,732.9506,13.4588,0.1069,-32.5907,-33.51,-25.1385,-34.4036
MRC,noah_ca (physics),-0.2,0.5,713.0333,419.3904,10.8785,0.1059,-33.4101,-34.3278,-28.6701,-37.0799
MIL,noah_ca (physics),-0.2,0.5,1047.4197,726.2905,9.9967,0.0982,-34.4883,-35.2852,-22.765,-33.7674
PNF,noah_ca (physics),-0.2,0.5,1076.7846,766.031,11.2461,0.1117,-33.7471,-34.7205,-25.415,-33.993
TRM,noah_ca (physics),-0.2,0.5,262.4772,145.4859,9.8181,0.0718,-37.3566,-39.503,-34.3228,-41.8402
SCC,noah_ca (physics),-0.2,0.5,173.0327,72.1415,9.7804,0.0811,-37.7289,-38.2011,-38.9253,-47.7138
ISB,noah_ca (physics),-0.2,0.5,628.6481,357.996,4.7751,0.0571,-39.4792,-42.0887,-35.3046,-41.125
SHA,noah_ca (physics),-0.2,1.0,3348.9821,1019.2875,7.6398,0.1586,-33.3512,-37.3799,-23.9909,-41.5724
BND,noah_ca (physics),-0.2,1.0,4480.4108,1319.0381,8.2108,0.1332,-34.8028,-38.2208,-29.4029,-43.4009
ORO,noah_ca (physics),-0.2,1.0,2692.1511,792.6387,14.8477,0.1483,-33.783,-39.3275,-27.318,-43.6678
YRS,noah_ca (physics),-0.2,1.0,1552.0469,519.0823,29.7132,0.3454,-31.0423,-38.4521,-25.153,-40.7641
FOL,noah_ca (physics),-0.2,1.0,1731.499,605.6768,20.6577,0.1602,-33.7116,-39.7413,-29.8202,-43.5678
MKM,noah_ca (physics),-0.2,1.0,504.5137,234.7361,21.1857,0.1301,-33.7058,-39.9707,-23.0062,-44.9813
NHG,noah_ca (physics),-0.2,1.0,89.1022,23.1847,8.8621,0.0145,-44.527,-47.8785,-35.8465,-64.5712
NML,noah_ca (physics),-0.2,1.0,797.5172,427.1794,16.9814,0.1361,-33.3846,-39.453,-30.0162,-41.0224
TLG,noah_ca (physics),-0.2,1.0,1186.1267,689.433,14.2046,0.1025,-33.4191,-37.4577,-20.99,-37.149
MRC,noah_ca (physics),-0.2,1.0,704.2471,393.0539,10.9952,0.1039,-34.2307,-38.4518,-27.9049,-38.2513
MIL,noah_ca (physics),-0.2,1.0,1031.6527,694.8599,9.816,0.0958,-35.4745,-38.0858,-24.1608,-35.4271
PNF,noah_ca (physics),-0.2,1.0,1060.2802,730.2582,11.0518,0.1096,-34.7626,-37.769,-26.7038,-35.2601
TRM,noah_ca (physics),-0.2,1.0,258.0806,135.7207,10.3416,0.0688,-38.4059,-43.5637,-30.8205,-44.2787
SCC,noah_ca (physics),-0.2,1.0,170.5107,68.7896,9.7441,0.0791,-38.6365,-41.0725,-39.1519,-49.0168
