basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs,noah_et_mmyr
SHA,6665.0,0.8822,0.8299,-6.7096,0.9137,5812,0.9053,0.8448,-5.5824,0.9236,5567,1.1406,8047.8054,473.1877
BND,8900.0,0.8183,0.7231,-12.5676,0.8688,1458,0.851,0.8625,-12.8306,0.9349,5571,1.2101,11400.9931,510.7242
ORO,3607.0,0.8389,0.817,-2.912,0.9046,5480,0.8674,0.8141,-6.4724,0.9037,5569,1.557,5945.3263,576.6397
FOL,1885.0,0.7293,0.7199,-4.2959,0.8521,5063,0.7426,0.772,-5.5078,0.886,5272,2.0599,4110.52,627.1385
YRS,1108.0,0.6821,0.6922,7.0863,0.8395,5063,0.8052,0.7732,9.8561,0.8811,5545,2.7166,3186.4136,612.5108
MKM,544.0,0.7682,0.6905,-0.4697,0.831,5195,0.7904,0.6999,-10.02,0.8416,5056,1.8209,1048.6139,615.4218
NML,900.0,0.8728,0.7617,3.8552,0.8796,5721,0.8893,0.7936,-4.2017,0.8993,5473,1.5142,1442.6614,591.2576
NHG,363.0,0.5001,0.5923,-7.8129,0.8186,4637,0.5121,0.6029,-7.0414,0.823,4678,0.658,252.8732,601.3837
TLG,1538.0,0.7203,0.7613,-15.0512,0.8827,5498,0.8279,0.8437,-10.3341,0.9219,5157,1.6987,2765.7774,552.3689
MRC,1061.0,0.8001,0.7693,13.3764,0.881,5463,0.8571,0.8165,-1.0911,0.9037,5570,1.1648,1308.346,545.7008
MIL,1675.0,0.8237,0.8439,-10.0555,0.9224,5721,0.854,0.8251,-11.1925,0.9129,5499,1.3344,2366.0635,515.181
PNF,1545.0,0.7702,0.8471,-18.4315,0.9301,5809,0.8727,0.7907,-2.3309,0.9067,5549,1.3144,2149.7891,491.9759
TRM,561.0,0.7874,0.8065,-15.5411,0.9037,5543,0.7407,0.7776,-20.3593,0.8919,5503,0.9003,534.6446,540.2883
SCC,393.0,0.7126,0.6812,3.1459,0.8273,5228,0.6057,0.6201,34.8325,0.845,5292,0.4767,198.3217,547.6542
ISB,2074.0,0.7714,0.7582,2.1183,0.9191,5821,0.8709,0.7631,-1.808,0.8912,5569,0.3887,853.502,425.7846
