basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs,noah_et_mmyr
SHA,6665.0,0.8643,0.8209,-9.956,0.9118,5812,0.8765,0.8249,-8.9209,0.9178,5567,1.1406,8047.8054,485.3844
BND,8900.0,0.7914,0.7091,-16.0022,0.8661,1458,0.8192,0.8512,-16.4298,0.9327,5571,1.2101,11400.9931,524.8598
ORO,3607.0,0.8203,0.7335,-6.2053,0.8587,5480,0.8321,0.7434,-9.8228,0.8693,5569,1.557,5945.3263,593.7203
FOL,1885.0,0.7267,0.66,-7.7438,0.8136,5063,0.7423,0.7196,-9.1786,0.8506,5272,2.0599,4110.52,649.3709
YRS,1108.0,0.7116,0.6004,4.5028,0.7766,5063,0.8234,0.7139,6.8674,0.8502,5545,2.7166,3186.4136,637.3876
MKM,544.0,0.7027,0.4766,-4.0436,0.7182,5195,0.6867,0.4419,-13.6771,0.719,5056,1.8209,1048.6139,637.8977
NML,900.0,0.811,0.6174,-0.3117,0.8221,5721,0.7656,0.5618,-7.5702,0.8109,5473,1.5142,1442.6614,613.0302
NHG,363.0,0.4583,0.5636,-12.9571,0.8093,4637,0.4713,0.5755,-12.3588,0.8143,4678,0.658,252.8732,614.8901
TLG,1538.0,0.676,0.6568,-18.8503,0.8204,5498,0.7639,0.6423,-13.361,0.8157,5157,1.6987,2765.7774,573.1907
MRC,1061.0,0.764,0.5974,8.561,0.7888,5463,0.7867,0.6199,-5.0765,0.8007,5570,1.1648,1308.346,564.5432
MIL,1675.0,0.7187,0.622,-14.7805,0.7987,5721,0.8019,0.7974,-14.9056,0.8988,5499,1.3344,2366.0635,535.3408
PNF,1545.0,0.6616,0.6925,-23.3879,0.8481,5809,0.8943,0.8385,-6.373,0.9186,5549,1.3144,2149.7891,512.6485
TRM,561.0,0.6847,0.5562,-19.7926,0.7702,5543,0.6184,0.4115,-24.2999,0.7082,5503,0.9003,534.6446,556.9919
SCC,393.0,0.7146,0.6788,-3.6083,0.8255,5228,0.6806,0.6371,26.4612,0.8443,5292,0.4767,198.3217,564.5849
ISB,2074.0,0.8012,0.6957,-5.9108,0.8772,5821,0.7706,0.563,-8.8195,0.7993,5569,0.3887,853.502,440.1766
