basin,key,lat,lon,soil_chi,veg_frac_obs,lai_obs_mean
SHA,41.53125_-121.90625,41.53125,-121.90625,0.9316176168881158,0.30289942026138306,2.021268
SHA,41.53125_-121.84375,41.53125,-121.84375,0.8481443391037964,0.34840238094329834,1.7883705
SHA,41.53125_-121.78125,41.53125,-121.78125,0.8675690059297851,0.43485206365585327,1.7205534
SHA,41.53125_-121.71875,41.53125,-121.71875,0.8843504718991679,0.3711834251880646,1.5143465
SHA,41.53125_-121.53125,41.53125,-121.53125,0.9860183941483367,0.37609466910362244,1.5295564
SHA,41.53125_-121.46875,41.53125,-121.46875,0.7634984463293243,0.48213016986846924,2.353875
SHA,41.46875_-122.15625,41.46875,-122.15625,0.9118110090310751,0.3655621409416199,1.2725078
SHA,41.46875_-122.09375,41.46875,-122.09375,0.878471458465921,0.40355029702186584,1.3128881
SHA,41.46875_-122.03125,41.46875,-122.03125,0.9954441960829041,0.39834320545196533,1.2602075
SHA,41.46875_-121.96875,41.46875,-121.96875,1.0387434271054192,0.39266273379325867,1.3746107
SHA,41.46875_-121.90625,41.46875,-121.90625,1.0125951384287788,0.3353254497051239,1.6563197
SHA,41.46875_-121.84375,41.46875,-121.84375,0.9849210912170911,0.39153847098350525,1.6835814
SHA,41.46875_-121.78125,41.46875,-121.78125,1.0039089014224278,0.40840235352516174,1.9529657
SHA,41.46875_-121.71875,41.46875,-121.71875,0.9486124108715557,0.35846152901649475,1.4801626
SHA,41.46875_-121.46875,41.46875,-121.46875,0.9344281493447746,0.38147929310798645,1.8944397
SHA,41.40625_-122.28125,41.40625,-122.28125,0.9789474313176498,0.3413017690181732,1.4129539
SHA,41.40625_-122.21875,41.40625,-122.21875,1.4445459446990427,0.03343195095658302,0.19409122
SHA,41.40625_-122.15625,41.40625,-122.15625,1.3601365816379503,0.10071005672216415,0.29970014
SHA,41.40625_-122.09375,41.40625,-122.09375,0.9061304219209003,0.4139053225517273,1.2238898
SHA,41.40625_-122.03125,41.40625,-122.03125,0.9188856331063213,0.4363905191421509,1.6975337
SHA,41.40625_-121.96875,41.40625,-121.96875,0.8936408698344325,0.4580473303794861,2.1309452
SHA,41.40625_-121.90625,41.40625,-121.90625,0.9260379072809759,0.39171597361564636,1.7877591
SHA,41.40625_-121.84375,41.40625,-121.84375,0.9626961976759292,0.41112425923347473,1.5148482
SHA,41.40625_-121.78125,41.40625,-121.78125,0.8957781431510625,0.3995858132839203,1.8889608
SHA,41.40625_-121.71875,41.40625,-121.71875,0.9054620560963137,0.4001775085926056,1.6493847
SHA,41.34375_-122.28125,41.34375,-122.28125,0.8459638674025941,0.41402366757392883,2.1182134
SHA,41.34375_-122.21875,41.34375,-122.21875,1.0940216788490176,0.34449705481529236,1.0422103
SHA,41.34375_-122.15625,41.34375,-122.15625,1.108400618838827,0.3978698253631592,1.2333779
SHA,41.34375_-122.09375,41.34375,-122.09375,0.7453627716570513,0.45130178332328796,1.6667751
SHA,41.34375_-121.90625,41.34375,-121.90625,0.8463326727107165,0.49071004986763,2.372047
SHA,41.34375_-121.84375,41.34375,-121.84375,0.8458158853706693,0.5110650658607483,2.2640805
SHA,41.34375_-121.78125,41.34375,-121.78125,0.9015450549172408,0.4253254532814026,2.0280285
SHA,41.34375_-121.71875,41.34375,-121.71875,0.8098039575854408,0.41414201259613037,1.8127016
SHA,41.28125_-122.28125,41.28125,-122.28125,0.7943195458710126,0.3838461637496948,2.1407855
SHA,41.28125_-122.21875,41.28125,-122.21875,0.7986953346006276,0.44071006774902344,2.025674
SHA,41.28125_-122.15625,41.28125,-122.15625,0.7919916644552412,0.4197041392326355,2.2253525
SHA,41.28125_-121.84375,41.28125,-121.84375,0.8424588570283591,0.414497047662735,2.1543715
SHA,41.28125_-121.78125,41.28125,-121.78125,0.84181297780518,0.45674556493759155,2.3153803
SHA,41.28125_-121.71875,41.28125,-121.71875,0.8545904501469983,0.4286390542984009,2.2339404
SHA,41.59375_-121.71875,41.59375,-121.71875,0.8284046574239088,0.2897041440010071,1.8683828
SHA,41.59375_-121.65625,41.59375,-121.65625,0.830914312008874,0.31431952118873596,1.2640371
SHA,41.53125_-121.65625,41.53125,-121.65625,0.9324474306354483,0.3786982297897339,1.2399781
SHA,41.65625_-120.34375,41.65625,-120.34375,1.1111251459030496,0.36816567182540894,0.8532213
SHA,41.65625_-120.28125,41.65625,-120.28125,1.0271863973541193,0.3598816692829132,0.83866364
SHA,41.59375_-120.40625,41.59375,-120.40625,0.9550796139116917,0.343609482049942,0.4763398
SHA,41.59375_-120.34375,41.59375,-120.34375,1.0762301207920548,0.36017751693725586,0.7421107
SHA,41.59375_-120.28125,41.59375,-120.28125,1.1880325342339888,0.33887574076652527,0.74208784
SHA,41.46875_-120.34375,41.46875,-120.34375,1.1156365094603111,0.2995857894420624,0.5869735
SHA,41.40625_-120.34375,41.40625,-120.34375,1.0150556143295506,0.3653254508972168,0.77762544
SHA,41.40625_-120.28125,41.40625,-120.28125,1.0622399215051157,0.38958579301834106,1.042735
SHA,41.34375_-120.90625,41.34375,-120.90625,1.1341473673222688,0.3305325508117676,0.89632297
SHA,41.34375_-120.84375,41.34375,-120.84375,0.9262856346811406,0.3680473268032074,1.2427151
SHA,41.34375_-120.34375,41.34375,-120.34375,1.0615112221631506,0.356449693441391,0.77409804
SHA,41.34375_-120.28125,41.34375,-120.28125,1.1246735341377032,0.42810651659965515,1.2849572
SHA,41.34375_-120.21875,41.34375,-120.21875,1.2391917030243977,0.30621302127838135,0.5542455
SHA,41.28125_-120.90625,41.28125,-120.90625,1.10831391310247,0.3533135950565338,0.9692686
SHA,41.28125_-120.84375,41.28125,-120.84375,1.132978603946634,0.3742011785507202,1.0952239
SHA,41.28125_-120.78125,41.28125,-120.78125,0.8216798939168755,0.36059170961380005,1.4738536
SHA,41.28125_-120.34375,41.28125,-120.34375,0.9969675444789671,0.3454437851905823,0.6757671
SHA,41.28125_-120.28125,41.28125,-120.28125,1.1608053684918025,0.4111834466457367,1.2421477
SHA,41.28125_-120.21875,41.28125,-120.21875,1.2569020134759297,0.3438461422920227,0.66456676
SHA,41.21875_-120.84375,41.21875,-120.84375,1.0976992606030467,0.3614201247692108,0.81741333
SHA,41.21875_-120.78125,41.21875,-120.78125,1.038679905723332,0.3856804668903351,1.2232841
SHA,41.21875_-120.71875,41.21875,-120.71875,0.9027096111828863,0.3708875775337219,1.2922225
SHA,41.15625_-120.84375,41.15625,-120.84375,1.097645715325529,0.3403550386428833,0.7824206
SHA,41.15625_-120.78125,41.15625,-120.78125,1.2025473726597857,0.373786985874176,1.1366242
SHA,40.96875_-121.09375,40.96875,-121.09375,1.1009450789246635,0.32668638229370117,1.1586748
SHA,40.96875_-121.03125,40.96875,-121.03125,1.0294831209916901,0.281715989112854,0.83800226
SHA,40.96875_-120.96875,40.96875,-120.96875,0.9394487352783689,0.2687574028968811,0.5089203
SHA,40.90625_-121.15625,40.90625,-121.15625,1.0312105655108055,0.32692307233810425,0.59286356
SHA,40.90625_-121.09375,40.90625,-121.09375,1.0539143493310035,0.3382840156555176,0.6494645
SHA,40.90625_-121.03125,40.90625,-121.03125,0.923552372907646,0.27721893787384033,0.4900945
SHA,40.90625_-120.96875,40.90625,-120.96875,0.9893772261100182,0.2718935012817383,0.37542787
SHA,40.53125_-121.53125,40.53125,-121.53125,0.9943608055359034,0.3342011868953705,1.2017533
SHA,40.53125_-121.46875,40.53125,-121.46875,0.8126710060708922,0.3378698229789734,1.1276582
SHA,40.46875_-121.53125,40.46875,-121.53125,1.1296935280556997,0.2546153962612152,0.5261976
SHA,40.46875_-121.46875,40.46875,-121.46875,0.8509853164115022,0.2819526493549347,0.6209389
SHA,41.21875_-122.40625,41.21875,-122.40625,1.0487916274680362,0.47958579659461975,1.6121315
SHA,41.21875_-122.34375,41.21875,-122.34375,1.0194290417443934,0.49816566705703735,1.9580178
SHA,41.21875_-122.28125,41.21875,-122.28125,0.9431256587864278,0.48360946774482727,2.6067975
SHA,41.15625_-122.40625,41.15625,-122.40625,0.9560706030569552,0.5326627492904663,2.187921
SHA,41.15625_-122.34375,41.15625,-122.34375,1.016367587942303,0.502366840839386,2.2993917
SHA,41.15625_-122.28125,41.15625,-122.28125,0.8784430170235755,0.5994082689285278,3.0974607
SHA,41.15625_-122.21875,41.15625,-122.21875,0.810441056310607,0.6346745491027832,3.2609553
SHA,41.15625_-122.15625,41.15625,-122.15625,0.8487375144120632,0.61834317445755,3.3217106
SHA,41.09375_-122.40625,41.09375,-122.40625,0.9887320137144445,0.518224835395813,2.0786862
SHA,41.09375_-122.34375,41.09375,-122.34375,0.9423697888971511,0.5323668718338013,2.7806537
SHA,41.09375_-122.28125,41.09375,-122.28125,0.8790456942549176,0.6023668646812439,3.1026952
