epoch,loss,cal_kge,lr,spinup_s,epoch_s,peak_vram_mb,skipped_steps
0,0.5056980232397715,0.7594077702405577,7.999999999999999e-05,96.3,160.9,652,0
1,0.5061178406079611,,0.00014,77.7,138.1,680,0
2,0.500395659605662,0.7515744872445341,0.0002,96.6,157.0,680,0
3,0.4951166272163391,,0.00019985574406116503,77.5,137.9,681,0
4,0.4860160013039907,0.7562575276341936,0.0001994234143452052,96.7,157.1,680,0
5,0.4758379340171814,,0.0001987043238232586,77.5,137.9,681,0
6,0.4712934205929438,0.7573556942476263,0.00019770065634960637,96.7,157.0,680,0
7,0.4699540615081787,,0.00019641546002937876,77.7,138.0,681,0
8,0.4681432048479716,0.7561062282221336,0.00019485263796156026,96.9,158.0,680,0
9,0.46663981477419536,,0.00019301693638540615,77.5,137.8,681,0
10,0.46452336609363554,0.7602061510159739,0.00019091393026626988,96.8,157.2,680,0
11,0.45992849469184877,,0.00018855000636461646,77.6,137.9,681,0
12,0.4593383938074112,0.7584150966161716,0.0001859323438396411,97.4,157.8,680,0
13,0.4539267987012863,,0.00018306889244639832,77.8,138.1,681,0
14,0.460687854886055,0.7591546310767223,0.00017996834839265744,96.8,157.1,680,0
15,0.4551105817159017,,0.00017664012792880518,77.4,137.8,681,0
16,0.4534494946400324,0.7625349617949305,0.0001730943387510029,96.8,157.2,680,0
17,0.4522230933109919,,0.00016934174930444544,77.5,137.8,681,0
18,0.45194857120513915,0.7598758067030944,0.00016539375607994698,96.9,157.2,680,0
19,0.4500445673863093,,0.00016126234900317314,77.4,137.8,681,0
20,0.4470492740472158,0.7603953458155223,0.00015696007502163058,96.8,157.2,680,0
21,0.4516346017519633,,0.00015250000000000002,77.6,137.9,681,0
22,0.45031731128692626,0.7620420174208941,0.0001478956690395345,96.8,157.1,680,0
23,0.4458523084719976,,0.00014316106534203213,78.0,138.1,681,0
24,0.4477445145448049,0.7608800242148549,0.0001383105677433117,96.8,157.1,680,0
25,0.44795516033967336,,0.000133358907045161,80.8,139.9,681,0
26,0.447857990860939,0.7604972072991864,0.00012832112127837594,100.9,160.0,680,0
27,0.44685741563638054,,0.00012321251003275516,80.6,139.7,681,0
28,0.4427701264619827,0.7608036135132177,0.00011804858799274876,100.7,159.7,680,0
29,0.4453628102938334,,0.00011284503781987159,80.6,139.7,681,0
30,0.4456037620703379,0.7635162480022166,0.0001076176625249754,100.5,159.7,680,0
31,0.444223024447759,,0.00010238233747502462,80.8,140.0,681,0
32,0.44554290572802224,0.7621397242183305,9.715496218012846e-05,100.6,159.7,680,0
33,0.4445431888103485,,9.195141200725122e-05,80.6,139.6,681,0
34,0.4511253505945206,0.7644159327302001,8.678748996724486e-05,100.5,159.5,680,0
35,0.4423391819000244,,8.167887872162408e-05,80.7,139.6,681,0
36,0.44057568311691286,0.7653197316024022,7.664109295483902e-05,100.8,159.9,680,0
37,0.44322833319505056,,7.168943225668837e-05,80.7,139.7,681,0
38,0.4442284335692724,0.762788648898941,6.683893465796792e-05,100.5,159.4,680,0
39,0.4408168504635493,,6.210433096046555e-05,80.6,139.7,681,0
40,0.44217463533083595,0.7635826614978178,5.750000000000004e-05,100.8,159.9,680,0
41,0.44121421277523043,,5.3039924978369484e-05,80.6,139.7,681,0
42,0.4437921275695165,0.764007707399577,4.873765099682693e-05,100.4,159.5,680,0
43,0.44834797978401186,,4.460624392005308e-05,80.6,139.7,681,0
44,0.4424339433511098,0.7656441069155474,4.06582506955546e-05,100.7,159.7,680,0
45,0.44220156570275626,,3.690566124899716e-05,80.8,139.8,681,0
46,0.44553709228833516,0.7644484590846676,3.3359872071194877e-05,100.6,159.7,680,0
47,0.44318398435910544,,3.0031651607342632e-05,80.8,139.8,681,0
48,0.4383911043405533,0.7643707630123753,2.693110755360173e-05,100.7,159.7,680,0
49,0.44109700123469037,,2.406765616035893e-05,83.9,142.2,681,0
50,0.4413907428582509,0.7647060609122007,2.1449993635383558e-05,104.4,162.8,680,0
51,0.4447904407978058,,1.908606973373015e-05,83.9,142.3,681,0
52,0.4435675630966822,0.7651155882933909,1.6983063614593837e-05,104.3,162.6,680,0
53,0.44351662397384645,,1.5147362038439713e-05,84.1,142.3,681,0
54,0.43931503196557364,0.7646650898008083,1.3584539970621202e-05,104.6,163.1,680,0
55,0.4378144363562266,,1.2299343650393619e-05,84.0,142.4,681,0
56,0.4405097673336665,0.7645689313081613,1.1295676176741382e-05,104.5,162.8,680,0
57,0.4402666946252187,,1.05765856547948e-05,83.9,142.4,681,0
58,,0.7646043137144143,1.05765856547948e-05,104.3,104.3,680,0
