basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs,noah_et_mmyr
SHA,6665.0,0.9008,0.8271,-4.9833,0.9142,5812,0.901,0.8285,-3.1964,0.9197,5567,1.1406,8047.8054,461.0964
BND,8900.0,0.831,0.7115,-9.5969,0.8649,1458,0.875,0.8502,-10.1975,0.928,5571,1.2101,11400.9931,496.4925
ORO,3607.0,0.8503,0.8137,-0.4127,0.9022,5480,0.8832,0.8038,-3.6302,0.8986,5569,1.557,5945.3263,559.0608
FOL,1885.0,0.7373,0.7117,-2.2404,0.8457,5063,0.7533,0.7617,-2.9052,0.8775,5272,2.0599,4110.52,610.7109
YRS,1108.0,0.6655,0.6803,8.0366,0.8337,5063,0.7876,0.7608,11.4914,0.8748,5545,2.7166,3186.4136,596.4197
MKM,544.0,0.7602,0.6798,-0.0554,0.8246,5195,0.7937,0.6805,-8.4046,0.8311,5056,1.8209,1048.6139,609.136
NML,900.0,0.8739,0.7654,2.8368,0.8801,5721,0.8808,0.7774,-4.374,0.8923,5473,1.5142,1442.6614,592.6106
NHG,363.0,0.5435,0.6212,0.9819,0.8264,4637,0.5613,0.635,2.8167,0.8306,4678,0.658,252.8732,574.1761
TLG,1538.0,0.6949,0.7585,-17.0813,0.8854,5498,0.812,0.8329,-11.9581,0.917,5157,1.6987,2765.7774,560.5101
MRC,1061.0,0.81,0.772,10.1352,0.8806,5463,0.8441,0.8058,-3.7082,0.898,5570,1.1648,1308.346,554.3715
MIL,1675.0,0.7699,0.8215,-14.4028,0.9148,5721,0.8103,0.8092,-14.7836,0.9053,5499,1.3344,2366.0635,531.8169
PNF,1545.0,0.7003,0.8191,-23.5035,0.9237,5809,0.872,0.7839,-6.8492,0.8967,5549,1.3144,2149.7891,510.7581
TRM,561.0,0.7427,0.7921,-18.3607,0.8991,5543,0.7152,0.7622,-21.9,0.885,5503,0.9003,534.6446,542.054
SCC,393.0,0.7285,0.692,5.2293,0.8333,5228,0.5605,0.6234,39.7147,0.8549,5292,0.4767,198.3217,542.7814
ISB,2074.0,0.7743,0.7326,-1.6597,0.9065,5821,0.8355,0.7011,-4.654,0.8656,5569,0.3887,853.502,432.8345
