basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9522,0.9156,-0.4831,0.9572,5812,0.9274,0.8971,4.3552,0.9483,5567,1.1406,8047.8053
BND,8900.0,0.918,0.9139,-0.9488,0.9563,1458,0.8892,0.9264,2.0709,0.965,5571,1.2101,11400.9932
ORO,3607.0,0.9165,0.9275,-3.0965,0.9638,5480,0.9294,0.9002,-2.9056,0.949,5569,1.557,5945.3266
YRS,1108.0,0.8707,0.8617,-2.8941,0.929,5063,0.915,0.8483,2.9006,0.9273,5545,2.7166,3186.4137
FOL,1885.0,0.9032,0.8874,-1.6776,0.9422,5063,0.8776,0.8955,-1.5195,0.9481,5272,2.0599,4110.5197
MKM,544.0,0.8981,0.862,-2.0445,0.9285,5195,0.8357,0.8328,-12.7869,0.9166,5056,1.8209,1048.6139
NHG,363.0,0.9214,0.8875,-2.9154,0.9422,4637,0.865,0.8354,0.1992,0.9142,4678,0.658,252.8732
NML,900.0,0.9106,0.8892,-1.5557,0.9431,5721,0.8867,0.8072,-5.8643,0.9035,5473,1.5142,1442.6615
TLG,1538.0,0.9003,0.9144,-1.3052,0.9574,5498,0.9365,0.8969,3.7597,0.9489,5157,1.6987,2765.7774
MRC,1061.0,0.8993,0.9114,0.2187,0.9558,5463,0.8158,0.8621,-11.3295,0.9329,5570,1.1648,1308.346
MIL,1675.0,0.9631,0.9335,1.1714,0.9665,5721,0.9291,0.8963,-1.0209,0.9468,5499,1.3344,2366.0635
PNF,1545.0,0.971,0.9516,1.5238,0.9757,5809,0.8876,0.8847,9.6985,0.9452,5549,1.3144,2149.7892
TRM,561.0,0.9458,0.9185,-1.018,0.9585,5543,0.8742,0.9084,-7.8831,0.9555,5503,0.9003,534.6446
SCC,393.0,0.904,0.9217,-2.0893,0.9612,5228,0.6184,0.7163,28.6094,0.9162,5292,0.4767,198.3217
ISB,2074.0,0.9677,0.951,-0.8977,0.9752,5821,0.8488,0.8557,-3.6179,0.927,5569,0.3887,853.502
