basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9531,0.9136,0.2792,0.9562,5812,0.9237,0.8923,5.289,0.9466,5567,1.1406,8047.8053
BND,8900.0,0.8912,0.8988,-2.2861,0.9493,1458,0.8666,0.9207,0.111,0.964,5571,1.2101,11400.9932
ORO,3607.0,0.9193,0.9278,-0.4919,0.9639,5480,0.9421,0.8895,0.6927,0.9441,5569,1.557,5945.3266
YRS,1108.0,0.8727,0.8614,-1.3046,0.9287,5063,0.9014,0.8219,3.5038,0.9147,5545,2.7166,3186.4137
FOL,1885.0,0.9067,0.886,0.1391,0.9414,5063,0.8808,0.8937,0.4762,0.9469,5272,2.0599,4110.5197
MKM,544.0,0.9108,0.8639,1.1115,0.9296,5195,0.8751,0.8264,-8.5908,0.9129,5056,1.8209,1048.6139
NHG,363.0,0.9285,0.883,-2.0482,0.9401,4637,0.8897,0.839,-0.0014,0.9161,4678,0.658,252.8732
NML,900.0,0.9029,0.8896,-1.6667,0.9435,5721,0.8862,0.7859,-3.7692,0.8967,5473,1.5142,1442.6615
TLG,1538.0,0.8953,0.9168,0.5711,0.9591,5498,0.916,0.8829,5.8395,0.9415,5157,1.6987,2765.7774
MRC,1061.0,0.8814,0.9101,-0.8435,0.9563,5463,0.7994,0.8579,-10.9875,0.9324,5570,1.1648,1308.346
MIL,1675.0,0.9522,0.9351,1.3712,0.967,5721,0.8887,0.898,-1.697,0.9488,5499,1.3344,2366.0635
PNF,1545.0,0.956,0.9512,2.8939,0.9755,5809,0.8827,0.8886,10.0622,0.9454,5549,1.3144,2149.7892
TRM,561.0,0.9273,0.9121,-0.7736,0.9551,5543,0.8532,0.9004,-7.6695,0.9527,5503,0.9003,534.6446
SCC,393.0,0.9127,0.9233,-0.9384,0.9617,5228,0.6258,0.7164,28.7903,0.9122,5292,0.4767,198.3217
ISB,2074.0,0.9603,0.9482,-0.2052,0.9737,5821,0.8624,0.8546,-2.3516,0.9254,5569,0.3887,853.502
