epoch,loss,cal_kge,lr,epoch_s
0.000000000000000000e+00,1.410416121698088165e+00,-1.551827551490190527e-01,1.599999999999999860e-04,1.650149488449096680e+01
1.000000000000000000e+00,9.438124491522709159e-01,nan,2.799999999999999755e-04,1.280249857902526855e+01
2.000000000000000000e+00,4.202869875977436886e-01,7.293061947624914776e-01,4.000000000000000192e-04,1.558731579780578613e+01
3.000000000000000000e+00,3.377002305868599397e-01,nan,3.997038957044966347e-04,1.248400664329528809e+01
4.000000000000000000e+00,2.938645347538921815e-01,7.945580826231769533e-01,3.988164820770001432e-04,1.635109591484069824e+01
5.000000000000000000e+00,2.790303967065281276e-01,nan,3.973404541635308261e-04,1.265927195549011230e+01
6.000000000000000000e+00,2.645401324973338242e-01,8.347034580702793471e-01,3.952802946123499476e-04,1.677199244499206543e+01
7.000000000000000000e+00,2.509577832081251736e-01,nan,3.926422600603038165e-04,1.339309072494506836e+01
8.000000000000000000e+00,2.410450696738229981e-01,8.234052222284574674e-01,3.894343621316237046e-04,1.664203071594238281e+01
9.000000000000000000e+00,2.275548303603298073e-01,nan,3.856663431068863305e-04,1.372400093078613281e+01
1.000000000000000000e+01,2.215915599113537082e-01,8.398809205256653199e-01,3.813496463360276242e-04,1.670148324966430664e+01
1.100000000000000000e+01,2.185283461068239508e-01,nan,3.764973814852653577e-04,1.263536858558654785e+01
1.200000000000000000e+01,2.092417561345630284e-01,8.641055693517164515e-01,3.711242847234738217e-04,1.652379989624023438e+01
1.300000000000000000e+01,2.066759661150475436e-01,nan,3.652466739689228317e-04,1.256381797790527344e+01
1.400000000000000000e+01,2.002953984774649143e-01,8.752778950423824034e-01,3.588823993322968141e-04,1.630762076377868652e+01
1.500000000000000000e+01,1.930483831610116663e-01,nan,3.520507889064948374e-04,1.160185861587524414e+01
1.600000000000000000e+01,1.917566301094161263e-01,8.842914135584518665e-01,3.447725900678480699e-04,1.535963511466979980e+01
1.700000000000000000e+01,1.871951782248086338e-01,nan,3.370699064670196177e-04,1.158355283737182617e+01
1.800000000000000000e+01,1.863441302751501494e-01,8.659068275451359264e-01,3.289661309009438194e-04,1.523902130126953125e+01
1.900000000000000000e+01,1.857347150540186176e-01,nan,3.204858742696712172e-04,1.144128561019897461e+01
2.000000000000000000e+01,1.801631138660013676e-01,9.027211634536981277e-01,3.116548908338733241e-04,1.591067028045654297e+01
