basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9614,0.9275,-0.836,0.9635,5812,0.9355,0.9113,4.3378,0.9557,5567,1.1406,8047.8053
BND,8900.0,0.9449,0.95,-0.8541,0.975,1458,0.9158,0.9333,4.8815,0.9673,5571,1.2101,11400.9932
ORO,3607.0,0.9341,0.9324,-0.154,0.9659,5480,0.9197,0.8991,-3.2943,0.9484,5569,1.557,5945.3266
YRS,1108.0,0.8689,0.8683,2.3693,0.9329,5063,0.8952,0.8475,7.244,0.9244,5545,2.7166,3186.4137
FOL,1885.0,0.9063,0.8984,1.453,0.9482,5063,0.8846,0.8996,0.297,0.95,5272,2.0599,4110.5197
MKM,544.0,0.9057,0.8686,5.7135,0.9332,5195,0.873,0.8351,-6.1841,0.9148,5056,1.8209,1048.6139
NHG,363.0,0.9031,0.8818,4.7329,0.9392,4637,0.8319,0.8239,3.013,0.909,4678,0.658,252.8732
NML,900.0,0.9328,0.8821,-2.8623,0.9406,5721,0.8663,0.8216,-9.8598,0.9116,5473,1.5142,1442.6615
TLG,1538.0,0.9156,0.9259,0.0897,0.963,5498,0.9437,0.9058,2.2121,0.9523,5157,1.6987,2765.7774
MRC,1061.0,0.8833,0.9197,6.5281,0.961,5463,0.8387,0.8671,-5.4341,0.9344,5570,1.1648,1308.346
MIL,1675.0,0.9573,0.9424,2.2508,0.9709,5721,0.9319,0.8716,0.0486,0.9347,5499,1.3344,2366.0635
PNF,1545.0,0.9756,0.9631,1.1825,0.9814,5809,0.8802,0.8899,9.5179,0.9509,5549,1.3144,2149.7892
TRM,561.0,0.9511,0.9137,-0.2984,0.9562,5543,0.8968,0.8989,-5.7288,0.949,5503,0.9003,534.6446
SCC,393.0,0.8929,0.9156,1.6138,0.9585,5228,0.6068,0.718,30.3798,0.9171,5292,0.4767,198.3217
ISB,2074.0,0.9593,0.9276,1.4714,0.9644,5821,0.8803,0.8269,-1.1222,0.9095,5569,0.3887,853.502
