basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9596,0.9234,-1.3213,0.9619,5812,0.9329,0.8998,4.3884,0.9515,5567,1.1406,8047.8053
BND,8900.0,0.9536,0.9436,-0.3163,0.9715,1458,0.9377,0.927,4.4468,0.9636,5571,1.2101,11400.9932
ORO,3607.0,0.9447,0.9267,0.9888,0.9627,5480,0.9412,0.8945,-1.3291,0.9464,5569,1.557,5945.3266
YRS,1108.0,0.8873,0.8651,3.5888,0.9304,5063,0.8652,0.8175,9.263,0.9156,5545,2.7166,3186.4137
FOL,1885.0,0.9206,0.8954,3.2587,0.9465,5063,0.9206,0.8966,2.8589,0.947,5272,2.0599,4110.5197
MKM,544.0,0.9002,0.8646,7.3448,0.9328,5195,0.884,0.8099,-4.8614,0.9024,5056,1.8209,1048.6139
NHG,363.0,0.9071,0.8832,2.8346,0.9398,4637,0.8314,0.8127,-0.4001,0.9024,4678,0.658,252.8732
NML,900.0,0.9338,0.8848,-3.3198,0.9427,5721,0.8508,0.8064,-11.1595,0.904,5473,1.5142,1442.6615
TLG,1538.0,0.9118,0.9173,-0.7902,0.9584,5498,0.9379,0.8992,2.7467,0.9489,5157,1.6987,2765.7774
MRC,1061.0,0.8854,0.9158,6.6807,0.9587,5463,0.8665,0.8704,-4.1488,0.9342,5570,1.1648,1308.346
MIL,1675.0,0.942,0.9324,4.622,0.9664,5721,0.9376,0.8846,1.6704,0.9416,5499,1.3344,2366.0635
PNF,1545.0,0.9686,0.9571,2.1419,0.9785,5809,0.8773,0.8942,9.5858,0.9537,5549,1.3144,2149.7892
TRM,561.0,0.9513,0.9081,1.0415,0.9536,5543,0.9328,0.8865,-2.994,0.9426,5503,0.9003,534.6446
SCC,393.0,0.8912,0.9147,-3.21,0.958,5228,0.576,0.6491,26.9065,0.9109,5292,0.4767,198.3217
ISB,2074.0,0.9445,0.9076,-2.8624,0.9548,5821,0.8532,0.7948,-6.246,0.8931,5569,0.3887,853.502
