epoch,loss,cal_kge,lr,epoch_s
0.000000000000000000e+00,1.020135956919855591e+00,7.679055127166114492e-01,1.599999999999999860e-04,1.514597535133361816e+01
1.000000000000000000e+00,1.001449302252795936e+00,nan,2.799999999999999755e-04,1.075271177291870117e+01
2.000000000000000000e+00,9.288797034985489809e-01,7.975582862005469176e-01,4.000000000000000192e-04,1.474888348579406738e+01
3.000000000000000000e+00,8.680628225621249694e-01,nan,3.997038957044966347e-04,1.089459705352783203e+01
4.000000000000000000e+00,8.155230600386857986e-01,8.129105017745333894e-01,3.988164820770001432e-04,1.529343223571777344e+01
5.000000000000000000e+00,7.774224826652142983e-01,nan,3.973404541635308261e-04,1.091890311241149902e+01
6.000000000000000000e+00,7.419305818362368354e-01,8.448627075970308598e-01,3.952802946123499476e-04,1.482614660263061523e+01
7.000000000000000000e+00,7.180563485663797874e-01,nan,3.926422600603038165e-04,1.130300402641296387e+01
8.000000000000000000e+00,7.019979253204332581e-01,8.554966864673508864e-01,3.894343621316237046e-04,1.484862279891967773e+01
9.000000000000000000e+00,6.800981585143340835e-01,nan,3.856663431068863305e-04,1.103383541107177734e+01
1.000000000000000000e+01,6.599001889634463769e-01,8.517370045936785150e-01,3.813496463360276242e-04,1.486351227760314941e+01
1.100000000000000000e+01,6.415825594837466506e-01,nan,3.764973814852653577e-04,1.092340302467346191e+01
1.200000000000000000e+01,6.218780349526140672e-01,8.651803772618826827e-01,3.711242847234738217e-04,1.495991873741149902e+01
1.300000000000000000e+01,6.100377387677630159e-01,nan,3.652466739689228317e-04,1.117408776283264160e+01
1.400000000000000000e+01,5.958381501129932367e-01,8.834692390285756591e-01,3.588823993322968141e-04,1.499716615676879883e+01
1.500000000000000000e+01,5.886733020759291612e-01,nan,3.520507889064948374e-04,1.108303070068359375e+01
1.600000000000000000e+01,5.689154676058225668e-01,8.935000620368890312e-01,3.447725900678480699e-04,1.499785947799682617e+01
1.700000000000000000e+01,5.658491041718257675e-01,nan,3.370699064670196177e-04,1.101513552665710449e+01
1.800000000000000000e+01,5.685240055123964575e-01,8.895633478532386507e-01,3.289661309009438194e-04,1.493039178848266602e+01
1.900000000000000000e+01,5.571682231707705268e-01,nan,3.204858742696712172e-04,1.100266790390014648e+01
2.000000000000000000e+01,5.450707811655269852e-01,8.889168957244251157e-01,3.116548908338733241e-04,1.495628237724304199e+01
2.100000000000000000e+01,5.275921170703239405e-01,nan,3.025000000000000887e-04,1.092059683799743652e+01
2.200000000000000000e+01,5.181267143537601205e-01,9.024262450658910861e-01,2.930490048706235230e-04,1.493499922752380371e+01
2.300000000000000000e+01,5.100592096439666712e-01,nan,2.833306078073291384e-04,1.089402723312377930e+01
2.400000000000000000e+01,5.116533667056096801e-01,8.931629296263332574e-01,2.733743232625872191e-04,1.484925532341003418e+01
2.500000000000000000e+01,5.074986298051145095e-01,nan,2.632103881453305423e-04,1.091482758522033691e+01
