basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.8987,0.8293,-5.2515,0.9145,5812,0.9104,0.848,-4.9352,0.9254,5567,1.1406,8047.8054
BND,8900.0,0.8475,0.7451,-9.0406,0.8779,1458,0.8857,0.8744,-9.5893,0.9395,5571,1.2101,11400.9931
ORO,3607.0,0.7803,0.8085,-5.5022,0.9047,5480,0.8019,0.816,-10.2618,0.9069,5569,1.557,5945.3263
FOL,1885.0,0.722,0.7238,-6.5329,0.8557,5063,0.7337,0.7807,-8.7968,0.893,5272,2.0599,4110.52
YRS,1108.0,0.6335,0.669,6.9447,0.8327,5063,0.7589,0.7597,9.9427,0.8753,5545,2.7166,3186.4136
MKM,544.0,0.7539,0.7148,-0.3263,0.8464,5195,0.7587,0.7267,-12.3172,0.8562,5056,1.8209,1048.6139
NML,900.0,0.8692,0.7621,-2.4421,0.8772,5721,0.8572,0.8126,-10.4915,0.9067,5473,1.5142,1442.6614
NHG,363.0,0.7557,0.7882,6.3907,0.8942,4637,0.7527,0.7964,7.6457,0.8997,4678,0.658,252.8732
TLG,1538.0,0.7368,0.7651,-14.1426,0.8827,5498,0.8259,0.8414,-10.3026,0.9207,5157,1.6987,2765.7774
MRC,1061.0,0.8348,0.7968,4.9928,0.8931,5463,0.8134,0.8303,-7.0004,0.9144,5570,1.1648,1308.346
MIL,1675.0,0.834,0.8452,-9.2392,0.9223,5721,0.8805,0.8328,-7.8715,0.9157,5499,1.3344,2366.0635
PNF,1545.0,0.8434,0.8728,-10.0519,0.9376,5809,0.8728,0.8334,6.6054,0.9267,5549,1.3144,2149.7891
TRM,561.0,0.8601,0.8195,-2.5954,0.9055,5543,0.816,0.791,-9.1493,0.8914,5503,0.9003,534.6446
SCC,393.0,0.6484,0.736,-17.7006,0.8758,5228,0.8389,0.7005,6.0762,0.8585,5292,0.4767,198.3217
ISB,2074.0,0.8527,0.8055,-5.8937,0.9184,5821,0.8418,0.7695,-10.507,0.8848,5569,0.3887,853.502
