epoch,loss,cal_kge,lr,spinup_s,epoch_s,peak_vram_mb,skipped_steps
0,1.769480546315511,0.19327172169110443,0.00039999999999999996,102.9,168.5,641,0
1,1.7235021432240805,,0.0006999999999999999,80.3,142.0,670,0
2,1.4292583227157594,0.2322619217106535,0.001,102.5,164.2,670,0
3,0.8435537775357564,,0.0009992483506344914,79.8,141.4,670,0
4,0.6186285773913066,0.6530982782098339,0.000996995685272385,102.2,163.9,670,0
5,0.5087641775608063,,0.0009932488451843474,79.4,141.0,670,0
6,0.4629730463027954,0.7305842859986804,0.0009880192094005806,102.7,164.4,670,0
7,0.44346274932225543,,0.0009813226601530789,79.8,141.6,670,0
8,0.4254852960507075,0.744864727433236,0.000973179534641814,101.1,162.8,670,0
9,0.41698461174964907,,0.0009636145632713268,80.2,141.9,670,0
10,0.41356918414433796,0.7527784369699643,0.0009526567945453009,101.8,163.5,670,0
11,0.4128647208213806,,0.0009403395068472121,80.1,141.8,670,0
12,0.4080659061670303,0.754121936054752,0.000926700107374972,101.7,163.5,670,0
13,0.40532804032166797,,0.0009117800185364965,80.5,142.2,670,0
14,0.4037066578865051,0.7565466277511014,0.0008956245521512151,101.2,162.9,670,0
15,0.3975687752167384,,0.0008782827718395639,79.5,141.2,670,0
16,0.3945442706346512,0.7607183182184944,0.0008598073440183836,101.7,163.8,670,0
17,0.39279155333836874,,0.0008402543779547422,80.6,142.3,670,0
18,0.3877366224924723,0.7657246966530105,0.0008196832553639344,101.7,163.4,670,0
19,0.3883189509312312,,0.0007981564500691655,79.7,141.4,670,0
20,0.3847470780213674,0.770011682706199,0.0007757393382706016,102.0,163.7,670,0
21,0.3829362859328588,,0.0007525000000000003,82.8,144.6,670,0
22,0.3801392416159312,0.7743247881612491,0.0007285090123638906,105.6,167.4,670,0
23,0.37934666375319165,,0.0007038392352032202,83.5,145.2,670,0
24,0.37390666206677753,0.7746947093664123,0.0006785655898204139,105.9,167.7,670,0
25,0.3736389319101969,,0.0006527648314458392,83.3,145.3,670,0
26,0.37039473950862883,0.7786607389930064,0.0006265153161346959,105.0,167.1,670,0
27,0.3735018918911616,,0.0005998967628022509,83.6,145.6,670,0
28,0.36732330818971,0.7809890142528478,0.0005729900111201123,106.2,167.8,670,0
29,0.36960600813229877,,0.0005458767760088049,82.7,144.5,670,0
30,0.3665581812461217,0.7829480934087818,0.0005186393994722405,105.7,167.6,670,0
31,0.36709345281124117,,0.0004913606005277602,83.2,144.9,670,0
32,0.36530476808547974,0.7844147676153717,0.0004641232239911959,106.8,168.5,670,0
33,0.3611695885658264,,0.0004370099888798882,82.7,144.4,670,0
34,0.36232001384099327,0.7850877479272542,0.00041010323719774976,107.0,168.8,670,0
35,0.3620906134446462,,0.0003834846838653047,84.0,145.8,670,0
36,0.3617596795161565,0.7851293969618824,0.0003572351685541614,105.5,167.4,670,0
37,0.3630513817071915,,0.00033143441017958694,83.8,145.5,670,0
38,0.365013720591863,0.7869662538836356,0.00030616076479678036,106.1,167.9,670,0
39,0.3620734264453252,,0.00028149098763611006,83.7,145.3,670,0
40,0.3624505062898,0.7867761977258586,0.0002575000000000003,105.9,167.6,670,0
41,0.35891477564970653,,0.00023426066172939892,83.8,145.5,670,0
42,0.3566112319628398,0.7876296817913758,0.00021184354993083508,105.4,167.1,670,0
43,0.3612784634033839,,0.00019031674463606605,83.5,145.1,670,0
44,0.3643007775147756,0.7883465539369465,0.0001697456220452582,106.0,167.7,670,0
45,0.36332302292188007,,0.0001501926559816168,84.4,146.2,670,0
46,0.3656637211640676,0.7863406110491179,0.00013171722816043648,108.3,170.0,670,0
47,0.36046457091967266,,0.0001143754478487853,84.5,146.2,670,0
48,0.3595148007074992,0.7848082200178309,9.821998146350375e-05,108.6,170.3,670,0
49,0.36054310500621795,,8.32998926250281e-05,84.6,147.2,670,0
50,0.36252696911493937,0.7865932048329464,6.966049315278801e-05,109.4,171.2,670,0
51,0.3659162928660711,,5.734320545469921e-05,85.2,146.9,670,0
52,0.35879976948102316,0.7870650099160517,4.6385436728673154e-05,108.3,170.0,670,0
53,0.36380114157994586,,3.682046535818588e-05,85.4,147.3,670,0
54,0.3628712107737859,0.787253893029757,2.8677339846921007e-05,107.6,169.4,670,0
55,0.36375355422496797,,2.1980790599419383e-05,85.2,146.9,670,0
56,0.3684053351481756,0.7873801856612893,1.675115481565246e-05,108.4,170.1,670,0
57,0.3592811415592829,,1.300431472761501e-05,85.1,146.8,670,0
58,,0.7873476222310093,1.300431472761501e-05,107.8,107.8,670,0
