epoch,loss,cal_kge,lr,spinup_s,epoch_s,peak_vram_mb,skipped_steps
0,1.3046355724334717,0.3556738505030285,0.00039999999999999996,134.0,190.6,667,0
1,1.2675202210744223,,0.0006999999999999999,107.1,160.5,695,0
2,1.0504438002904257,0.3937098809929644,0.001,133.0,186.2,695,0
3,0.743742032845815,,0.0009992483506344914,106.2,159.4,695,0
4,0.5600206037362416,0.6804570662431958,0.000996995685272385,133.0,186.3,695,0
5,0.45851398607095084,,0.0009932488451843474,106.8,160.0,695,0
6,0.42858409186204277,0.7415453978281719,0.0009880192094005806,133.3,187.6,695,0
7,0.4173040628433228,,0.0009813226601530789,106.7,161.3,695,0
8,0.4085931013027827,0.7503276766874624,0.000973179534641814,133.3,187.6,695,0
9,0.4028915951649348,,0.0009636145632713268,106.6,161.1,695,0
10,0.39781743884086607,0.7568063748163647,0.0009526567945453009,132.6,187.1,695,0
11,0.39535170098145805,,0.0009403395068472121,107.2,161.6,695,0
12,0.3897860199213028,0.7612981993316036,0.000926700107374972,133.7,188.1,695,0
13,0.3877582142750422,,0.0009117800185364965,106.3,160.6,695,0
14,0.38416488468647003,0.7636712574233848,0.0008956245521512151,133.3,187.7,695,0
15,0.38015320599079133,,0.0008782827718395639,106.4,160.8,695,0
16,0.3769489874442418,0.7680490049992132,0.0008598073440183836,132.7,187.2,695,0
17,0.3757742782433828,,0.0008402543779547422,106.8,161.5,695,0
18,0.37162960767745973,0.7733228807543896,0.0008196832553639344,132.4,186.8,695,0
19,0.37154358526070913,,0.0007981564500691655,105.7,160.1,695,0
20,0.36894374489784243,0.7761129779853511,0.0007757393382706016,133.9,188.4,695,0
21,0.367495854695638,,0.0007525000000000003,106.4,160.8,695,0
22,0.3639429340759913,0.7820715436132233,0.0007285090123638906,133.8,188.2,695,0
23,0.3634255896011988,,0.0007038392352032202,106.5,160.9,695,0
24,0.359290811419487,0.7826237936894814,0.0006785655898204139,133.2,187.8,695,0
25,0.3579918016990026,,0.0006527648314458392,105.9,160.3,695,0
26,0.357389168938001,0.7858524616113154,0.0006265153161346959,134.1,188.6,695,0
27,0.3569934199253718,,0.0005998967628022509,107.2,161.6,695,0
28,0.35370713770389556,0.7890437866656675,0.0005729900111201123,134.3,188.7,695,0
29,0.35476038853327435,,0.0005458767760088049,106.2,160.6,695,0
30,0.3521417190631231,0.7891788536797628,0.0005186393994722405,133.3,187.8,695,0
31,0.352577077349027,,0.0004913606005277602,106.2,160.7,695,0
32,0.35104016462961835,0.7915428828059989,0.0004641232239911959,134.0,188.4,695,0
33,0.347244797150294,,0.0004370099888798882,106.1,160.5,695,0
34,0.34944686194260915,0.7934746536138713,0.00041010323719774976,133.7,188.3,695,0
35,0.34821867346763613,,0.0003834846838653047,106.2,160.6,695,0
36,0.3479410151640574,0.7923770734425156,0.0003572351685541614,133.5,188.0,695,0
37,0.3494116554657618,,0.00033143441017958694,105.9,160.3,695,0
38,0.34946081737677254,0.7951034584754024,0.00030616076479678036,135.0,189.6,695,0
39,0.3472425957520803,,0.00028149098763611006,106.0,160.5,695,0
40,0.347454975048701,0.7945777111246083,0.0002575000000000003,134.2,188.6,695,0
41,0.3430148939291636,,0.00023426066172939892,106.8,161.3,695,0
42,0.3440848469734192,0.7954426265215311,0.00021184354993083508,133.8,188.3,695,0
43,0.3479891320069631,,0.00019031674463606605,106.9,161.4,695,0
44,0.34954025546709694,0.7938544174227163,0.0001697456220452582,134.7,189.3,695,0
45,0.348016087214152,,0.0001501926559816168,106.8,161.6,695,0
46,0.35134073396523796,0.7946997514002258,0.00013171722816043648,134.6,189.2,695,0
47,0.34886593918005626,,0.0001143754478487853,106.6,161.5,695,0
48,0.34649769564469657,0.7945427336086276,9.821998146350375e-05,134.2,189.1,695,0
49,0.34434498647848766,,8.32998926250281e-05,106.5,161.0,695,0
50,0.34639240403970084,0.7947637963698324,6.966049315278801e-05,133.0,187.5,695,0
51,0.3479330062866211,,5.734320545469921e-05,106.6,161.0,695,0
52,0.34618846972783407,0.7947817955633671,4.6385436728673154e-05,132.5,187.0,695,0
