basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9162,0.8414,-2.8616,0.9216,5812,0.9241,0.8591,-2.4946,0.9315,5567,1.1406,8047.8054
BND,8900.0,0.8606,0.7734,-8.4625,0.8937,1458,0.8935,0.892,-9.2582,0.9483,5571,1.2101,11400.9931
ORO,3607.0,0.806,0.8151,-1.3772,0.9059,5480,0.8263,0.822,-7.351,0.9085,5569,1.557,5945.3263
FOL,1885.0,0.7375,0.7319,-3.624,0.8593,5063,0.7518,0.7921,-6.5993,0.898,5272,2.0599,4110.52
YRS,1108.0,0.6433,0.6761,12.0981,0.8348,5063,0.7604,0.7668,13.7186,0.8799,5545,2.7166,3186.4136
MKM,544.0,0.7505,0.7099,4.566,0.8436,5195,0.768,0.7252,-10.1653,0.8541,5056,1.8209,1048.6139
NML,900.0,0.8606,0.759,6.546,0.8784,5721,0.8904,0.8135,-5.147,0.9056,5473,1.5142,1442.6614
NHG,363.0,0.8037,0.8286,-2.9889,0.9146,4637,0.8262,0.8434,0.1081,0.9216,4678,0.658,252.8732
TLG,1538.0,0.7856,0.7817,-9.6868,0.8876,5498,0.8573,0.8536,-7.6329,0.9256,5157,1.6987,2765.7774
MRC,1061.0,0.8208,0.8015,11.7256,0.8979,5463,0.8456,0.843,-2.4539,0.9196,5570,1.1648,1308.346
MIL,1675.0,0.8829,0.8551,-5.5376,0.9255,5721,0.9007,0.8218,-4.2383,0.9138,5499,1.3344,2366.0635
PNF,1545.0,0.9022,0.884,-6.3683,0.9413,5809,0.8149,0.8184,10.0734,0.9306,5549,1.3144,2149.7891
TRM,561.0,0.8856,0.8217,1.761,0.907,5543,0.8379,0.7899,-8.1628,0.8906,5503,0.9003,534.6446
SCC,393.0,0.6762,0.7446,-11.4986,0.8787,5228,0.8276,0.7034,8.2418,0.8637,5292,0.4767,198.3217
ISB,2074.0,0.8242,0.7873,-2.5888,0.9182,5821,0.8237,0.7886,-13.2267,0.8947,5569,0.3887,853.502
